Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
といっても,といっても,N3,①ビデオの作品を作った。といっても、せいぜい10分の短い作品だが。,彼はついに長編小説を書き上げた。といっても、わずか百ページほどの短い作品だが。,彼はついに長編小説を書き上げた。,といっても、,わずか,百ページほどの,短い作品だ,が。,"Sau khi hoàn thành câu trước 「彼はついに長編小説を書き上げた。」, câu tiếp theo bắt đầu bằng liên từ 「といっても」 để đính chính và thu hẹp phạm vi thông tin đã nói. Trạng từ 「わずか」 (chỉ vỏn vẹn) bổ nghĩa cho số lượng 「百ページほどの」 (khoảng 100 trang). Cụm danh từ này tiếp tục bổ nghĩa cho 「短い作品」 (tác phẩm ngắn). Cuối cùng là liên từ 「だが」 kết thúc câu một cách lấp lửng."
といっても,～といっても,N3,①A：休みには故郷へ帰ります。B：じゃあ、当分お目にかかれませんね。A：いや、帰るといっても、二週間程度で、すぐまた帰って来ます。,政府は景気が回復したと発表したが、回復したといっても、国民がそれを実感できるレベルには達していない。,政府は景気が回復したと発表したが、,回復した,といっても、,国民がそれを実感できる,レベルには,達していない。,Động từ 「回復した」 (đã phục hồi) đứng trước cấu trúc 「といっても」 (dẫu nói là...) để giới hạn lại mức độ phục hồiのnền kinh tế. Vế sau bắt đầu bằng chủ ngữ phụ 「国民が」 cùng cụm định ngữ 「それを実感できる」 (có thể thực sự cảm nhận được điều đó) bổ nghĩa cho danh từ 「レベル」 (mức độ). Trợ từ 「には」 đi với động từ phủ định ở phần Suffix 「達していない」 (chưa đạt tới) để hoàn thành cấu trúc 「〜に達していない」.
といっても,ひとくちに～といっても,N2,①一口にアジアといっても、広大で、多種多様な文化があるのです。,一口に現代文学といっても、純文学からライトノベルまでそのジャンルは実に幅広い。,一口に,現代文学といっても、,純文学から,ライトノベルまで,そのジャンルは,実に幅広い。,"Trạng từ 「一口に」 (nói một cách khái quát) luôn đi kèm với cấu trúc 「〜といっても」 để tạo thành mẫu 「一口に〜といっても」 (dù nói chung là...). Tiếp theo là cấu trúc so sánh tương phản 「AからBまで」 (từ A đến B), cụ thể là 「純文学から」 (từ văn học thuần túy) đến 「ライトノベルまで」 (cho tới light novel). Cụm này làm rõ phạm vi cho chủ ngữ 「そのジャンルは」 (thể loạiのnó), dẫn tới tính từ kết thúc 「実に幅広い」 (thực sự rộng lớn) ở phần Suffix."
といっても,～といってもいいだろう,N3,①これは、この作家の最高の傑作だといってもいいだろう。,彼の新刊は、現代社会の闇を最も鋭く描いた傑作だといってもいいだろう。,彼の新刊は、,現代社会の闇を,最も鋭く描いた,傑作だと,いっても,いいだろう。,"Câu chủ đề bắt đầu bằng 「彼の新刊は」 (cuốn sách mớiのanh ấy). Tân ngữ 「現代社会の闇を」 (bóng tốiのxã hội hiện đại) chịu tác độngのcụm động từ định ngữ 「最も鋭く描いた」 (khắc họa một cách sắc bén nhất), cả cụm này bổ nghĩa cho danh từ 「傑作」 (kiệt tác). Danh từ 「傑作」 đi với trợ từ 「だ」 kết hợp với mẫu ngữ pháp 「といってもいいだろう」 (có thể nói là...) để đưa ra một lời nhận định phán đoán mang tính khẳng định nhẹ nhàng."
といっても,～といってもいいすぎではない,N2,①環境破壊の問題は、これから世界の最も重要な課題になるといっても言い過ぎではない。,この新技術の開発は、人類の歴史における大きな転換点であるといっても言い過ぎではない。,この新技術の開発は、,人類の歴史における,大きな転換点,であると,いっても,言い過ぎではない。,「この新技術の開発は」 (Việc phát triển công nghệ mới này) là chủ ngữ chínhのcâu. Cụm 「人類の歴史における」 (trong lịch sử nhân loại) bổ nghĩa cho danh từ 「大きな転換点」 (bước ngoặt lớn). Định từ 「である」 (là) đi sau danh từ để liên kết với trợ từ 「と」 dẫn vào cấu trúc phán đoán 「といっても言い過ぎではない」 (dẫu nói là... cũng không phải là nói quá).
といわず～といわず,NといわずNといわず,N1,①風の強い日だったから、口といわず、目といわず、すなぽこりが入ってきた。,激しい戦火の後、街は昼といわず夜といわず絶え間ない悲鳴に包まれていた。,激しい戦火の後、街は,昼といわず,夜といわず,絶え間ない,悲鳴に,包まれていた。,"Mẫu ngữ pháp 「N1といわずN2といわず」 (bất kể N1 hay N2, toàn bộ...) được dùng ở đây với hai danh từ đối lập 「昼」 (ngày) và 「夜」 (đêm) để chỉ trạng thái liên tục không ngừng nghỉ. Tiếp theo, tính từ 「絶え間ない」 (không ngớt) bổ nghĩa cho danh từ 「悲鳴」 (tiếng la hét). Trợ từ 「に」 đi với động từ bị động ở đuôi câu 「包まれていた」 (bị bao trùm bởi...) tạo thành cấu trúc 「〜に包まれる」."
どうしても,どうしてもR－たい,N4,①次の休みには、どうしても北海道へ行きたい。,故郷を離れて十年、私はどうしてもあの懐かしい古い家をもう一度訪ねたい。,故郷を離れて十年、私は,どうしても,あの懐かしい,古い家を,もう一度,訪ねたい。,"Trạng từ chỉ ý chí mạnh mẽ 「どうしても」 (bằng mọi giá, kiểu gì cũng) đứng đầu vế câu để nhấn mạnh mong muốn cực kỳ mãnh liệt. Tiếp theo là cụm danh từ 「あの懐かしい」 (hoài niệm đó) bổ nghĩa cho 「古い家」 (ngôi nhà cổ), đóng vai trò tân ngữ đi với trợ từ 「を」. Trạng từ chỉ tần suất 「もう一度」 (một lần nữa) đứng ngay trước động từ thể mong muốn 「訪ねたい」 (muốn ghé thăm) để bổ nghĩa trực tiếp cho hành động này."
どうしても,とうしても～ない,N4,①仕事がひどぐ忙しいので、今月末までは、どうしてもあなたのところへは行けません。,その凄惨な事件の光景が、どうしても私の頭から離れない。,その凄惨な事件の光景が、,どうしても,私の,頭から,離れ,ない。,"Chủ ngữのcâu là 「その凄惨な事件の光景が」 (Quang cảnhのvụ án thảm khốc đó). Cấu trúc 「どうしても〜ない」 biểu thị một việc dù cố thế nào cũng không thể thực hiện được, do đó trạng từ 「どうしても」 đứng trước để bổ nghĩa cho thể phủ định. Cụm 「私の頭から」 (khỏi đầu tôi) chỉ nguồn gốcのsự chuyển động, đi kèm động từ gốc 「離れ」 (rời khỏi) liên kết với trợ từ phủ định 「ない」 ở cuối câu."
どうじに,～とどうじに　Nとどうじに　V－る／V－た（の）とどうじに,N3,①スタートの合図と同時に、選手達はいっせいに走り出した。,裁判官が判決を読み上げたと同時に、法廷内は騒然となった。,裁判官が,判決を,読み上げたと,同時に、,法廷内は,騒然となった。,Chủ ngữのvế đầu là 「裁判官が」 (thẩm phán). Tân ngữ 「判決を」 (bản án) đi với động từ thể quá khứ 「読み上げた」 (đã đọc lên). Cấu trúc 「〜と同時に」 (ngay đồng thời với...) liên kết trực tiếp với động từ thể quá khứ kết hợp trợ từ 「と」 để diễn tả hai hành động xảy ra song song kề nhau. Vế sau bắt đầu bằng chủ ngữ 「法廷内は」 (bên trong tòa án) dẫn đến kết quả xảy ra đồng thời 「騒然となった」 (trở nên hỗn loạn) ở phần Suffix.
どうじに,であるとどうじに　A／V　とどうじに〕,N2,①この手術はかなりの危険を伴うと同時に費用もかかる。,彼の文章は、美しい詩であると同時に、社会への鋭い告発状でもある。,彼の文章は、,美しい,詩であると,同時に、社会への,鋭い,告発状でもある。,"Câu giới thiệu chủ thể 「彼の文章は」 (văn phongのanh ấy). Tính từ 「美しい」 (đẹp) bổ nghĩa cho danh từ 「詩」 (thơ), đi kèm định từ 「である」 (là) và cấu trúc 「〜と同時に」 (đồng thời cũng là...) để liên kết hai đặc tính song songのtác phẩm. Vế tiếp theo bổ sung ý nghĩa bằng cụm 「社会への」 (đối với xã hội) bổ nghĩa cho tính từ 「鋭い」 (sắc bén), bổ nghĩa tiếp cho danh từ 「告発状」 (bản cáo trạng), kết thúc bằng trợ từ 「も」 trong cụm 「でもある」 ở Suffix."
