Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
のだろう,～のだろう／～んだろう＜確認＞,N3,①A：10年ぶりの同窓会だね。君も行くんだろう？　B：うん、行くつもりだ。,君も来月からあの廃墟の調査に参加するのだろう？,君も来月から,あの廃墟の,調査に,参加する,のだろう？,,"Phần đầu (Prefix) là chủ ngữ và trạng ngữ chỉ thời gian 「君も来月から」 (Cậu cũng từ tháng sau). Danh từ 「廃墟」 (tàn tích) bổ nghĩa cho danh từ 「調査」 (điều tra) qua trợ từ 「の」 để tạo thành cụm danh từ 「あの廃墟の」. Cụm này bổ nghĩa cho danh từ đi kèm trợ từ chỉ mục đích 「調査に」 . Động từ thể từ điển 「参加する」 (tham gia) bổ nghĩa trực tiếp cho cấu trúc xác nhận, hỏi lại 「のだろう？」 (phải không?) ."
のだろう,～のだろうか／～んだろうか,N3,①子どもたちが公園にたくさんいる。今日は学校が休みなのだろうか。,AI của 進化は人間の創造性を奪うのだろうか。,AI của 進化は,人間の,創造性を,奪う,のだろうか。,,"Chủ ngữ chính của câu là 「AI của 進化は」 (Sự tiến hóa của AI) làm Prefix. Cụm bổ nghĩa 「人間の」 (của con người) bổ nghĩa cho danh từ tân ngữ 「創造性」 kết hợp trợ từ 「を」 để chỉ đối tượng bị tác động. Động từ thể thông thường 「奪う」 (cướp đi) kết hợp trực tiếp với cấu trúc tự hỏi, hoài nghi 「のだろうか」 (liệu có... hay không?) để tạo nên câu hỏi suy ngẫm."
ので,なので　A／Vので,N5,①雨が降りそうなので試合は中止します。,今日は風が強いので電車が少し遅れました。,今日は,風が,強い,ので,電車が,少し遅れました。,Trạng từ chỉ thời gian 「今日は」 (Hôm nay) làm Prefix. 「風が」 (gió) đóng vai trò chủ ngữ cho tính từ đuôi I 「強い」 (mạnh) để tạo thành vế chỉ nguyên nhân. Tính từ đuôi I kết hợp trực tiếp với trợ từ chỉ lý do 「ので」 (vì) . 「電車が」 (tàu điện) là chủ ngữ cho hành động ở phần đuôi (Suffix) 「少し遅れました」 (đã bị trễ một chút) để diễn tả kết quả.
のであった,なのであった　A／V　のであった,N1,①彼は大学を辞めて故郷に帰った。ようやく父のあとを受けて家業を継ぐ決心がついたのであった。,激しい戦いの末、その古い城塞はついに敵の手へと落ちたのであった。,激しい戦いの末、,その古い城塞は,ついに,敵の手へと,落ちた,のであった。,"Prefix 「激しい戦いの末、」 (Sau cuộc chiến khốc liệt,) mở đầu bối cảnh lịch sử. là chủ ngữ 「その古い城塞は」 (pháo đài cổ kính đó). Phó từ chỉ kết cục 「ついに」 (cuối cùng) bổ nghĩa cho động từ chính. Cụm chỉ phương hướng 「敵の手へと」 (vào tay kẻ thù) chỉ hướng di chuyển của hành động 「落ちた」 (sụp đổ/rơi vào) . Suffix 「のであった」 kết hợp với động từ thể quá khứ 「落ちた」 để tạo sắc thái kể chuyện, tường thuật lịch sử sâu sắc trong văn học."
のである,なのである　A／V　のである,N2,①解決には時間がかかりそうだ。問題は簡単ではないのである。,現代社会において、情報の信頼性を見極める力は不可欠なのでのである。,現代社会において、,情報の信頼性を,見極める力は,不可欠,なのでのである。,,"Prefix 「現代社会において、」 (Trong xã hội hiện đại,) là trạng từ chỉ bối cảnh. 「情報の信頼性を」 (tính tin cậy của thông tin) là cụm tân ngữ bổ nghĩa cho động từ định ngữ 「見極める」 (đánh giá/nhìn thấu) kết hợp với danh từ 「力」 và trợ từ chủ đề 「は」 để tạo thành chủ ngữ chính 「見極める力は」 (năng lực đánh giá...) . Tính từ đuôi Na 「不可欠」 (bất khả khuyết/không thể thiếu) đi kèm cấu trúc khẳng định, giải thích mang tính nghị luận báo chí 「なのである」 (đối với tính từ đuôi Na/danh từ, ta thêm 「な」 trước 「のである」)."
のです,なのです　A／V　のです　「のだ」の丁寧な言い方。話しことばでは丁寧な会話に用いられるが、普通は「んです」となることが多い。～のです＜説明＞,N4,①遅くなってすみません。途中で渋滞に巻き込まれてしまったのです。,この地域では大雨の影響で野菜の値段が上がってしまったのです。,この地域では,大雨の影響で,野菜の値段が,上がってしまった,のです。,,Prefix 「この地域では」 chỉ phạm vi địa điểm. 「大雨の影響で」 (do ảnh hưởng của mưa lớn) đóng vai trò trạng ngữ chỉ nguyên nhân. 「野菜 của giá が」 (giá rau) là chủ ngữ cho động từ biến đổi trạng thái ngoài ý muốn 「上がってしまった」 (đã bị tăng lên mất rồi) . Động từ ở thể thông thường quá khứ này kết hợp trực tiếp với cấu trúc giải thích sự tình một cách lịch sự 「のです」 .
のです,～のです＜主張＞,N3,①これからはあなたたちがこの店をまもり発展させて行くのです。,どんな困難があろうと、私たちは自らの道を突き進むのです。,どんな困難があろうと、,私たちは,自らの道を,突き進む,のです。,,"Prefix 「どんな困難があろうと、」 (Dù có khó khăn thế nào đi nữa) thể hiện điều kiện giả định nhượng bộ. 「私たちは」 (chúng ta) làm chủ ngữ chính cho hành động. Cụm danh từ tân ngữ 「自らの道を」 (con đường của chính mình) kết hợp với động từ thể hiện quyết tâm 「突き進む」 (dấn bước/tiến lên) . Cấu trúc khẳng định mạnh mẽ, thể hiện chủ trương quyết chí 「のです」 nằm đi trực tiếp sau động từ thể từ điển ."
のです,～のです＜話題のきっかけ＞,N3,①先週京都へ行ってきたのですが、そこで偶然高橋さんに会いましてね。相変わらず仕事に励んでいるようでした。,実は昨日新しい小説を読み始めたのですが、これがとても面白いんですよ。,実は昨日,新しい小説を,読み始めた,のですが、,これがとても,面白いんですよ。,"Prefix 「実はおととい」 (Thật ra hôm qua) là thành phần dẫn nhập câu chuyện. 「新しい小説を」 (quyển tiểu thuyết mới) là cụm tân ngữ bổ nghĩa cho động từ bắt đầu hành động 「読み始めた」 (đã bắt đầu đọc) . Cấu trúc làm mồi dẫn, khơi gợi chủ đề câu chuyện 「のですが、」 (thì/nhưng mà...) đi sau thể quá khứ của động từ . Vế tiếp theo bắt đầu bằng 「これがとても」 (cái này rất...) bổ nghĩa cho tính từ vị ngữ ở phần đuôi Suffix 「面白いんですよ」 (thú vị lắm đấy)."
のです,～のですか,N4,①どうして彼が犯人だとわかったのですか。,いつからあの古い時計は動かなくなったのですか。,いつから,あの古い時計は,動かなく,なった,のですか。,,"Prefix 「いつから」 (Từ khi nào) là từ nghi vấn thời gian. 「あの古い時計は」 (chiếc đồng hồ cổ kia) là chủ ngữ chính. 「動かなく」 là thể liên kết của tính từ phủ định 「動かない」 để bổ nghĩa cho động từ chuyển biến trạng thái 「なった」 (đã trở nên) . Cấu trúc hỏi tìm kiếm lời giải thích, nguyên nhân 「のですか」 đi sau động từ thể thông thường quá khứ 「なった」 để hoàn thành câu hỏi lịch sự."
のです,つまり～のです,N2,①締切は今月末、つまりあと5日しかないのです。,彼は沈黙を守った。つまり真犯人の正体を知っているのです。,彼は沈黙を守った。つまり,真犯人の,正体を,知っている,のです。,,"Prefix gồm một câu hoàn chỉnh biểu thị tiền đề và kết thúc bằng phó từ liên kết giải thích tóm gọn 「つまり」 (nghĩa là/tóm lại). 「真犯人の」 (của thủ phạm thực sự) bổ nghĩa cho danh từ tân ngữ 「正体」 đi với trợ từ 「を」 . Động từ chỉ trạng thái nhận thức 「知っている」 (đang biết) nhận tân ngữ này. Cấu trúc kết luận, giải thích sự thực khách quan 「のです」 đi trực tiếp sau động từ thể thông thường để đưa ra lập luận cuối cùng."
