Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
なくもない,Nがなくもない,N2,①再婚するつもりがなくもない。,今回の新規プロジェクトですが、条件次第では引き受ける可能性がなくもないです。,今回の新規プロジェクトですが、条件次第では,引き受ける,可能性が,なくも,ない,です。,"""条件次第では"" (tùy thuộc vào điều kiện) bổ nghĩa cho vế sau. Động từ ""引き受ける"" (đảm nhận) bổ nghĩa cho danh từ ""可能性"" (khả năng). Cụm ""可能性がなくもない"" thể hiện ý định không loại trừ khả năng thực hiện (khẳng định nhẹ nhàng bằng hai lần phủ định), kết thúc bằng ""です"" lịch sự."
なけりゃ,でなけりゃ A－くなけりゃ V－くなけりゃ,N3,①この仕事はあなたでなけりゃ勤(つと)まらない。,この機密案件は鈴木部長でなけりゃ決して務まらないと思います。,この機密案件は,鈴木部長で,なけりゃ,決して,務まらない,と思います。,"""鈴木部長でなけりゃ"" là dạng nói của ""でなければ"" (nếu không phải là Trưởng phòng Suzuki). Phó từ ""決して"" phối hợp với thể phủ định ""務まらない"" để khẳng định tính độc nhất của nhân sự. ""と思います"" biểu thị ý kiến một cách khiêm nhường."
なければ,でなければ A－くなければ V－なければ 「する」は「しなければ」のほかに「せねば」という形がある。話しことばでは「なけりゃ」「なきゃ」の形も使われる。～なければ～ない,N4,①この映画は成人でなければ見ることができない。,申し訳ございませんが、弊社の指定フォーマットでなければ見積書を受理できません。,申し訳ございませんが、弊社の,指定フォーマットで,なければ,見積書を,受理でき,ません。,"""指定フォーマットでなければ"" đặt ra điều kiện bắt buộc loại trừ (nếu không phải định dạng chỉ định). ""見積書を"" đóng vai trò tân ngữ của động từ khả năng dạng phủ định ""受理できません"" (không thể tiếp nhận văn bản)."
なければ,～なければいけない ～なければならない ～なければだめだ,N4,①教師は、生徒に対して公平でなければならない。,重要な案件ですので、今週中に必ず報告書を提出しなければならないのです。,重要な案件ですので、今週中に必ず,報告書を,提出,しなければ,ならない,のです。,"""報告書を"" là tân ngữ trực tiếp của hành động ""提出"". Cấu trúc cấu thành nghĩa vụ hành động ""提出しなければならない"" (bắt buộc phải nộp), tăng tính thuyết phục giải thích bằng đuôi câu ""のです""."
なければ,～なければV－た,N3,①彼が助けてくれなければ、この本は完成しなかっただろう。,田中さんがご指摘をくださらなければ契約書の誤りに気付かなかったでしょう。,田中さんがご指摘を,くださら,なければ,契約書の誤りに,気付かなかっ,たでしょう。,"""くださらなければ"" là thể điều kiện phủ định dạng kính ngữ của ""くださる"" (nếu không được chỉ dẫn). Vế sau ""気付かなかったでしょう"" thể hiện sự giả định trái thực tế về một hậu quả suýt xảy ra trong quá khứ."
なさい,R－なさい,N5,①うるさい。すこし静かにしなさい。,先輩のアドバイスは、しっかりとメモを取りながら聞きなさい。,先輩のアドバイスは、しっかりと,メモを,取り,ながら,聞き,なさい。,"Cụm hành vi ""メモを取りながら"" chỉ hành động phụ diễn ra song song (vừa ghi chép vừa...). Động từ chính ""聞き"" đi với đuôi mệnh lệnh ""なさい"" tạo thành một chỉ thị trực tiếp từ người hướng dẫn trong nội bộ công ty."
なさんな,V－なさんな,N3,①風邪などひきなさんな。,体を壊してしまうから、来週からは無理な残業などなさんなよ。,体を壊してしまうから、来週からは無理な,残業,など,なさん,な,よ。,"""残業など"" đưa sự việc vào thế giảm nhẹ nhằm khuyên nhủ. ""なさんな"" (biến điệu từ なさるな) mang tính chất răn đe, khuyên bảo giảm áp lực từ cấp trên có tuổi đối với nhân viên một cách thân mật."
なしでは～ない,Nなしでは～ない,N3,①あなたなしでは生きていけない。,チームの皆様の協力なしでは新製品の開発はあり得ません。,チームの皆様の,協力,なしでは,新製品の,開発は,あり得ません。,"""協力なしでは"" đóng vai trò điều kiện loại trừ tuyệt đối (nếu không có sự hợp tác). Chủ ngữ ""新製品の開発は"" đi liền vị ngữ mang tính bác bỏ hoàn toàn khả năng xảy ra ""あり得ません""."
なしに,Nなしに,N2,①この山は、冬は届け出なしに登山してはいけないことになっている。,セキュリティの関係上、上司の許可なしに機密データを持ち出すことはできません。,セキュリティの関係上、上司の,許可,なしに,機密データを,持ち出すことは,できません。,"""許可なしに"" thể hiện điều kiện hành động mang tính quy định nghiêm ngặt (mà không có sự cho phép). Đoạn sau thành lập danh từ hóa hành vi ""持ち出すことは"" làm bổ ngữ cho trạng thái cấm đoán ""できません""."
なぜか,,N4,①最近なぜか家族のことが気にかかってしかたがない。,朝からなぜか社内システムの接続がうまくいかない。,朝から,なぜか,社内システムの,接続が,うまくいか,ない。,"Phó từ ""なぜか"" bổ nghĩa trạng thái mơ hồ, không rõ nguyên do cho toàn bộ câu. Định ngữ ""社内システムの"" bổ nghĩa danh từ ""接続"" (kết nối) làm chủ từ, kết hợp cụm phủ định vị ngữ ""うまくいかない""."
