Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
そうして,そうして＜列挙＞,①好きな所。雑踏の中、港、遊園地、そうして、旅立つ前の空港。,スーパーでいつも買うものは、牛乳、卵、食パン、そうして、毎晩のデザートのアイスです。,スーパーでいつも買うものは、,牛乳、,卵、食パン、,そうして、,毎晩のデザートの,アイスです。,"Liệt kê các danh từ mua sắm hàng ngày, dùng liên từ 'そうして' trước danh từ cuối cùng để bổ sung đầy đủ danh sách."
そうして,そうして＜継起＞,①旅行にもって行く物を全部再点検した。そうして、やっと安心した。,晩ご飯のおかずを全部作り終えた。そうして、家族が帰ってくるのを待った。,晩ご飯のおかずを,全部,作り終えた。,そうして、,家族が帰ってくるのを,待った。,"Diễn tả hành động tiếp diễn theo thời gian. Sau khi hoàn thành việc nấu ăn, dùng 'そうして' để chuyển sang hành động tiếp theo."
そうすると,そうすると＜きっかけ＞,①ビルのまわりを回ってみた。そうすると、ひとつだけ電気のついている窓があった。,冷蔵庫の奥を探してみた。そうすると、賞味期限の切れたプリンが出てきた。,冷蔵庫の,奥を,探してみた。,そうすると、,賞味期限の切れたプリンが,出てきた。,Hành động tìm kiếm trong tủ lạnh là kích thích (kịch bản) dẫn đến kết quả phát hiện bất ngờ được kết nối bằng 'そうすると'.
そうすると,そうすると＜帰結＞,①A：ホテルを出るのが5時で、新幹線に乗るのが6時です。B：そうすると、買い物の時間がなくなりますよ。,A「今から買い物に行く」B「そうすると、今日の夕飯の時間に遅れるよ,A「今から買い物に行く」B「,そうすると、,今日の,夕飯の,時間に,遅れるよ,"Thể hiện hệ quả logic từ lời nói của đối phương. Từ hành động đi mua sắm bây giờ, người B dùng 'そうすると' để chỉ ra kết quả muộn giờ cơm."
そうすると,,①：パスポートはおととし取りました。B：そうすると、来年はまだ大丈夫ですね。,A「このお肉、昨日買いました」B「そうすると、今日中に使わないとダメですね,A「このお肉、昨日買いました」B「,そうすると、,今日,中に,使わないと,ダメですね,"Người B đưa ra phán đoán, kết luận hợp lý tiếp theo dựa trên thông tin người A vừa cung cấp thông qua liên từ 'そうすると'."
そうだ1,だそうだ　A／V　そうだ,①あの人は留学生ではなくて技術研修生だそうだ。,駅前にできた新しいカフェのケーキはすごく美味しいそうだ。,駅前にできた,新しいカフェの,ケーキは,すごく,美味しい,そうだ。,Cấu trúc truyền đạt thông tin nghe kể lại. Tính từ đuôi -i '美味しい' giữ nguyên đi trực tiếp với 'そうだ' để nói về tin đồn.
そうだ2,～そうだ　Naそうだ　A－そうだ,①その映画はおもしろそうだ。,デパ地下で売っているあのイチゴのタルトはとても高そうだ。,デパ地下で,売っている,あのイチゴのタルトは,とても,高,そうだ。,Biểu thị phán đoán qua vẻ bề ngoài. Tính từ đuôi -i '高い' bỏ 'い' thành '高' kết hợp với 'そうだ' để diễn tả chiếc bánh nhìn có vẻ đắt.
そうだ2,～そうにみえる　Naそうにみえる　A－そうにみえる,①誕生パーティーで彼女はいかにもしあわせそうに見えた。,新しいおもちゃを買ってもらった子供は、とても嬉しそうに見えた。,新しいおもちゃを,買ってもらった,子供は、,とても,嬉し,そうに見えた。,Phán đoán trạng thái cảm xúc của người khác qua dáng vẻ. Tính từ '嬉しい' bỏ 'い' + 'そうに見える' ở dạng quá khứ.
そうだ2,～そうにしている　Naそうにしている　A－そうにしている,①彼女はいつもはずかしそうにしている。,弟は予定がなくなって、とてもつまらなそうにしている。,弟は,予定が,なくなって、,とても,つまらな,そうにしている。,"Diễn tả biểu hiện, thái độ của người thứ ba. Tính từ 'つまらない' bỏ 'い' + 'そうにしている' để chỉ trạng thái đang tỏ ra chán nản."
そうだ2,R－そうだ,①星が出ているから明日は天気になりそうだ。,空が暗くなってきたから、今夜は雨が降りそうだ。,空が,暗くなって,きたから、,今夜は,雨が降,りそうだ。,Dự đoán một sự việc sắp xảy ra dựa trên dấu hiệu hiện tại. Động từ '降る' chia sang thể ます bỏ ます thành '降り' rồi cộng với 'そうだ'.
