Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
そして,そして＜継起＞,①観客は一人帰り、二人帰り、そして最後にはだれもいなくなってしまった。,①観客は一人帰り、二人帰り、そして最後にはだれもいなくなってしまった。,①,観客は一人帰り、,二人帰り、,そして最後には,だれも,いなくなってしまった。,"電話した。 Vì vậy, bạn cần chú ý các thành phần ngữ pháp và từ vựng để sắp xếp câu cho chính xác và tự nhiên nhất."
その～その,そのNそのN,①その日その日を無事に過ごせれば出世なんかしなくてもいいんです。,彼はその日その日の気分によって、お昼ご飯に食べるものを決める。,彼は,その日,その日の,気分に,よって、,お昼ご飯に食べるものを決める。,Cấu trúc 'その日その日の' (mỗi ngày/ngày nào ngày nấy) đóng vai trò bổ nghĩa cho danh từ '気分' (tâm trạng) đứng sau. Cụm '気分によって' thể hiện căn cứ mang ý nghĩa 'tùy thuộc vào/dựa theo tâm trạng' để đưa ra quyết định ở vế sau.
そのうえ,,①あそこのレストランは高くて、そのうえまずい。,このスーパーは野菜が安いし、そのうえ遅くまで開いているから便利だ。,このスーパーは野菜が安いし、,そのうえ,遅くまで,開いている,から,便利だ。,Sau vế chỉ ưu điểm đầu tiên kết thúc bằng trợ từ liệt kê 'し' là liên từ 'そのうえ' (hơn nữa) để bổ sung thông tin tích cực. '遅くまで' bổ nghĩa cho động từ '開いている'. Toàn bộ vế này đi với trợ từ chỉ nguyên nhân 'から' trước khi dẫn đến kết luận '便利だ'.
そのうち,,①木村さんはそのうち来ると思います。,今は難しくても、毎日練習すればそのうち上手に弾けるようになるよ。,今は難しくても、毎日練習すれば,そのうち,上手に,弾けるように,なる,よ。,Sau điều kiện giả định '練習すれば' (nếu luyện tập) là phó từ 'そのうち' (chẳng mấy chốc/sớm muộn gì). Trạng từ '上手に' bổ nghĩa cho động từ thể khả năng chia dạng mục đích '弾けるように' và kết hợp với động từ chỉ sự biến đổi 'なる'.
そのくせ,,①彼は味にうるさく、文句が多い。そのくせ自分ではまったく料理ができない。,妹はダイエット中だと言っている。そのくせ毎日ケーキを食べている。,妹はダイエット中だと言っている。,そのくせ,毎日,ケーキを,食べて,いる。,Liên từ mang tính chất nghịch lý và chỉ trích 'そのくせ' (ấy thế mà) đứng ở đầu câu thứ hai. Theo sau là trạng từ thời gian '毎日' và tân ngữ 'ケーキを' đi liền với động từ hành động đang diễn ra thể hiện thói quen '食べている'.
そのもの,Nそのもの,①機械そのものには問題はないが、ソフトに問題があるようだ。,カレーの味そのものには満足しているが、もう少し具材がほしい。,カレーの,味,そのもの,には,満足して,いるが、もう少し具材がほしい。,Danh từ '味' kết hợp trực tiếp với cấu trúc 'そのもの' thành cụm '味そのもの' (bản chất/chính cái hương vị đó). Theo sau là cụm trợ từ 'には' đi kèm với động từ '満足している' để nhấn mạnh đối tượng mà người nói cảm thấy hài lòng.
そのもの,Nそのものだ,①その合唱団は天使の歌声そのものだ。,幼い頃の息子は、主人の子供時代そのものだ。,幼い頃の息子は、,主人の,子供,時代,そのもの,だ。,Cụm danh từ sở hữu '主人の' bổ nghĩa cho danh từ ghép '子供時代' (thời thơ ấu). Cả cụm danh từ này đi liền với cấu trúc nhấn mạnh 'そのもの' và kết thúc bằng hệ từ 'だ' để khẳng định 'chính là/giống hệt như'.
そばから,Vそばから,①子供達は作るそばから食べてしまうので、作っても作ってもおいつかない。,部屋を片付けるそばから子供がまたおもちゃを散らかしてしまう。,部屋を,片付ける,そばから,子供が,またおもちゃを,散らかしてしまう。,"Cấu trúc 'V-る + そばから' diễn tả một hành động vừa mới hoàn thành thì một hành động khác (thường là tiêu cực) lại xảy ra ngay lập tức. Động từ '片付ける' kết hợp với 'そばから', theo sau là chủ ngữ thực hiện hành động sau '子供が' và tân ngữ 'またおもちゃを' dẫn tới kết cục đáng tiếc '散らかしてしまう'."
そもそも,そもそものN,①父が殊に手を出したことが、わが家の苦労のそもそもの始まりだった。,二人が喧嘩したそもそ目の原因は、小さな誤解だった。,,,,,,,"Từ hạn định 'そもそも' bổ nghĩa cho danh từ thông qua trợ từ 'の' tạo thành cụm 'そもそ目の原因' (nguyên nhân gốc rễ/vốn dĩ từ đầu). Trợ từ 'は' đi sau danh từ này để làm chủ ngữ lớn cho câu, hướng tới vị ngữ giải thích '小さな誤解だった'."
そもそも,そもそも～というのは,①そもそも人の気持ちというのは他人にコントロールできるものではないのだから、人を思い通りにしようとしても無駄だ。,そもそも一人暮らしというのは、家事も全部自分でやらなければならない。,,そもそも,一人暮らし,というのは、,家事も全部自分で,やらなければならない。,Cấu trúc định nghĩa hoặc nêu bản chất 'そもそも～というのは' (Vốn dĩ cái gọi là...) đặt ở đầu câu để đưa ra chủ đề '一人暮らし'. Vế sau là cụm trạng từ '家事も全部自分で' bổ nghĩa trực tiếp cho trạng thái bắt buộc cuối câu 'やらなければならない'.
