Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
だからこそ,,,①A：どうして彼女はその不審な電話のことを社長に話さなかったんでしょうか。B：彼女は社長に信頼されていたんです。だからこそまず自分で調べようとしたんだと思います。,母は私のことを誰よりも愛してくれています。だからこそ、時に厳しく叱ってくれるのだと思います。,母は私のことを誰よりも愛してくれています。,だからこそ、,時に,厳しく叱って,くれるのだと,思います。,"""だからこそ"" kết nối hai câu để nhấn mạnh lý do mang tính tất yếu. ""時に"" bổ nghĩa thời gian cho hành động. ""厳しく叱って"" đi liền với trợ động từ ""くれる"" chỉ hành động đối phương làm cho mình. Cụm ""のだと思う"" kết thúc câu để đưa ra suy đoán khách quan."
だからといって,,,①毎日忙しい。しかし、だからといって、好きな陶芸をやめるつもりはない。,ダイエット中ですが、だからといって、大好きなケーキを絶対に食べないわけではない。,ダイエット中ですが、,だからといって、,大好きなケーキを,絶対に食べない,わけでは,ない。,"""だからといって"" dùng để chuyển ý phủ định một hệ quả tất yếu từ vế trước. ""大好きなケーキを"" làm tân ngữ cho động từ ""食べない"". ""絶対に食べない"" đi với cấu trúc ""わけではない"" để tạo thể phủ định một phần (không hẳn là hoàn toàn không ăn)."
たがる,R－たがる,,①子供というものははなんでも知りたがる。,うちの弟は新しいゲームが出ると、すぐに欲しがって買いに行きます。,うちの弟は新しいゲームが出ると、,すぐに,欲し,がって,買いに,行きます。,"Động từ tâm lý thể hiện ước muốn ""欲しい"" bỏ ""い"" kết hợp với đuôi ""たがる/がる"" để diễn tả mong muốn của ngôi thứ ba. Thể liên kết ""欲しがって"" nối câu chỉ nguyên nhân đưa đến hành động ""買いに行く"" ở vế sau."
だけ１,～だけ,,①今度の事件に関係がないのは彼だけだ。,今日の飲み会に参加するのは、私のアパートの住人だけです。,今日の飲み会に参加するのは、,私の,アパートの,住人,だけ,です。,"Cụm sở hữu ""私の"" bổ nghĩa cho ""アパート"", và ""アパートの"" định hình cho ""住人"" (người dân). Danh từ ""住人"" kết hợp với trợ từ hạn định ""だけ"" để biểu thị tính duy nhất, kết thúc bằng đuôi khẳng định lịch sự ""です""."
だけ１,～といってもせいぜい～だけだ,,①ボーナスといってもせいぜい一ケ月分出るだけだ。,料理が得意といっても、せいぜい卵焼きが作れるだけです。,料理が得意といっても、,せいぜい,卵焼きが,作れる,だけ,です。,"Cấu trúc ""といっても"" mang nghĩa nhượng bộ (dù nói là...). Phó từ ""せいぜい"" bổ nghĩa mức độ tối đa thấp cho khả năng ""作れる"" (có thể làm). Trợ từ ""だけ"" đi cùng ""です"" để giới hạn phạm vi ít ỏi của năng lực đó."
だけ１,～たところで～だけだ,,①急いで計算したところで間違いが多くなるだけだ。,バーゲンセールで安いからと買いすぎたところで、結局はお金がなくなるだけだと思う。,バーゲンセールで安いからと買いすぎたところで、,結局は,お金が,なくなる,だけ,だと思う。,"Cấu trúc ""〜たところで"" chỉ giả định dù có làm gì cũng vô ích. Phó từ ""結局は"" nhấn mạnh kết quả cuối cùng. ""お金がなくなる"" đi với ""だけだ"" thể hiện kết cục duy nhất mang tính tiêu cực, kết thúc bằng cụm bày tỏ ý kiến ""と思う""."
だけ１,ただ～だけでは,,①スポーツはただ見るだけでは面白くない。,日本語はただ教科書を読むだけでは、日常会話が上手になりません。,,,,,,,"""ただ...だけ"" đi liền tạo ý nghĩa giới hạn duy nhất một hành động. ""教科書を"" làm tân ngữ cho ""読む"". Cụm ""読むだけでは"" đóng vai trò làm điều kiện giả định (nếu chỉ có...) dẫn tới hệ quả phủ định ở vế sau."
だけ１,～だけで,,①明日からまた仕事だと思うと、考えるだけでいやになる。,大好物のカレーのことを、思い出すだけでお腹が空いてきます。,大好物のカレーのことを、,思い出す,だけ,で,お腹が,空いてきます。,"Động từ ""思い出す"" bổ nghĩa cho trợ từ hạn định ""だけ"". Trợ từ ""で"" đóng vai trò chỉ điều kiện/nguyên nhân tối thiểu (chỉ cần... là đủ). ""お腹が空いてきます"" diễn tả trạng thái tự nhiên phát sinh từ điều kiện đó."
だけ１,～だけしか～ない,,①今月、残ったお金はこれだけしかありません。,冷蔵庫の中には、卵が一個だけしか残っていません。,冷蔵庫の中には、,卵が,一個,だけしか,残って,いません。,"""卵が"" là chủ ngữ đi với lượng từ ""一個"". Cụm nhấn mạnh sự ít ỏi ""だけしか"" bắt buộc phải đi cùng thể phủ định ""残っていません"" để biểu thị ý nghĩa ""chỉ duy nhất còn lại""."
だけ１,～だけでなく～も,,①肉だけでなく、野菜も食べなければいけない。,日曜日は部屋の掃除だけでなく、洗濯もまとめてしなければなりません。,日曜日は,部屋の掃除,だけでなく、,洗濯も,まとめて,しなければなりません。,"Danh từ ""部屋の掃除"" đi với ""だけでなく"" để mở rộng phạm vi. Danh từ bổ sung ""洗濯"" đi kèm trợ từ ""も"" thể hiện mối quan hệ tăng tiến. Phó từ ""まとめて"" bổ nghĩa cho cách thức thực hiện hành động ""しなければなりません""."
だけ１,～だけのことだ,,①だれも行かないのなら私が行くだけのことだ。,欲しかった服が売り切れなら、別の店を探すだけのことだ。,欲しかった服が売り切れなら、,別の,店を,探す,だけの,ことだ。,"Tính từ đuôi i đổi thành ""別の"" để bổ nghĩa cho danh từ ""店"". ""店を"" làm tân ngữ cho ""探す"". Cấu trúc ""探すだけのことだ"" diễn tả giải pháp hoặc hành động duy nhất, đơn giản cần làm trong hoàn cảnh đó."
だけ１,～というだけ（の理由）で,,①その野菜はめずらしいというだけでよく売れている。,デザインが可愛いというだけの理由で、この靴を買ってしまいました。,,,,,,,"Cụm ""という"" định nghĩa nội dung tính chất cho danh từ phía sau. ""だけの理由"" nhấn mạnh nguyên nhân duy nhất, đi liền trợ từ ""で"" chỉ lý do dẫn tới hành động lỡ mua ""買ってしまいました"" ở vế sau."
だけ１,V－るだけV－て,,①彼女は文句を言うだけ言ってなにも手伝ってくれない。,友達は愚痴を言うだけ言って、すっきりした顔で帰っていった。,友達は愚痴を,言う,だけ,言って、,すっきりした,顔で帰っていった。,"Cấu trúc lặp lại động từ ""言うだけ言って"" biểu thị việc thực hiện hành động nói đến mức tối đa, thỏa thích. Cụm động từ dạng quá khứ ""すっきりした"" bổ nghĩa cho danh từ ""顔"" để mô tả trạng thái khi đi về."
