Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
すぐ,,①すぐ来てください。,料理ができたから、冷めないうちにすぐ食べてね。,料理ができたから、,冷めない,うちに,すぐ,食べて,ね。,"'冷めないうちに' biểu thị thời điểm hành động trước khi thức ăn nguội, đi với trạng từ 'すぐ' (ngay lập tức) nhằm bổ nghĩa cho động từ '食べて' để hối thúc bạn bè ăn luôn."
すくなくとも,,①そこはちょっと遠いですよ。歩けば、すくなくとも20分はかかります。,今月の旅行には、すくなくとも3万円は必要だと思う。,今月の旅行には、,すくなくとも,3万円,は,必要だと,思う。,"Trạng từ 'すくなくとも' (ít nhất) đứng trước cụm số lượng '3万円は' để nhấn mạnh mức tối thiểu cần có, bổ nghĩa cho cụm tính từ chỉ điều kiện '必要だ' kết hợp với mẫu ý kiến 'と思う'."
すぐにでも,,①お急ぎならすぐにでもお届けいたします。,スマホが壊れたので、すぐにでも新しいのを買いに行きたい。,スマホが壊れたので、,すぐにでも,新しいのを,買いに,行きたい,。,"'すぐにでも' biểu thị sự khẩn cấp (ngay cả bây giờ cũng muốn), đứng trước bổ nghĩa cho cụm hành động mục đích '新しいのを買いに行きたい' (muốn đi mua cái mới)."
ずくめ,Nずくめ,①彼女はいつも黒ずくめのかっこうをしている。,兄の結婚が決まって、最近は我が家も良いことずくめだ。,兄の結婚が決まって、,最近は,我が家も,良いこと,ずくめ,だ。,"Danh từ '良いこと' (điều tốt lành) kết hợp trực tiếp với đuôi ngữ pháp 'ずくめ' để chỉ trạng thái toàn là điều tốt, đóng vai trò làm thành phần vị ngữ đi kèm với khẳng định 'だ'."
すこしも～ない,,①強くこすっているのに、すこしもきれいにならない。,友達に嘘をつかれたが、私はすこしも怒っていないよ。,友達に嘘をつかれたが、,私は,すこしも,怒って,いない,よ。,Trạng từ phủ định 'すこしも' luôn đi kèm thống nhất với động từ ở thể phủ định 'いない' ở cuối câu để nhấn mạnh mức độ 'hoàn toàn không' tức giận chút nào.
ずして,V－ずして,①悪天候の中を飛行磯が無事着陸すると、乗客の中から期せずして拍手がわき起こった。,労せずして手に入れたチケットだから、友達に譲ろう。,,労せずして,手に入れた,チケットだから、,友達に,譲ろう。,"Động từ dạng trang trọng '労する' chuyển sang thể 'ずして' thành '労せずして' (mà không cần tốn công sức), đóng vai trò trạng ngữ bổ nghĩa cho cụm hành động '手に入れた' phía sau."
ずじまいだ,V－ずじまいだ,①出張で香港へ行ったが、いそがしくて友だちには会わずじまいだった。,欲しかった服が安くなっていたのに、結局買わずじまいだったね。,欲しかった服が安くなっていたのに、,結局,買わ,ずじまい,だった,ね。,"'買わずじまい' cấu tạo từ thể ない bỏ ない của 買う (買わ-) kết hợp với 'ずじまい', diễn tả việc kết thúc một cơ hội mà bản thân tiếc nuối vì đã không kịp thực hiện hành động."
ずつ,数量詞＋ずつ,①一人に3つずつキャンディーをあげましょう。,体に良いので、毎日野菜を少しずつ食べるようにしています。,体に良いので、,毎日,野菜を,少し,ずつ食べる,ようにしています。,"'少しずつ' (từng chút một) là sự kết hợp giữa lượng từ và 'ずつ' để làm trạng ngữ bổ nghĩa cho hành động '食べる', nằm trong cấu trúc duy trì thói quen 'ようにしている'."
ずとも,V－ずとも,①そんな簡単なことぐらい聞かずともわかる。,長い付き合いだから、言葉に出さずとも相手の気持ちが分かる。,長い付き合いだから、,言葉に,出さずとも,相手の,気持ちが,分かる。,"'出さずとも' (dù không cần nói ra) cấu tạo từ thể ない bỏ ない của 出す (出さ-) đi với 'ずとも', bổ nghĩa cho mệnh đề hệ quả tự nhiên phía sau là '気持ちが分かる'."
すなわち,,①彼は、1945年、すなわち、第二次世界大戦の終わった年に生まれた。,母の妹、すなわち私の叔母が明日家に遊びに来る。,,母の妹、,すなわち,私の叔母が,明日家に,遊びに来る。,"Liên từ 'すなわち' đặt giữa hai danh từ để giải thích đồng nghĩa hoặc làm rõ cho cụm từ đứng trước '母の妹', cụ thể hóa chủ ngữ thành '私の叔母が'."
