Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
あと1,～あと　Nのあと　V－たあと,,①試験の後はいつも気分が落ち込む。,ご飯を食べたあとはしっかり歯を磨きなさい。,ご飯を,食べた,あとは,しっかり,歯を,磨きなさい。,Cấu trúc 'V-たあと' diễn tả một hành động xảy ra sau khi kết thúc hành động khác. Động từ thể quá khứ '食べた' kết hợp trực tiếp với 'あとは'. Phó từ 'しっかり' đứng trước cụm '歯を磨きなさい' để bổ nghĩa cho hành động.
あと1,～あと（で／に）　Nのあと　で／に　V－たあと　で／に,,①田中さんにはお世話になったから、引っ越しの後で改めてお礼にうかがおう。,買い物の後でカフェに行って休もう。,,買い物の,後で,カフェに,行って,休もう。,"'Nの後で' biểu thị mốc thời gian sau một danh từ chỉ hành động (買い物). Cụm chỉ thời gian này đứng đầu câu, theo sau là danh từ chỉ nơi chốn kèm trợ từ 'カフェに', động từ nối '行って' và kết thúc bằng thể chí hướng '休もう'."
あと1,V－たあとから,,①募集を締め切ったあとから応募したいと言ってこられても困る。,約束を決めたあとから時間を変更したいと言われても困るよ。,約束を,決めた,あとから,時間を変更したいと,言われても,困るよ。,"Mẫu 'V-たあとから' diễn tả sự việc muộn màng xảy ra ngay sau khi một quyết định đã cố định. Thứ tự đi từ hành động gốc '決めた' nối với 'あとから', tiếp đến là nội dung yêu cầu '時間を変更したいと' đi với thể bị động giả định '言われても'."
あと2,あと,,①料理はこのくらいあれば十分ですね。あと、飲み物はこれで足りますか。,今日の夕食はカレーだよ。あと、冷蔵庫にプリンもあるからね。,今日の夕食はカレーだよ。,あと、,冷蔵庫に,プリンも,あるから,ね。,"'あと' đóng vai trò là liên từ đứng đầu câu tiếp theo để bổ sung thông tin. Sau liên từ là trạng ngữ chỉ vị trí '冷蔵庫に', chủ ngữ với trợ từ nhấn mạnh 'プリンも', và mệnh đề lý do 'あるから' đi kèm vĩ từ thân mật 'ね'."
あと2,あと＋数量詞,,①その仕事を片づけるにはあと3日で十分です。,楽しい時間はすぐに過ぎるね。あと1時間で家へ帰らなきゃいけない。,楽しい時間はすぐに過ぎるね。,あと,1時間で,家へ,帰らなきゃ,いけない。,"'あと + Số lượng từ' biểu thị giới hạn hoặc lượng còn lại. Cụm 'あと1時間で' đóng vai trò trạng ngữ chỉ thời gian giới hạn, tiếp theo là danh từ chỉ hướng đi '家へ' và cấu trúc bắt buộc '帰らなきゃいけない'."
あとから,,,①あとから文句を言われても困るので、何か言いたいことがある人は今のうちに出してください。,先に店に入って注文してて。私はあとからすぐに追いかけるから。,先に店に入って注文してて。,私は,あとから,すぐに,追いかける,から。,'あとから' làm trạng từ chỉ thời gian hành động muộn hơn người khác. Thứ tự sắp xếp tự nhiên theo cú pháp: Chủ ngữ '私は' -> Trạng từ thời gian 'あとから' -> Trạng từ mức độ 'すぐに' -> Động từ chính '追いかける'.
あとで,,,①あとでまた電話します。,今は忙しいから、宿題はあとでまとめてやるつもりだ。,今は忙しいから、,宿題は,あとで,まとめて,やる,つもりだ。,'あとで' là trạng từ chỉ thời điểm trong tương lai gần. Câu cấu trúc theo thứ tự: Chủ đề đưa lên đầu '宿題は' -> Trạng từ thời gian 'あとで' -> Trạng từ cách thức 'まとめて' -> Động từ hành động 'やる' bổ nghĩa cho cấu trúc dự định 'つもりだ'.
あとは～だけ,,,①メンバーはほとんどそろって、あとは田中さんだけなのだが、なぜか予定の時刻を過ぎても現れる気配がない。,野菜は全部切ったから、あとはお肉をフライパンで炒めるだけだ。,野菜は全部切ったから、,あとは,お肉を,フライパンで,炒める,だけだ。,"Cấu trúc 'あとは～だけ' thể hiện giai đoạn cuối cùng của công việc. 'あとは' mở đầu vế câu, theo sau là tân ngữ 'お肉を', danh từ chỉ công cụ 'フライパンで' bổ nghĩa cho động từ nguyên dạng '炒める' đi kèm cú pháp 'だけだ'."
あまり,話しことばで強めるときには「あんまり」となる。あまり／あんまり～ない　あまりNaではない　あまりA－くない　あまりV－ない,,①今はあまりおなかがすいていないので、ケーキはいりません。,この服のデザインは可愛いけど、値段があんまり安くないね。,この服のデザインは可愛いけど、,値段が,あんまり,安く,ない,ね。,'あんまり' bổ nghĩa cho thể phủ định của tính từ để giảm nhẹ mức độ phán đoán. Thứ tự cấu trúc: Chủ ngữ '値段が' -> Phó từ 'あんまり' -> Tính từ đuôi i đổi thành thể liên dụng '安く' -> Trợ động từ phủ định 'ない'.
あまり,あまりに（も）　あんまり（にも）,,①あまりにおかしくて涙が出た。,弟の部屋があっても汚くて足の踏み場もない。,,弟の部屋が,あまりにも,汚くて,足の踏み場も,ない。,'あまりにも' đứng trước tính từ '汚くて' để nhấn mạnh mức độ nghiêm trọng vượt quá bình thường. Cụm tính từ này bổ nghĩa nguyên nhân cho kết quả phía sau là thành ngữ '足の踏み場もない' (không có chỗ đặt chân).
