Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
がてら,Nがてら　R－がてら,,①買い物がてら、その辺をぶらぶらしない？,夕方は散歩がてら駅前のスーパーに寄って夕飯の材料を買います。,夕方は,散歩,がてら,駅前のスーパーに,寄って,夕飯の材料を買います。,"Danh từ ""散歩"" kết hợp trực tiếp với trợ từ ""がてら"" tạo thành cụm hành động chính kiêm phụ ""散歩がてら"" (nhân tiện đi dạo). Theo sau là trạng ngữ chỉ địa điểm ""駅前のスーパーに"" bổ nghĩa cho động từ liên kết ""寄って"" trước khi kết thúc bằng vế Suffix."
かというと,～かというと　N／Na（なの）かというと　A／V（の）かというと,,①彼女はその仕事が気に入っているそうだ。しかし自分の時間を犠牲にしてでも打ち込んでいるかというと、そこまでは行かないらしい。,弟の料理は美味しいかというと、少し味が薄いけれど、体には良さそうだ。,弟の料理は,美味しい,かというと、,少し味が,薄いけれど、,体には良さそうだ。,"Tính từ ""美味しい"" đi trước mẫu giả định nghịch lý ""かというと"" tạo thành cấu trúc ""nếu nói là ngon thì..."". Vế tiếp theo bắt đầu bằng chủ ngữ phụ ""少し味が"" đi với tính từ tương phản ""薄いけれど"" rồi dẫn tới phán đoán ở Suffix."
かというと,疑問詞＋かというと,,①私は彼がきらいだ。どうしてかというと、いつも人の悪口ばかり言っているからだ。,私はあのカフェによく行きます。どうしてかというと、コーヒーがとても美味しいからです。,私はあのカフェによく行きます。,どうして,かというと、,コーヒーが,とても美味しい,からです。,"Nghi vấn từ ""どうして"" liên kết với ""かというと"" tạo thành cụm giải thích lý do ""nếu hỏi tại sao thì là vì..."". Danh từ + trợ từ ""コーヒーが"" làm chủ ngữ cho vị ngữ ""とても美味しい"" và kết thúc bằng cấu trúc chỉ nguyên nhân ""からです"" ở Suffix."
かとおもうと,V－たかとおもうと,,①急に空が暗くなったかと思うと、はげしい雨がふってきた。,うちの赤ちゃんはさっきまで泣いていたかと思うと、もうぐっすり眠っている。,うちの赤ちゃんは,さっきまで,泣いていた,かと思うと、,もうぐっすり,眠っている。,"Trạng từ ""さっきまで"" bổ nghĩa cho động từ thể quá khứ ""泣いていた"". Động từ này kết hợp với cụm ""かと思うと"" diễn tả sự thay đổi trạng thái cực kỳ nhanh chóng. Trạng từ ""もうぐっすり"" bổ nghĩa trực tiếp cho trạng thái ""眠っている"" ở Suffix."
かとおもうほと,,,①いつ寝ているのかと思うほどいそがしそうだ。,彼女の部屋はモデルルームかと思うほどいつも綺麗に片付いている。,彼女の部屋は,モデルルーム,かと,思うほど,いつも綺麗に,片付いている。,"Danh từ ""モデルルーム"" đi kèm trợ từ trích dẫn ""かと"" và cụm so sánh mức độ ""思うほど"" tạo thành nghĩa ""đến mức tưởng như là..."". Cụm từ chỉ tần suất trạng thái ""いつも綺麗に"" bổ nghĩa cho động từ ""片付いている"" ở Suffix."
かとおもえば,V－るかとおもえば,,①菓がぜんぶ落ちた木があるかと思えば、まだたくさん残っている木もあった。,息子は自分の部屋で勉強しているかと思えば、パソコンでゲームを始めていた。,息子は自分の部屋で,勉強して,いるかと思えば、,パソコンで,ゲームを,始めていた。,"Động từ thể Te ""勉強して"" đi với trợ động từ ""いる"" trong cấu trúc ""いるかと思えば"" diễn tả hành động tương phản bất ngờ diễn ra ngay sau đó. Cụm trạng ngữ phương thức ""パソコンで"" bổ nghĩa cho tân ngữ ""ゲームを"" và động từ cuối ở Suffix."
かとおもったら,,,①帰ってきたかと思ったら、また出かけていった。,夫は仕事から帰ってきたかと思ったら、すぐに友達と飲みに出かけてしまった。,夫は仕事から,帰ってきた,かと思ったら、,すぐに友達と,飲みに出かけて,しまった。,"Động từ thể quá khứ ""帰ってきた"" kết hợp với ""かと思ったら"" diễn tả một hành động vừa kết thúc thì lập tức hành động ngoài dự kiến khác xảy ra. Cụm trạng từ ""すぐに友達と"" bổ nghĩa cho chuỗi động từ hành động liên tiếp kéo dài đến Suffix."
かな,,,①山田さんは今日来るかな。,今日の晩ご飯は冷蔵庫の残り物で何が作れるかな。,今日の晩ご飯は,冷蔵庫の,残り物で,何が,作れる,かな。,"Cụm danh từ định ngữ ""冷蔵庫の"" bổ nghĩa cho cấu thành ""残り物で"" (bằng đồ thừa). Từ nghi vấn ""何が"" đóng vai trò chủ ngữ cho động từ khả năng ""作れる"" và kết thúc bằng trợ từ cuối câu biểu thị sự tự hỏi ""かな"" ở Suffix."
がな,,,①山田さんはまだ来ないの？遅れずに来るように言っておいたんだがな。,週末の準備は一人でやっておいたんだがな、誰も来なかった。,週末の準備は,一人で,やって,おいたんだ,がな、,誰も来なかった。,"Trạng từ ""一人で"" bổ nghĩa cho động từ ""やって"". Cụm kết hợp ""やっておいたんだ"" diễn tả việc đã làm sẵn, đi liền với trợ từ mang sắc thái nuối tiếc, bất mãn ""がな"" để nối với vế kết quả phủ định đầy thất vọng ở Suffix."
かならず,,,①休むときはかならず連絡してください。,家を出るときは防犯のために必ず玄関の鍵を閉めてください。,家を出るときは,防犯の,ために,必ず,玄関の鍵を,閉めてください。,"Cụm danh từ bổ nghĩa mục đích ""防犯のために"" đứng trước. Trạng từ chỉ sự bắt buộc ""必ず"" đặt ngay trước tổ hợp tân ngữ ""玄関の鍵を"" và mẫu câu cầu khiến ""閉めてください"" nằm ở Suffix để nhấn mạnh hành động."
かならずしも～ない,,,①金持ちがかならずしもしあわせだとは限らない。,値段が高い服が必ずしも自分に似合うとは限らない。,値段が高い服が,必ずしも,自分に,似合うとは,限ら,ない。,"Trạng từ ""必ずしも"" định hình cấu trúc phủ định một phần. Theo sau là bổ ngữ chỉ đối tượng ""自分に"" đi với động từ ""似合うとは"". Động từ ""限る"" bị chia đôi: gốc từ ""限ら"" nằm ở Chunk4 và hậu tố phủ định ""ない"" tạo thành Suffix."
かねない,R－かねない,,①風邪だからといってほうっておくと、大きい病気になりかねない。,夜遅くにお菓子を食べすぎると、太るだけでなく病気になりかねない。,夜遅くにお菓子を,食べすぎると、,太るだけでなく,病気に,なり,かねない。,"Mệnh đề điều kiện ""食べすぎると"" kéo theo hệ quả phủ định ""太るだけでなく"". Tiếp sau là danh từ chỉ trạng thái tiêu cực ""病気に"" đi kèm thể liên dụng ""なり"" và cấu trúc dự đoán hiểm họa ""かねない"" ở Suffix."
かねる,R－かねる,,①そのご意見には賛成しかねます。,お隣さんからの無理な要求には、これ以上対応しかねます。,お隣さんからの,無理な,要求には、,これ以上,対応し,かねます。,"Tính từ đuôi na ""無理な"" bổ nghĩa cho danh từ ""要求には"". Trạng từ hạn định ""これ以上"" bổ nghĩa cho danh từ động từ nhóm 3 bỏ ます là ""対応し"" trước khi kết hợp với hậu tố từ chối lịch sự ""かねます"" ở Suffix."
がはやいか,V－るがはやいか,,①そのことばを聞くがはやいか、彼はその男になぐりかかった。,母がご飯だよと言うが早いか、子供たちは食卓に走ってきた。,母がご飯だよと,言うが,早いか、,子供たちは,食卓に,走ってきた。,"Động từ từ nguyên mẫu ""言う"" kết hợp sát với trợ từ và tính từ tạo thành cấu trúc thời gian ""言うが早いか"" (vừa mới nói xong là). Tiếp đến là chủ ngữ vế sau ""子供たちは"" cùng trạng ngữ chỉ hướng ""食卓に"" bổ nghĩa cho Suffix."
かもしれない,N／Na／A／V　かもしれない　話しことばでは、「かもわからない」の形で使われることもある。また、くだけた会話では「かもね」「かもよ」などの形でも使われる。「かもしれぬ」「かもしれず」は書きことばとして使われるかたい表現。～かもしれない,,①A：あの偉そうにしている人、ひょっとしてここの社長かもしれないね。B：そうかもね。,明日のピクニックは天気が悪いから中止になるかもしれないね。,明日のピクニックは,天気が,悪いから,中止に,なる,かもしれないね。,"Chủ ngữ phụ ""天気が"" đi liền với tính từ chỉ nguyên nhân ""悪いから"". Tiếp theo là cụm biến đổi trạng thái ""中止になる"" đóng vai trò bổ nghĩa hoàn toàn cho cụm từ phán đoán xác suất ""かもしれないね"" ở Suffix."
かもしれない,たしかに～かもしれない　なるほと～かもしれない,,①A：この計画は危険すぎますよ。B：確かに、危険かもしれない。しかし、やってみるだけの価値はあると思う。,確かにこの掃除機は高いかもしれないが、家事がとても楽になる。,確かにこの,掃除機は,高い,かも,しれないが、,家事がとても楽になる。,"Cụm danh từ định vị ""確かにこの掃除機は"" đóng vai trò chủ ngữ đại diện. Tính từ ""高い"" đi với cấu trúc phán đoán nhượng bộ được tách ra thành ""かも"" và ""しれないが"" để kết nối nghịch ý với mệnh đề Suffix."
かもしれない,～ば／～たら　V－るかもしれない,,①ここで代打がホームランでも打てば、形勢は逆転するかもしれない。,あの大きなスーパーに行けば、探している調味料が見つかるかもしれない。,あの大きなスーパーに,行けば、,探している,調味料が,見つかる,かもしれない。,"Mệnh đề điều kiện ""行けば"" mở ra một giả định tương lai. Cụm định ngữ ""探している"" bổ nghĩa trực tiếp cho chủ ngữ ""調味料が"" đi liền với động từ ""見つかる"" và mẫu phán đoán tính khả thi ""かもしれない"" ở Suffix."
