Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
には,V－るには,N3,①そこに行くには険しい山を超えなければならない。,美味しいカレーを作るにはスパイスをたくさん炒めなければならない。,美味しい,カレーを,作るには,スパイスをたくさん,炒めなければ,ならない。,"Để biểu thị mục đích ""để làm gì"", cấu trúc「V-るには」được sử dụng. Thứ tự tự nhiên bắt đầu từ tính từ「美味しい」bổ nghĩa cho tân ngữ「カレーを」, đi liền với cấu trúc「作るには」. Vế sau thể hiện điều kiện cần thiết với tân ngữ「スパイスをたくさん」và động từ chia thể điều kiện「炒めなければ」, kết thúc bằng vị ngữ「ならない」để mang nghĩa ""phải làm gì""."
には,V－るにはVが,N2,①行くには行くが、彼に会えるかどうかは分からない。 Moscato,新しいスマホを買うには買ったが、使い方がまだよく分からない。,新しい,スマホを,買うには,買ったが、,使い方がまだ,よく分からない。,"Mẫu ngữ pháp「V-るにはV-たが」diễn tả ý nhượng bộ ""tuy có làm V thật nhưng..."". Thành phần câu đi từ tính từ「新しい」bổ nghĩa cho danh từ「スマホを」, tiếp theo là động từ nguyên dạng kèm ngữ pháp「買うには」và động từ quá khứ kết hợp từ nối「買ったが」. Vế sau chỉ kết quả tương phản với chủ ngữ「使い方がまだ」và vị ngữ phủ định「よく分からない作」."""
には,V－るにはVが,N2,①行くには行くが、彼に会えるかどうかは分からない。,彼女が急に仕事を辞めたからといって、そんなに驚くにはあたらない。,彼女が,急に仕事を,辞めたからといって、,そんなに,驚くには,あたらない。,"Mẫu ngữ pháp「V-るにはあたらない」mang nghĩa ""không đáng/không cần thiết phải V"". Câu bắt đầu với chủ ngữ「彼女が」và trạng ngữ「急に仕事を」bổ nghĩa cho cấu trúc chỉ nguyên nhân「辞めたからといって」. Theo sau là phó từ mức độ「そんなに」bổ nghĩa cho động từ nguyên dạng「驚くには」, và kết thúc bằng vị ngữ phủ định「あたらない」."
にはおよばない,～にはおよばない Nにはおよばない V－るにはおよばない,N2,①検査では何も異常は見つかりませんでした。すっかり元気になりましたから、ご心配には及びません。,近所のスーパーだから、わざわざ車で行くには及びません。,近所の,スーパーだから、,わざわざ,車で,行くには,及びません。,"Mẫu ngữ pháp「V-るには及ばない」nghĩa là ""không cần thiết phải làm V"". Câu bắt đầu bằng cụm chỉ lý do của vế trước「近所の」「スーパーだから」. Tiếp theo là phó từ「わざわざ」bổ nghĩa cho phương thức「車で」và động từ chuyển động dạng từ điển「行くには」, cuối cùng kết thúc bằng vị ngữ「及びません」."""
にはあたらない,V－るにはあたらない,N1,①中学校で教師をしている友人の話によると、学校でのいじめが深刻だという。しかし驚くにはあたらない。大人の社会も同じなのだから。,友達が荷物を持とうとしてくれたが、それには及びないと言って断った。,友達が,荷物を持とうとしてくれたが、,それには,及びないと,言って,断った。,"Cụm từ「それには及ばない」được dùng để từ chối lịch sự với nghĩa ""không cần đến mức đó đâu"". Câu mở đầu bằng trạng huống「友達が」「荷物を持とうとしてくれたが」. Tiếp theo là đại từ chỉ định kèm trợ từ「それには」đi với động từ thể bổ lửng kết hợp trợ từ dẫn lời thoại「及びないと」, theo sau bởi động từ nối「言って」và hành động kết thúc「断った」."
にはんし,Nにはんし,N1,①大方の予想に反して、我らのチームが圧勝した。,親の期待に反し、彼は大学に進学せず料理人になる道を選んだ。,親の,期待に反し、,彼は大学に,進学せず,料理人になる道を,選んだ。,"Mẫu ngữ pháp「Nに反し」mang nghĩa ""trái ngược với N"". Cụm trạng ngữ chỉ sự tương phản「親の」「期待に反し」đứng ở đầu câu. Tiếp theo là chủ ngữ và địa điểm「彼は大学に」, đi liền với động từ phủ định thể liên tiến「進学せず」để bổ nghĩa cho cụm danh từ tân ngữ「料理人になる道を」, câu kết thúc bằng động từ hành động「選んだ」."""
にはおよばない,～にはおよばない　Nにはおよばない　V－るにはおよばない,N2,①検査では何も異常は見つかりませんでした。すっかり元気になりましたから、ご心配には及びません。,私の予想に反して、今日の特売日はスーパーが意外と空いていた。,私の,予想に反して、,今日の特売日は,スーパーが,意外と,空いていた。,"Mẫu ngữ pháp「Nに反して」có nghĩa là ""trái với N"". Cụm từ「私の」「予想に反して」làm trạng ngữ lập luận đầu câu. Tiếp theo là trạng ngữ thời gian「今日の特売日は」và chủ ngữ của vế sau「スーパーが」. Phó từ「意外と」đứng trước để bổ nghĩa cho trạng thái vị ngữ ở đuôi câu「空いていた」."
にひきかえ,Nにひきかえ,N1,①兄にひきかえ弟はだれにでも好かれる好青年だ。,綺麗好きな姉にひきかえ、妹の部屋はいつも散らかっている。,綺麗好きな,姉にひきかえ、,妹の,部屋は,いつも,散らかっている。,"Mẫu ngữ pháp「Nにひきかえ」dùng để so sánh tương phản hai đối tượng, mang nghĩa ""trái ngược hoàn toàn với N"". Đầu tiên, tính từ「綺麗好きな」bổ nghĩa cho danh từ trong cụm「姉にひきかえ」. Đối tượng tương phản thứ hai được đưa ra thông qua cụm chủ ngữ「妹の」「部屋は」, đi kèm phó từ tần suất「いつも」và kết thúc bằng trạng thái vị ngữ「散らかっている」."""
にはおよばない,それにはおよばない,N3,①A：車で家までお送りしましょう。B：いいえ、それには及びません。歩いても5分ほどの所ですから、どうぞご心配なく。,私が毎日仕事を頑張れるのは、家族の支えにほかならない。,私が,毎日仕事を,頑張れるのは、,家族の,支えに,ほかならない。,"Mẫu ngữ pháp「Nにほかならない」dùng để khẳng định lý do duy nhất ""chính là N/không gì khác ngoài N"". Câu bắt đầu với vế chủ ngữ được danh từ hóa「私が」「毎日仕事を」「頑張れるのは」. Sau đó, định ngữ sở hữu「家族の」bổ nghĩa cho danh từ kết cấu「支えに」, và hoàn chỉnh câu bằng đuôi khẳng định「ほかならない」."
にほかならない,～にほかならない ～から／～ため にほかならない,N1,①父が肝ガンになったのは、あの工場で長年働いたために他ならない。,ダイエットが成功したのは、毎日ウォーキングを続けたからにほかならない。,ダイエットが,成功したのは、,毎日,ウォーキングを,続けたからに,ほかならない。,"Mẫu ngữ pháp「～からにほかならない」mang nghĩa ""chính vì lý do... chứ không vì gì khác"". Chủ đề câu được thiết lập ở đầu bằng cụm danh từ hóa「ダイエットが」「成功したのは」. Nguyên nhân duy nhất được làm rõ qua phó từ「毎日」, tân ngữ「ウォーキングを」và động từ kèm từ chỉ nguyên nhân「続けたからに」, kết câu bằng cụm vị ngữ「ほかならない」."""
