Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
から1,Nから,①この町には、国じゅうからたくさんの人があつまってくる。,,,,,,,,
から1,NからNまで,①ここから目的地までは10キロほどあります。,,,,,,,,
から1,NからNにいたるまで,①あの会社はヒラ社員から社長にいたるまで全員が制服を着ている。,,,,,,,,
から1,Nからいうと→【からいう】Nからが→【にしてからか】Nからして→【からして】Nからすると→【からする】Nからみると→【からみる】～こと／～ところ　から　Nである　こと／ところ　から　Naである　こと／ところ　から　Naな　こと／ところ　から　A／V　こと／ところ　から,①この魚は、ヘビそっくりなところから、ウミヘビという名前をもつ。,,,,,,,,
から1,数量詞＋からのN,①その説明会には1000人からの人々がつめかけたと言う。,,,,,,,,
から1,数量詞＋　からある／からする,①その遺跡からは、20キロからある金塊が出土した。,,,,,,,,
から2,だから　A／V　から　～から,①今日は土曜日だから、銀行は休みですよ。,,,,,,,,
から2,～から＜文末用法＞,①いつか、しかえししてやるからな。,,,,,,,,
から2,～のは～からだ,①試験に落ちたのは勉強しなかつたからだ。,,,,,,,,
から2,～からだ,①試験に落ちたんだってね。勉強しなかったからだよ。,,,,,,,,
からいい,だからいい　A／V　からいい　～からいいが,①まだ時間はあるからいいが、今度からはもうちょっと早く来るようにしなさい。,,,,,,,,
からいい,～からいいようなものの,①大きな事故にならなかったからいいようなものの、これからはもっと慎重に運転しなさい。,,,,,,,,
からいう,Nからいうと,①私の立場から言うと、それはこまります。,,,,,,,,
からいう,Nからいって,①さっきの返事のしかたから言って、私はあの人にきらわれているようだ。,,,,,,,,
からこそ,だからこそ　A／V　からこそ,①これは運じゃない。努力したからこそ成功したんだ。,,,,,,,,
からして,Nからして＜例示＞,①リーダーからしてやる気がないのだから、ほかの人たちがやるはずがない。,,,,,,,,
からして,Nからして＜根拠＞,①あの言い方からして、私はあの人にきらわれているようだ。,,,,,,,,
からする,Nからすると,①あの言い方からすると、私はあの人にきらわれているようだ。,,,,,,,,
からって,だからって　A／V　からって,①頭が痛いからって先に帰っちゃった。,,,,,,,,
からといって,だからといって　A／V　からといって　～からといって,①用事があるからと言って、彼女は途中で帰った。,,,,,,,,
