Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
ないものか,V－ないもの（だろう）か　V－れないもの（だろう）か,,①この混雑は何とかならないものか。,,,,,,,,
なお,なお＜程度＞,,①あなたが来てくれれば、なお都合がよい。,,,,,,,,
なお,なお＜但し書き＞,,①入学希望者は期日までに、入学金を納入してください。なお、いったん納入された入学金は、いかなる場合にもお返しできませんので、ご了承ください。,,,,,,,,
なおす,R－なおす＜意志的＞,,①出版の際に、論文の一部を書き直した。,,,,,,,,
なおす,R－なおす＜無意志的＞,,①今年になって、景気が持ち直した。,,,,,,,,
なか,Nのなか,,①部屋の中にはだれがいるの。,,,,,,,,
なか,Nのなかで,,①3人兄弟の中では、次男が一番優秀だ。,,,,,,,,
なか,～なかを　Nのなかを　A－いなかを　V－るなかを,,①激しい雨の中をさまよった。,,,,,,,,
ながす,R－ながす,,①このレポートは、何の調査もせずに、思いついたことを適当に書き流しているだけだ。,,,,,,,,
ながら,R－ながら＜同時＞,,①音楽を聴きながら、勉強や仕事をする人のことを「ながら族」という。,,,,,,,,
ながら,～ながら＜様態＞　Nながら　R－ながら,,①いつもながら、見事なお手並みですね。,,,,,,,,
ながら,ながら　A－いながら　R－ながら,,①このバイクは小型ながら馬力がある。,,,,,,,,
なきゃ,,,①早く行かなきゃ間にあわない。,,,,,,,,
なくしては,Nなくしては,,①親の援助なくしては、とても一人で生活できない。,,,,,,,,
なくちゃ,でなくちゃ　A一くなくちゃ　V－なくちゃ］,,①勉強しなくちゃ怒られる。,,,,,,,,
なくて,でなくて　A－くなくて　V－なくて,,①検査の結果、ガンでなくて安心した。,,,,,,,,
なくては,でなくては　A－くなくては　V－なくては,,①我慢強い人でなくては彼女と付き合うのは難しい。,,,,,,,,
なくてもいい,でなくてもいい　A－くなくてもいい　V－なくてもいい,,①時間はたっぷりあるから、そんなに急がなくてもいいですよ。,,,,,,,,
なくともよい,でなくともよい　A－くなくともよい　V－なくともよい,,①履歴書は自筆でなくともよい。ただし、その場合は最後に押印、署名のこと。,,,,,,,,
なくもない,動詞の否定形や形容詞「ない」の連用形を受けて、そのようなことが全くないわけではなく、それが存在したり成立することもあるという意味を表す。「ないこともない」「ないでもない」とも言う。V－なくもない,,①A：お酒は召し上がらないんですか。B：飲まなくもないんですが、あまり強くはありません。,,,,,,,,
