Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
というものだ,V－るというものだ,①この研究は、生産量を10年のうちに2倍にするというものだ。,,,,,,,,
というものではない,,①食べ物などは、安ければそれでいいというものではない。,,,,,,,,
というより,,①野村さんは、学校の先生というより、銀行員のようだ。,,,,,,,,
といえど,～といえど,①この寺院では、一国の王といえど、靴をはいたまま入ることは許されない。,,,,,,,,
といえど,～といえども,①冬山は、ベテランの登山家といえども、遭難する危険がある。,,,,,,,,
といえなくもない,,①A：最近、彼はまじめに仕事をしていますか。B：まあ、前よりはましだといえなくもないですが。,,,,,,,,
といえば,Nといえば,①川口さんといえば、どこへ行ったのか、姿が見えませんね。,,,,,,,,
といえば,～といえば～が,①おっとりしているといえば、聞こえがいいが、彼女は何をするのも遅い。,,,,,,,,
といえば,～といえば～かもしれない,①彼らはビートルズの再来だといえば、ほめすぎかもしれない。,,,,,,,,
といえば,～といえば～ぐらいのことだ,①わたしの得意なことといえば、ビールの早飲みぐらいのことだ。,,,,,,,,
といけない,V－るといけない　から／ので,①盗まれるといけないので、さいふは金庫にしまっておこう。,,,,,,,,
といった,N、NといったN,①黒沢、小津といった日本の有名な映画監督の作品を上映するそうだ。,,,,,,,,
といった,～といったところだ,①A：最近よく借りだされるビデオは何ですか。B：ダイハード、スターウォーズといったところですね。,,,,,,,,
といったらありはしない,Nといったらありはしない　A－いといったらありはしない,①この年になってから一人暮らしを始める心細さといったらありはしない。,,,,,,,,
といったらありゃしない,Nといったらありゃしない　A－いといったらありゃしない,①あの子は自分が周りからちやほやされているのを知った上で、それを利用しているんだよ。憎たらしいといったらありゃしない。,,,,,,,,
といったらない,Nといったらない　A－い（とい）ったらない,①花嫁衣装を着た彼女の美しさといったらなかった。,,,,,,,,
といって,といって,①お金をなくしたのは気の毒だが、といって、わたしにも貸せる程のお金はない。,,,,,,,,
といって,～といって,①頭が痛いといって、彼は会社を休んだ。,,,,,,,,
といって,これといって～ない,①現代絵画の展覧会にいったが、これといっておもしろい作品には出会わなかった。,,,,,,,,
といっては,,①あの人はなまけものだといっては言い過ぎかもしれない。,,,,,,,,
