Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
とかんがえられる,とかんがえられる　A／V　とかんがえられる,①このままでは、日本の映画産業は落ち込む山方だと考えられる。,,,,,,,,
とかんがえられる,とかんがえられている　A／V　とかんがえられている,①一般的に英語は世界の共通語だと考えられているが、実際には英語が通じない国はいくらもある。,,,,,,,,
とかんがえられる,～ものとかんがえられる　Nであるものとかんがえられる　Naであるものとかんがえられる　A／V　ものとかんがえられる,①泥棒は二階の窓から入ったものと考えられる。,,,,,,,,
とかんがえられる,～ものとかんがえられている　Nであるものとかんがえられている　Naであるものとかんがえられている　A／V　ものとかんがえられている　今回の地震の原因は、地下断層に亀裂が生じたことによるものと考えられている。,①携帯電話の利用者は、今後急激に増加していくものと考えられている。,,,,,,,,
とき,Nとき　R－とき,①昼飯ビきは、この辺りはサラリーマンで一杯になる。,,,,,,,,
ときく,だときく　A／V　ときく,①ここは昔は海だったと聞く。,,,,,,,,
ときたひには,やや古めかしい話しことば。「～ときたら」の方がふつうに使われる。Nときたひには,①うちの女房ときたひには、暇さえあれば居眠りしている。,,,,,,,,
ときたひには,～ときたひには,①毎日残業で、しかも休日なしときたひには、病気になるのも無理はない。,,,,,,,,
ときたら,Nときたら,①うちの亭主ときたら、週のうち3日は午前様で、日曜になるとごろごろ寝てばかりいる。,,,,,,,,
ときたら,～ときたら,①毎日残業の後に飲み屋のはしごときたら、体がもつはずがない。,,,,,,,,
ときているから,N／Na／A／V　ときているから,①あの寿司屋は、ネタがいいうえに安いときているから、いつ行っても店の前に行列ができている。,,,,,,,,
ときとして,ときとして,①温暖なこの地方でも、時として雪がふることもある。,,,,,,,,
ときとして,ときとして～ない,①このごろは時として心休まる日がない。,,,,,,,,
ときに,,①時に、ご家族の皆様はお元気ですか。,,,,,,,,
ときには,,①生真面目な彼だが、時には冗談をいうこともある。,,,,,,,,
とこか,とこか＜不定＞,①このテレビ、どこかがこわれているんじゃないかな。,,,,,,,,
とこか,とこか＜不確か＞,①あの人は、どこかかわいいところがある。,,,,,,,,
とことなく,,①彼女はどことなく色気がある。,,,,,,,,
ところ1,Nのところ,①今のところ患者は小康状態を保っています。,,,,,,,,
ところ1,V－るところとなる,①この政治的スキャンダルは、還からず世界中の人々が知るところとなるだろう。,,,,,,,,
