Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
すら,名詞や「名詞＋助詞」に付く。主格に付く時は、「ですら」になることが多い。かたい書きことば的な表現。N（＋助詞）すら,,①そんなことは子供ですら知っている。,,,,,,,,
すら,N（＋助詞）すら～ない,,①あまりに重すぎて、持ち上げることすらできない。,,,,,,,,
する,数量詞＋する,,①バンコクまで往復でいくらぐらいしますか。,,,,,,,,
する,副詞＋する,,①赤ちゃんの肌はすべすべしている。,,,,,,,,
する,にする　A－くする〕V－ようにする,,①子供を医者にしたがる親が多い。,,,,,,,,
する,Nがする,,①台所からいいにおいがしてきた。,,,,,,,,
する,～とする,,①来週は休講とする。,,,,,,,,
する,～にする　Nにする　Vことにする,,①A：何になさいますか。B：コーヒーにします。,,,,,,,,
する,N（を）する,,①午後は買い物をするつもりだ。,,,,,,,,
する,Nをする＜外見＞,,①きれいな色をしたネクタイをもらった。,,,,,,,,
する,Nをする＜職業＞,,①彼は教師をしている。,,,,,,,,
する,Nをする＜装身＞,,①あの赤いネクタイをした人が森さんです。,,,,,,,,
する,NをNにする,,①本をまくらにして昼寝した。,,,,,,,,
する,おR－する,,①ここでお待ちします。,,,,,,,,
する,V－ようにする,,①必ず連絡をとるようにする。,,,,,,,,
せい,～せいで,,①わがままな母親のせいで、彼女は結婚が遅れた。,,,,,,,,
せい,～のは～せいだ,,①こんなに海が汚れたのはリゾ－ト開発規制をしなかった県のせいだ。,,,,,,,,
せい,～せいにする,,①A：あっ、雨。君が今日は降らないっていうから、かさ持ってこなかったのに。B：わたしのせいにしないでよ。,,,,,,,,
せい,～せいか,,①歳のせいか、この頃疲れやすい。,,,,,,,,
せいぜい,,,①結婚記念日といっても、せいぜい夕食を外に食べに行くくらいで、たいしたことはしません。,,,,,,,,
