Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
かぎり,Nかぎり,,①彼女は今年限りで定年退職することになっている。,,,,,,,,
かぎり,～かぎり　Nのかぎり　V－るかぎり,,①力の限り戦ったのだから負けても悔いはない。,,,,,,,,
かぎり,V－る／V－ている／V－た　かぎり,,①私の知る限り、彼は絶対そんなことをするような人ではない。,,,,,,,,
かぎり,V－る／V－ている　かぎり,,①この山小屋にいる限りは安全だろう。,,,,,,,,
かぎり,V－ないかぎり,,①練習しない限り、上達もありえない。,,,,,,,,
かぎる,～にかぎる　Nにかぎる　Naなのにかぎる　Aのにかぎる　V－るにかぎる,,①和菓子ならこの店にかぎる。,,,,,,,,
かぎる,Nにかぎったことではない,,①あの人が遅刻するのは今日にかぎったことではない。,,,,,,,,
かくして,,,①かくして市民による革命が成し遂げられたのであった。,,,,,,,,
かけ,R－かけ,,①やりかけの仕事が残っていたので、会社に戻った。,,,,,,,,
かける,R－かける＜働きかけ＞,,①電車の中で酔っぱらいに話しがわからないふりをすることにしている。,,,,,,,,
かける,R－かける＜途中＞,,①友達に大事な相談の手紙を書きかけたとき、玄関のベルが鳴った。,,,,,,,,
がさいご,V－たがさいご,,①ここで会ったが最後、謝ってもらうまでは逃がしはしない。,,,,,,,,
がたい,R－がたい,,①信じがたいことだが本当なのだ。,,,,,,,,
かたがた,Nかたがた,,①友達が風邪をひいたというので、お見舞いかたがた家を訪ねることにした。,,,,,,,,
かたわら,～かたわら＜そば＞　Nのかたわら　V－るかたわら,,①母が編み物をするかたわらで、女の子は折り紙をして遊んでいた。,,,,,,,,
かたわら,～かたわら＜副次的動作＞　Nのかたわら　V－るかたわら,,①その教授は、自分の専門の研究をするかたわら、好きな作家の翻訳をすることを趣味としている。,,,,,,,,
がち,Nがち,,①その作家は、ここ数年病気がちでなかなかまとまった仕事ができないと言っている。,,,,,,,,
がち,R－がち,,①寒い季節は家の中にこもりがちだが、たまには外にでて体を動かした方がいい。,,,,,,,,
かつ,RかつV,,①これで、福祉会館建設に関する議案を提出するのに必要かつ十分な条件が整った。,,,,,,,,
かつて,,,①このあたりは、かつては有名な米の産地だった。,,,,,,,,
