Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
じゃない,じゃない,①A：雨？B：いや、雨じゃない。,,,,,,,,
じゃないか1,N／Na／A／V　じゃないか　「ではないか1」のくだけた形で、話しことばの文末で主として男性が使う。女性は「じゃないの」「じゃない」の形を使うことが多い。「じゃん」はさらにくだけた言い方で、男女共に使う。丁寧形は「じゃないですか」「じゃありませんか」→【ではないか1】～じゃないか＜驚き・発見＞,①すごいじゃないか。大発見だね。,,,,,,,,
じゃないか1,～じゃないか＜非難＞,①どうしたんだ。遅かったじゃないか。,,,,,,,,
じゃないか1,～じゃないか＜確認＞,①ほら、覚えていないかな。同じクラスに加藤って子がいたじゃないか。,,,,,,,,
じゃないか1,V－ようじゃないか,①頑張って勝ち抜こうじゃないか。,,,,,,,,
じゃないか2　,N／Na（なん）じゃないか　A／V　んじゃないか,①隣、ひょっとして留守じゃないか。,,,,,,,,
じゃないが,Nじゃないが,①非難するわけじゃないけど、どうしてあなたの部屋はこんなに散らかっているの。,,,,,,,,
じゃないだろうか,くなん）じゃないだろうか　A／V　んじゃないだろうか,①もう帰ってしまったんじゃないだろうか。,,,,,,,,
じゅう,Nじゅう＜空間＞,①学校中にうわさが広まった。,,,,,,,,
じゅう,Nじゅう＜時間＞,①一晩中起きている。,,,,,,,,
しゅんかん,Nのしゅんかん　V－たしゅんかん,①立ち上がった瞬間に、家がぐらっと大きく揺れた。,,,,,,,,
じょう,Nじょう,①子供にお金を与えるのは教育上よくない。,,,,,,,,
しょうがない,しょうがない,①誰もやらないならしょうがない、私一人でもやる。,,,,,,,,
ず,文語の助動詞「ず」から。否定の意味を表す。書きことばや慣用的な表現でしか用いない。話しことばでは「なくて」「ないで」が使われる。「V－ない」の「ない」を「ず」に変えて作る。「する」は「せず」となる。V－ず,①途中であきらめず、最後までがんばってください。,,,,,,,,
ず,～ず、～ず　A－からず、A－からず　V－ず、V－ず,①飲まず食わずで三日間も山中を歩きつづけた。,,,,,,,,
すえに,Nのすえに　V－たすえに,①今月のすえに、首相が訪中する。,,,,,,,,
すぎない,N／Na／A／V　にすぎない,①その件は責任者にきいてください。私は事務員にすぎませんので。,,,,,,,,
すぎる,すぎる　A－すぎる　R－すぎる　～すぎる,①この役は思春期の役だから10歳では子供すぎて話にならない。,,,,,,,,
すぎる,～すぎ　R－すぎだ　R－すぎのN,①太郎、遊びすぎですよ。もうちょっと勉強しなさい。,,,,,,,,
すぎる,～ても～すぎることはない,①冬山登山は注意しても、し過ぎることはない。,,,,,,,,
