Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
を～にひかえて,NをNにひかえ（て）,①試験を来週にひかえ、図書館は毎日おそくまで学生でいっぱいである。,,,,,,,,
をおいて,Nをおいて,①都市計画について相談するなら、彼をおいて他にはいないだろう。,,,,,,,,
をかぎりに,Nをかぎりに,①今日をかぎりに今までのことはきれいさっぱり忘れよう。,,,,,,,,
をかわきりに,Nをかわきりに,①彼女は、店長としての成功を皮切りに、どんどん事業を広げ、大実業家になった。,,,,,,,,
をきんじえない,,①思いがけない事故で家族を失った方々には同情を禁じえません。,,,,,,,,
をけいきとして,Nをけいきとして,①彼女は大学入学を契機として親元を出た。,,,,,,,,
をこめて,Nをこめて,①母親のために心をこめてセーターを編んだ。,,,,,,,,
をして～させる,NをしてV－させる,①あのきびしい先生をして「もう教えることは何もない」と言わせたのだから、あなたはたいしたものだよ。,,,,,,,,
をぜんていに,NをぜんていにV,①彼女は記事にしないことを前提にそのことを記者に話した。,,,,,,,,
をたよりに,NをたよりにV,①あなたがいなければ、これからわたしは何をたよりに（して）生きていけばいいのですか。,,,,,,,,
をちゅうしんに,NをちゅうしんにV,①そのグループは山田さんを中心に作業を進めている。,,,,,,,,
をつうじて,NをつうじてV,①その話は山田さんを通じて相手にもつたわっているはずです。,,,,,,,,
をつうじて,Nをつうじて,①その国は一年をつうじてあたたかい。,,,,,,,,
をとわず,Nをとわず,①彼らは昼夜を問わず作業を続けた。,,,,,,,,
をのぞいて,Nをのぞいて（は）,①山田さんをのぞいて、みんな乗ています。,,,,,,,,
をふまえ,Nをふまえ（て）V,①いまの山兄さんの報告をふまえて話し合っていただきたいと思います。,,,,,,,,
をもとに,Nをもとに（して）,①実際にあった話をもとにして脚本を書いた。,,,,,,,,
をものともせずに,Nをものともせずに,①彼らのヨットは、嵐をものともせずに、荒海を渡り切った。,,,,,,,,
をよぎなくさせる,Nをよぎなくさせる,①台風の襲来が登山計画の変吏を余儀なくさせた。,,,,,,,,
をよぎなくされる,Nをよぎなくされる,①火事で住まいが焼けたため、家探しを余儀なくされた。,,,,,,,,
