Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
せっかく,せっかく～からには,①せっかく留学するからには、できる限り多くの知識を身につけて帰りたい。,,,,,,,,
せっかく,せっかく～けれとも,①せっかくここまできたけれども、雨がひどくなってきたから引き返そう。,,,,,,,,
せっかく,「せっかくXがY」などの形で、　Xにはまれな機会や努力、骨折りを伴ってなされた行為などが示され、　Yではそれが無駄になることが示され、無駄になって残念だ、申し訳ないなどの話し手の気持ちが表される。せっかく～のだから,①せっかく来たのだから夕飯を食べて行きなさい。,,,,,,,,
せっかく,せっかく～のだったら,①せっかくピアノを習うのだったら、少しくらい高くてもいい先生についた方がいい。,,,,,,,,
せっかく,せっかく　～のに／～ても,①せっかく招待していただいたのに、伺えなくてすみません。,,,,,,,,
せっかく,せっかく＋連体修飾句＋N,①せっかく書いた原稿をなくしてしまった。,,,,,,,,
せっかく,せっかくですが,①A：もう遅いですから、泊まっていらしたらいかがですか。B：せっかくですが、あしたは朝から用事がありますので。,,,,,,,,
せっかく,せっかくですから,①A：食事の準備がしてありますので、うちで召し上がってくださいよ。B：せっかくですから、お言葉に甘えて、そうさせていただきます。,,,,,,,,
せつな,V－たせつな,①目を離したせつな、子供は波にのまれていった。,,,,,,,,
ぜひ,,①ぜひ一度遊びにきてください。,,,,,,,,
せめて,せめて,①夏はせめて一週間ぐらい休みがほしい。,,,,,,,,
せめて,せめて～だけでも,①せめて一晩だけでも泊めてもらえませんか。,,,,,,,,
せめて,せめて～なりとも,①せめて一目なりとも子供に会いたいものだ。,,,,,,,,
せめて,せめてものN,①ひどい事故だったが、死者が出なかったのがせめてもの救いだ。,,,,,,,,
せられたい,Nせられたい　R－られたい,①上記三名の者ただちに出頭せられたい。,,,,,,,,
ぜんぜん～ない,,①テレビ、消そう。ぜんぜんおもしろくない。,,,,,,,,
そう～ない,,①夕食はそうおいしくなかったが全部食べた。,,,,,,,,
そういえば,,①A：なんだか今夜はしずかね。B：そういえばいつものカラオケがきこえないね。,,,,,,,,
そうしたら,前の文と後の文を時間的な順序でつなぐ用法。さらにくだけた言い方に「そしたら」がある。そうしたら＜未果＞,①娘は大学に入ったら下宿すると言っている。そうしたら、家の中が静かになるだろう。,,,,,,,,
そうしたら,そうしたら＜過去＞,①暑いので窓を開けた～そうしたら大きなガが飛び込んで来た。,,,,,,,,
