Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
にしても,くだけた話しことばでは「～にしたって」、改まった話しことばでは「～にせよ」「～にしろ」が用いられる。Nにしても,,①彼にしても、こんな騒ぎになるとは思ってもいなかったでしょう。,,,,,,,,
にしても,～にしても　N（である）にしても　A／V　にしても,,①子供のいたずらにしても笑って済ませられる問題ではない。,,,,,,,,
にしても,～にしても～にしても　NにしてもNにしても　VにしてもVにしても,,①山田にしても佐藤にしても、この仕事に向いているとはいえない。,,,,,,,,
にしても,疑問詞＋にしても,,①いずれにしても結論は次回に持ち越されることになった。,,,,,,,,
にしろ,,,①役人がわいろを受け取ったかどうか問題になっているが、かりに金銭の授受はなかったにしろ、なんらかの報酬をもらったことは間違いない。,,,,,,,,
にせよ,,,①直接の責任は部下にあるにせよ、彼の監督不行届きも糾弾されるだろう。,,,,,,,,
にそういない,N／V　にそういない,,①犯人はあの男に相違ない。,,,,,,,,
にそくして,Nにそくして,,①事実にそくして想像をまじえないで事件について話してください。,,,,,,,,
にそって,Nにそって,,①この道に沿ってずっと行くと、右手に大きい公園が見えてきます。,,,,,,,,
にたいして,～にたいして　Nにたいして　Naなのにたいして　A－いのにたいして　Vのにたいして,,①私の発言に対して彼は猛烈に攻撃を加えてきた。,,,,,,,,
にたいして,N＋数量詞＋にたいして,,①研究員1人に対して年間40万円の補助金が与えられる。,,,,,,,,
にたいして,～のにたいして,,①彼が自民党を支持しているのに対して、彼女は共産党を支援している。,,,,,,,,
にたいする,NにたいするN,,①私の質問に対する答えはなかなか得られない。,,,,,,,,
にたいする,N＋数量詞＋にたいするN,,①研究員1人に対する年間の補助は40万円である。,,,,,,,,
にたえない,V－るにたえない,,①幼い子供が朝から晩まで通りで物乞いをしている姿は見るにたえない。,,,,,,,,
にたえない,Nにたえない,,①このようなお言葉をいただき、感謝の念にたえません。,,,,,,,,
にたえる,Nにたえる,,①この木はきびしい冬の寒さにたえて、春になると美しい花を咲かせます。,,,,,,,,
にたえる,～にたえる　Nにたえる　V－るにたえる,,①アマチュアの展覧会ではあるが鑑賞にたえる作品が並んでいる。,,,,,,,,
にたりない,V－るにたりない,,①とるに足りない（＝つまらない）ことをそんなに気にするな。,,,,,,,,
にたる,V－るにたるN,,①昨今の政治家は私利私欲に走り、尊敬するにたる人物はいなくなってしまった。,,,,,,,,
