Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
すぐ,,,①すぐ来てください。,,,,,,,,
すくなくとも,,,①そこはちょっと遠いですよ。歩けば、すくなくとも20分はかかります。,,,,,,,,
すぐにでも,,,①お急ぎならすぐにでもお届けいたします。,,,,,,,,
ずくめ,Nずくめ,,①彼女はいつも黒ずくめのかっこうをしている。,,,,,,,,
すこしも～ない,,,①強くこすっているのに、すこしもきれいにならない。,,,,,,,,
ずして,V－ずして,,①悪天候の中を飛行磯が無事着陸すると、乗客の中から期せずして拍手がわき起こった。,,,,,,,,
ずじまいだ,V－ずじまいだ,,①出張で香港へ行ったが、いそがしくて友だちには会わずじまいだった。,,,,,,,,
ずつ,数量詞＋ずつ,,①一人に3つずつキャンディーをあげましょう。,,,,,,,,
ずとも,V－ずとも,,①そんな簡単なことぐらい聞かずともわかる。,,,,,,,,
すなわち,,,①彼は、1945年、すなわち、第二次世界大戦の終わった年に生まれた。,,,,,,,,
ずに,V－ずに,,①よくかまずに食べると胃を悪くしますよ。,,,,,,,,
ずにいる,V－ずにいる,,①禁煙を始めたが、吸わずにいるとだんだんイライラしてくる。,,,,,,,,
ずにおく,V－ずにおく,,①父に電話がかかってきたが、疲れてよく寝ているようだったので起こさずにおいた。,,,,,,,,
ずにすむ,V－ずにすむ,,①漢和辞典を買おうと思っていたら、友だちが古いのをくれたので買わずにすんだ。,,,,,,,,
ずにはいられない,V－ずにはいられない,,①この本を読むと、誰でも感動せずにはいられないだろう。,,,,,,,,
ずにはおかない,V－ずにはおかない,,①この本は読む人を感動させずにはおかない。,,,,,,,,
ずにはすまない,V－ずにはすまない,,①あいつはこの頃怠けてばかりだ。一言言わずにはすまない。,,,,,,,,
すむ,～すむ　【Nですむ　V－てすむ,,①もっと費用がかかると思ったが2万円ですんだ。,,,,,,,,
すむ,V－ないで／V－ずに　すむ,,①バスがすぐに来たので待たないですんだ。,,,,,,,,
すむ,～すむことではない　Nですむことではない　V－てすむことではない,,①大事な書類をなくしてしまうなんて、謝ってすむことではない。,,,,,,,,
