Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
てくれる,V－てやってくれないか,,①息子にもう少し勉強するように言ってやってくれ。,,,,,,,,
てこそ,V－てこそ,,①一人でやってこそ身につくのだから、むずかしくてもがんばってやりなさい。,,,,,,,,
てさしあげる,V－てさしあげる,,①昨日は社長を車で家まで送ってさしあげた。,,,,,,,,
てしかたがない,Naでしかたがない　A－くてしかたがない　V－てしかたがない,,①公園で出会って以来、彼女のことが気になってしかたがない。,,,,,,,,
てしまう,くだけた話しことばでは、「言っちゃう」「来ちゃう」のように「～ちゃう」の形になることが多い。V－てしまう＜完了＞,,①この本はもう読んでしまったから、あげます。,,,,,,,,
てしまう,V－てしまう＜感慨＞,,①酔っ払って、ばかな事を言ってしまったと後悔している。,,,,,,,,
てしまう,V－てしまっていた,,①わたしが電話したときには、彼女はもう家を出てしまっていた。,,,,,,,,
てしょうがない,A－くてしようがない　V－てしょうがない,,①赤ちゃんが朝から泣いてしょうがない。,,,,,,,,
てたまらない,Naでたまらない　A－くてたまらない,,①今日は暑くてたまらない。,,,,,,,,
てちょうだい,V－てちょうだい,,①伸子さん、ちょっとここへ来てちょうだい。,,,,,,,,
てっきり～とおもう,,,①彼女がいろいろな結婚式場のパンフレットを持っているので、これはてっきり結婚するんだと思ってしまったんです。,,,,,,,,
てでも,V－てでも,,①どうしても留学したい。家を売ってでも行きたいと思った。,,,,,,,,
でなくてなんだろう,Nでなくてなんだろう,,①彼女のためなら死んでもいいとまで思う。これが愛でなくて何だろう。,,,,,,,,
てならない,Naでならない　A－くてならない　V－てならない,,①卒業できるかどうか、心配でならない。,,,,,,,,
てのこと,V－てのこと,,①彼が6年も留学できたのは、親の援助があってのことだ。,,,,,,,,
ては,～ては,,①この仕事に時給500円では人がみつかりません。,,,,,,,,
ては,V－ていては,,①そんなにテレビばかり見ていては目が悪くなってしまうよ。,,,,,,,,
ては,Vのでは,,①そんなに遠くから通勤していらっしゃるのでは大変ですね。,,,,,,,,
ては,V－る／V－ない　ようでは,,①最初の日から、仕事に遅刻するようでは困る。,,,,,,,,
ては,V－てはV,,①家計が苦しいので、母はお金の計算をしてはため息をついている。,,,,,,,,
