Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
あいだ,Nのあいだ＜空間＞,①ステレオと本棚の間にテレビを置いた。,,,,,,,,
あいだ,Nのあいだ＜関係＞,①最近二人の間はうまくいっていないようだ。,,,,,,,,
あいだ,あいだ　Nのあいだ　A－いあいだ　V－ている／V－る　あいだ,①彼は会議の間ずっといねむりをしていた。,,,,,,,,
あいだ,あいだに　Nのあいだに　Naなあいだに　A－いあいだに〕V－ている／V－る　あいだに,①留守の間にどろぼうが入った。,,,,,,,,
あえて,あえて,①私はあえてみなさんに規則の見直しを提案したいと思います。,,,,,,,,
あえて,あえてV－ば,①反対されるのを承知であえて言えば、こんな計画は百害あって一利なしだ。,,,,,,,,
あえて,あえて～ない,①そのやり方にあえて反対はしないが、不満は残っている。,,,,,,,,
あがる,R－あがる＜上方向＞,①彼は立ち上がってあたりを見回した。,,,,,,,,
あがる,R－あがる＜極端な程度＞,①長い間雨が降らないので、湖も干上がってしまった。,,,,,,,,
あがる,R－あがる＜完成＞,①パンがおいしそうに焼きあがった。,,,,,,,,
あくまで,あくまで（も）＜意志＞,①私はあくまでもこの方針を貫くつもりだ。,,,,,,,,
あくまで,あくまで（も）＜主張＞,①私が今申し上げたことはあくまでも試案ですので、そのおつもりで。,,,,,,,,
あくまで,あくまで（も）＜強い程度＞,①空はあくまでも青く澄み渡り、砂浜はどこまでも白く続いていた。,,,,,,,,
あげく,～あげく　Nのあげく　V－たあげく,①さんざん悩んだあげく、彼には手紙で謝ることにした。,,,,,,,,
あげく,あげくのはてに（は）,①部長はますます機嫌が悪くなり、あげくの果てには関係ない社員にまでどなり散らすようになった。,,,,,,,,
あげる,R－あげる＜上方向＞,①男は大きな岩を軽々と持ち上げた。,,,,,,,,
あげる,R－あげる＜完成＞,①大事なお客さんが来るので、母は家中をぴかぴかにみがき上げた。,,,,,,,,
あたかも,あたかもN（であるか）の　ようだ　あたかもN（であるか）の　ことし　あたかもVかの　ようだ　あたかもVかの　ことし,①その日はあたかも春のような陽気だった。,,,,,,,,
あっての,NあってのN,①学生あっての大学だ。学生が来なければ、いくらカリキュラムが素晴らしくても意味がない。,,,,,,,,
あと1,あと＜空間＞　Nのあと　V－る／V－た　あと,①みんな私の後についてきてください。,,,,,,,,
