Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
つまり,つまり＜言いかえ＞,①彼は、母の弟、つまり私の叔父である。,,,,,,,,
つまり,つまり（は）＜結論＞,①つまり、責任は自分にはないとおっしゃりたいのですね。,,,,,,,,
つもり,V－る／V－ないつもりだ,①来年はヨーロッパヘ旅行するつもりだ。,,,,,,,,
つもり,V－るつもりはない,①この授業を聴講してみたい。続けて出るつもりはないけれど。,,,,,,,,
つもり,V－るつもりではない,①すみません、あなたの邪魔をするつもりではなかったんです。,,,,,,,,
つもり,V－るつもりで,①今日限りでやめるつもりで、上司に話しに行った。,,,,,,,,
つもり,～つもりだ＜信念＞,①ミスが多かったが、今日の試合は練習のつもりだったからそれほど気にしていない。,,,,,,,,
つもり,～つもりだ＜反事実＞,①なによ、あの人、女王のつもりかしら。,,,,,,,,
つもり,V－たつもりはない,①私はそんなことを言ったつもりはない。,,,,,,,,
つもり,V－たつもりで,①旅行したつもりで、お金は貯金することにした。,,,,,,,,
て,で　A－くて　V－て　名詞とナ形容詞には「で」がつく。イ形容詞では「くて」。「ない」には「なくて」「ないで」の2つの形がある。動詞の場合、辞書形がグ・ヌ・ブ・ムで終るものは「で」、それ以外は「て」となる。,①朝ご飯を作って、子供を起こした。,,,,,,,,
て～て,NaでNaで　A－くてA－くて　VててV－て,①連絡がいつまで待っても来ないので、不安で不安で仕方がなかった。,,,,,,,,
で,で,①≪写真を見せながら≫これが、田中先生の奥さん。で、こっちが息子さんの孝君。,,,,,,,,
で,～で,①彼女は病気で寝ています。,,,,,,,,
てあげる,V－てあげる,①おばあさんが横断歩道で困っていたので、手を引いてあげた。,,,,,,,,
てあげる,V－てあげてくれ（ないか）V－てあげてください,①ケーキを作りすぎたので、おばあさんに持っていってあげて下さい。,,,,,,,,
てある,V－てある,①テーブルの上には花が飾ってある。,,,,,,,,
であれ,NであれNであれ,①晴天であれ、雨天であれ、実施計画は変更しない。,,,,,,,,
であろうと,Nであろうと、Nであろうと,①雨であろうと、雪であろうと、当日は予定通り行う。,,,,,,,,
であろうと,であろうとなかろうと,①休日であろうとなかろうと、わたしの仕事には何も関係ない。,,,,,,,,
