Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
はい,はい＜喚起＞,,①はい、みなさんこっちを向いて。,,,,,,,,,,,,,,,,,,,
はい,はい＜追認＞,,①A：おじいさんは、こちらには長くお住まいですか。B：私ですか。私は、戦前からずっとここに住んでおります。はい。,,,,,,,,,,,,,,,,,,,
ばいい,なら（ば）いい　A－ければいい　V－ばいい　活用語のバ形に「いい」が付いた慣用的な言い方。「ばよい」「ばよろしい」はそのやや改まった言い方。→【たらいい】、【といい】V－ばいい＜勧め＞,,①休みたければ休めばいい。,,,,,,,,,,,,,,,,,,,
ばいい,～ばいい＜願望＞,,①この子が男の子ならいいのに。,,,,,,,,,,,,,,,,,,,
ばいい,～ばよかった,,①親がもっと金持ちならばよかったのに。,,,,,,,,,,,,,,,,,,,
はおろか,Nはおろか,,①私は、海外旅行はおろか国内旅行さえ、ほとんど行ったことがない。,,,,,,,,,,,,,,,,,,,
ばかり,数量詞＋ばかり,,①一時間ばかり待ってください。,,,,,,,,,,,,,,,,,,,
ばかり,N（＋助詞＋）ばかり,,①このごろ、夜遅くへんな電話ばかりかかってくる。,,,,,,,,,,,,,,,,,,,
ばかり,V－てばかりいる,,①彼は寝てばかりいる。,,,,,,,,,,,,,,,,,,,
ばかり,～ばかりで　Naばかりで　A－いばかりで　V一るばかりで,,①彼は言うばかりで自分では何もしない。,,,,,,,,,,,,,,,,,,,
ばかり,Nばかりは,,①そればかりはお許し下さい。,,,,,,,,,,,,,,,,,,,
ばかり,V－たばかりだ,,①さっき着いたばかりです。,,,,,,,,,,,,,,,,,,,
ばかり,V－るばかりだ＜一方的な変化＞,,①手術が終わってからも、父の病気は悪くなるばかりでした。,,,,,,,,,,,,,,,,,,,
ばかり,V－るばかりだ＜準備の完了＞,,①荷物もみんな用意して、すぐにも出かけるばかりにしてあった。,,,,,,,,,,,,,,,,,,,
ばかり,～ばかりのN　A－いばかりのN　V－るばかりのN,,①頂上からの景色は輝くばかりの美しさだった。,,,,,,,,,,,,,,,,,,,
ばかり,V－んばかり,,①デパートはあふれんばかりの買物客でごったがえしていた。,,,,,,,,,,,,,,,,,,,
ばかり,～ばかりに　Aばかりに　V－ばかりに,,①働きがないばかりに、妻に馬鹿にされている。,,,,,,,,,,,,,,,,,,,
ばかり,R－たいばかりに　ほしいばかりに,,①彼に会いたいばかりに、こんなに遠くまでやって来た。,,,,,,,,,,,,,,,,,,,
ばかり,V－てばかりもいられない,,①父が亡くなって一か月が過ぎた。これからの生活を考えると泣いてばかりもいられない。,,,,,,,,,,,,,,,,,,,
ばかり,～とばかりはいえない,,①一概にマンガが悪いとばかりは言えない。中にはすばらしいものもある。,,,,,,,,,,,,,,,,,,,
