Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
なに～ない,なに～ない,N3,,①彼は父から受け継いだ大きな家に住んで、なに不自由なく暮らしている。,,,,,,,,,,,,,,,,,,,
なにか,なにか＜物事＞,N5,,①冷蔵庫に何か入っているから、お腹がすいたら食べなさい。,,,,,,,,,,,,,,,,,,,
なにか,なにか＜様子＞,N4,,①彼の態度は何か不自然だ。,,,,,,,,,,,,,,,,,,,
なにか,～かなにか　N／V　かなにか,N4,,①コーヒーか何か飲みませんか。,,,,,,,,,,,,,,,,,,,
なにか,Nやなにか,N4,,①休みの日は雑誌や何かを読んでのんびり過ごします。,,,,,,,,,,,,,,,,,,,
なにか,なにか＜詰問＞,N2,,①それならなにか。この会社を辞めてもいいんだな。,,,,,,,,,,,,,,,,,,,
なにかしら,,N3,,①なにかしらアルバイトをしているので、生活には困りません。,,,,,,,,,,,,,,,,,,,
なにかと,なにかと,N3,,①なにかと雑用が多くてゆっくりできません。,,,,,,,,,,,,,,,,,,,
なにかと,なにかというと,N2,,①あの人はなにかと言うと文句ばかり言っている。,,,,,,,,,,,,,,,,,,,
なにがなんでも,なにがなんでも＜意気込み＞,N2,,①あの人には、なにがなんでも負けたくない。,,,,,,,,,,,,,,,,,,,
なにがなんでも,なにがなんでも＋マイナス評価表現＜非難＞,N1,,①この記事は、なにがなんでもひどすぎる。,,,,,,,,,,,,,,,,,,,
なにかにつけて,,N2,,①なにかにつけてその時のことが思い出される。,,,,,,,,,,,,,,,,,,,
なにげない,なにげないN　なにげなくV,N3,,①何気ないその一言が私の心をひどく傷つけた。,,,,,,,,,,,,,,,,,,,
なにしろ,,N3,,①なにしろ彼は頭がいいから、私がどんなに頑張っても言い負かされてしまう。,,,,,,,,,,,,,,,,,,,
なににもまして,,N2,,①なににもまして健康が大切です。,,,,,,,,,,,,,,,,,,,
なにも,なにも～ない,N4,,①外は暗くてなにも見えない。,,,,,,,,,,,,,,,,,,,
なにも,なにも～ない,N2,,①なにも、みんなの前で、そんなに恥ずかしい話をしなくてもいいでしょう。,,,,,,,,,,,,,,,,,,,
なにも,なにも～わけではない,N2,,①私はなにも、あなたがやっていることを非難しているわけではないんです。ただちょっと注意したほうがいいと思って忠告しているんじゃないですか。,,,,,,,,,,,,,,,,,,,
なにも,Nもなにも,N3,,①戦争で、家もなにも全てを失ってしまった。,,,,,,,,,,,,,,,,,,,
なにも,～もなにも　A／V　もなにも,N2,,①A：高田さん、あなた必ずやるって約束してくれたじゃないですか。B：約束するもなにも、私はそんなことを言った覚えもないですよ。,,,,,,,,,,,,,,,,,,,
