Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
と1,～と～る,N5,,①おじいさんは、天気がいいと裏山に散歩にでかける。,,,,,,,,,,,,,,,,,,,
と1,時間たたくと、肩がこる。,N5,,①彼女は、ストレスがたまるとむやみに食べたくなるのだそうだ。,,,,,,,,,,,,,,,,,,,
と1,～と～たくものだ）,N3,,①子供のころ、天気がいいと、この辺を祖母とよく散歩をしたものだ。,,,,,,,,,,,,,,,,,,,
と1,～と＋未実現のことがら,N5,,①ここをまっすぐ行くと、右手に大きな建物が見えます。,,,,,,,,,,,,,,,,,,,
と1,～と＋疑問詞～か,N5,,①A：お酒を飲むとどうなりますか。B：顔が赤くなります。,,,,,,,,,,,,,,,,,,,
と1,～と～た＜契機＞,N4,,①教えられたとおりまっすぐ行くと、つきあたりに郵便局があった。,,,,,,,,,,,,,,,,,,,
と1,～と～た＜連続＞,N3,,①男はめざまし時計を止めると、またベッドヘ戻った。,,,,,,,,,,,,,,,,,,,
と1,～とすぐ,N4,,①彼は、うちへ帰るとすぐテレビのスイッチを入れる。,,,,,,,,,,,,,,,,,,,
と1,～と＜前置き＞,N3,,①正直に言うと、そのことについてはあまりよく分からないのです。,,,,,,,,,,,,,,,,,,,
と2,数量詞＋と＜繰り返し＞,N3,,①人々は一人、また一人とやってきた。,,,,,,,,,,,,,,,,,,,
と2,数量詞＋と＜累加＞,N3,,①人々は一人、二人と集ってきた。,,,,,,,,,,,,,,,,,,,
と2,数量詞＋とV－ない,N2,,①禁煙しようという彼の決心は三日と続かなかった。,,,,,,,,,,,,,,,,,,,
と2,にととV－ない　→【にとと～ない】擬態語＋と,N4,,①器はゆっくりと立ち上がった。,,,,,,,,,,,,,,,,,,,
とあいまって,Nとあいまって,N1,,①彼の現代的な建築は背景のすばらしい自然とあいまって、シンプルでやすらぎのある空間を生み出している。,,,,,,,,,,,,,,,,,,,
とあって,～とあって　Nとあって　Vとあって,N2,,①今日は三連休とあって、全国の行楽地は家族連れの観光客で賑わいました。,,,,,,,,,,,,,,,,,,,
とあって,～とあっては,N2,,①伊藤さんの頼みとあっては、断れない。,,,,,,,,,,,,,,,,,,,
といい,N/Naだといい　A-いといい　V-るといい　｢と1-3｣と｢いい｣が結び付いたもの。｢とよい｣はそのやや改まった形。V-るといい<勧め>,N4,,①この株は今買うといいですよ。,,,,,,,,,,,,,,,,,,,
といい,～といい<願望>,N4,,①生まれてくる子供が､女の子だといいなあ。,,,,,,,,,,,,,,,,,,,
といい,～とよかった（のに）,N3,,①A：とても楽しい旅行だったわよ。あなたも来るとよかつたのに。B：行けるとよかったんだけど､急用ができてしまってね。,,,,,,,,,,,,,,,,,,,
といい～といい,NといいNといい,N2,,①社長といい､専務といい、この会社の幹部は古くさい頭の持ち主ばかりだ。,,,,,,,,,,,,,,,,,,,
