Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
まい,～まい＜推量＞,N2,,①このうれしさは他人にはわかるまい。,,,,,,,,,,,,,,,,,,,
まい,Nでもあるまい,N1,,①仕事を紹介して下さる人もあるが、私ももう70だ。この歳になって、いまさら会社勤めでもあるまい。,,,,,,,,,,,,,,,,,,,
まい,Nでもあるまいし,N1,,①子供でもあるまいし、自分のことは自分でしなさい。,,,,,,,,,,,,,,,,,,,
まい,V－ることもあるまい,N1,,①あんなにひどい言い方をすることもあるまいに。,,,,,,,,,,,,,,,,,,,
まい,～ではあるまいか　N／Na（なの）ではあるまいか　A／V　のではあるまいか,N1,,①彼は若くみえるが、本当はかなりの年輩なのではあるまいか。,,,,,,,,,,,,,,,,,,,
まい,V－てくれまいか　V－てもらえまいか,N1,,①忙しいからと一度は断わったのだが、なんとかやってもらえまいかと何度も頼まれてしかたなく引き受けた。,,,,,,,,,,,,,,,,,,,
まえ,Nのまえに,N5,,①駅の前に大きなマンションが建った。,,,,,,,,,,,,,,,,,,,
まえ,V－るまえに,N5,,①食事をする前に手を洗いましょう。,,,,,,,,,,,,,,,,,,,
まえ,Nをまえに（して）,N2,,①国会議員のA氏は記者団を前に終始上機嫌だった。,,,,,,,,,,,,,,,,,,,
まさか,まさか～ないだろう,N3,,①彼には何度も念を押しておいたから、まさか遅れることはないだろう。,,,,,,,,,,,,,,,,,,,
まさか,まさか～とはおもわなかった　まさかNだとはおもわなかった　まさかNaだとはおもわなかった　まさかAとはおもわなかった　まさかVとはおもわなかった,N3,,①山田さんが病気で入院しているとは聞いていたが、まさかこんなに悪いとは思わなかった。,,,,,,,,,,,,,,,,,,,
まさか,まさか＋否定表現,N3,,①A：あんな失敗をするなんて、あいつは馬鹿じゃないか。もっときつく言ったほうがいいんじゃないですか。B：まさか本人に面と向かって「ばか」とも言えないじゃないか。,,,,,,,,,,,,,,,,,,,
まさか,まさかのN,N2,,①健康には自信があるが、家族のことを考えてまさかの時のために保険に入っている。,,,,,,,,,,,,,,,,,,,
まさに,書きことば的なかたい表現で、話しことばに使われると大げさな感じがする。まさに,N2,,①警察に届けられていたのは、まさに私がなくした書類だった。,,,,,,,,,,,,,,,,,,,
まさに,まさに～　V－ようとしている（ところだ）,N2,,①私が到着した時、会議はまさに始まろうとしているところだった。,,,,,,,,,,,,,,,,,,,
まして,まして（や）,N2,,①日本語の勉強を始めて3年になるが、まだ新聞を読むのも難しい。まして古典などはとても読めない。,,,,,,,,,,,,,,,,,,,
まして,Nにもまして,N1,,①日本の夏は暑い。しかし、暑ささにもまして耐えがたいのは、湿度の高さだ。,,,,,,,,,,,,,,,,,,,
まず,まず,N4,,①まずはじめに、本日の予定をお知らせいたします。,,,,,,,,,,,,,,,,,,,
まず,まずは,N3,,①まずは一安心した。,,,,,,,,,,,,,,,,,,,
まず,まずかん～だろう／～まい,N2,,①患者：もう、普通の生活に戻っても大丈夫でしょうか。医者：そうですね。無理さえしなければ、まず大丈夫でしょう。,,,,,,,,,,,,,,,,,,,
