Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
にわたって,Nにわたって,N2,,①この研究グループは水質汚染の調査を10年にわたって続けてきた。,,,,,,,,,,,,,,,,,,,
にわたり,Nにわたり,N1,,①話し合いは数回にわたり、最終的には和解した。,,,,,,,,,,,,,,,,,,,
ぬ,文語の否定を表す助動詞で、現在では「～ません」や「知らん」「好かん」などの「ん」にその形跡が残っているほかは、慣用句として固定された言い方に用いられる。V－ぬ,N1,,①知らぬ存ぜぬで（＝知らないと主張し続けて）押し通す。,,,,,,,,,,,,,,,,,,,
ぬ,V－ぬうちに,N1,,①誰にも気付かれぬうちにここを抜け出そう。,,,,,,,,,,,,,,,,,,,
ぬ,V－ぬばかり,N1,,①おまえは馬鹿だと言わぬばかりの顔をした。,,,,,,,,,,,,,,,,,,,
ぬ,V－ぬまでも,N1,,①この崖から落ちたら、死に至らぬまでも重傷はまぬがれないだろう。,,,,,,,,,,,,,,,,,,,
ぬ,V－ぬまに,N1,,①鬼のいぬ間に洗濯（＝邪魔になる人がいない間にしたいことをする）。,,,,,,,,,,,,,,,,,,,
ぬき,Nぬきで,N3,,①この集まりでは、形式張ったこと抜きで気楽にやりましょう。,,,,,,,,,,,,,,,,,,,
ぬき,Nぬきに～V－れない,N2,,①この企画は、彼の協力抜きには考えられない。,,,,,,,,,,,,,,,,,,,
ぬき,Nはぬきにして,N2,,①この際、仕事の話は抜きにして、大いに楽しみましょう。,,,,,,,,,,,,,,,,,,,
ぬく,R－ぬく,N3,,①苦しかったが最後まで走りぬいた。,,,,,,,,,,,,,,,,,,,
ぬまでも,V－ぬまでも,N1,,①邸宅とは言わぬまでも、せめて小さな一戸建ぐらいは建てたいものだ。,,,,,,,,,,,,,,,,,,,
ねばならない,V－ねばならない,N2,,①平和の実現のために努力せねばならない。,,,,,,,,,,,,,,,,,,,
ねばならぬ,V－ねばならぬ,N1,,①暴力には力を合わせて立ち向かわねばならぬ。,,,,,,,,,,,,,,,,,,,
の1,NのN　＜所属＞,N5,,①これはあなたの財布じゃないですか。,,,,,,,,,,,,,,,,,,,
の1,NのN　＜性質＞,N5,,①病気の人を見舞う。,,,,,,,,,,,,,,,,,,,
の1,NのN　＜同格＞,N4,,①友人の和男に相談した。,,,,,,,,,,,,,,,,,,,
の1,N（＋助詞）のN,N4,,①子供の成長は早い。,,,,,,,,,,,,,,,,,,,
の1,Nの～N,N5,,①彼の書いた絵はすばらしい。,,,,,,,,,,,,,,,,,,,
の1,Nの,N5,,①これは私のです。,,,,,,,,,,,,,,,,,,,
