Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
すら,名詞や「名詞＋助詞」に付く。主格に付く時は、「ですら」になることが多い。かたい書きことば的な表現。N（＋助詞）すら,N2,,①そんなことは子供ですら知っている。,,,,,,,,,,,,,,,,,,,
すら,N（＋助詞）すら～ない,N2,,①あまりに重すぎて、持ち上げることすらできない。,,,,,,,,,,,,,,,,,,,
する,数量詞＋する,N5,,①バンコクまで往復でいくらぐらいしますか。,,,,,,,,,,,,,,,,,,,
する,副詞＋する,N4,,①赤ちゃんの肌はすべすべしている。,,,,,,,,,,,,,,,,,,,
する,にする　A－くする〕V－ようにする,N4,,①子供を医者にしたがる親が多い。,,,,,,,,,,,,,,,,,,,
する,Nがする,N5,,①台所からいいにおいがしてきた。,,,,,,,,,,,,,,,,,,,
する,～とする,N2,,①来週は休講とする。,,,,,,,,,,,,,,,,,,,
する,～にする　Nにする　Vことにする,N4,,①A：何になさいますか。B：コーヒーにします。,,,,,,,,,,,,,,,,,,,
する,N（を）する,N5,,①午後は買い物をするつもりだ。,,,,,,,,,,,,,,,,,,,
する,Nをする＜外見＞,N4,,①きれいな色をしたネクタイをもらった。,,,,,,,,,,,,,,,,,,,
する,Nをする＜職業＞,N5,,①彼は教師をしている。,,,,,,,,,,,,,,,,,,,
する,Nをする＜装身＞,N5,,①あの赤いネクタイをした人が森さんです。,,,,,,,,,,,,,,,,,,,
する,NをNにする,N4,,①本をまくらにして昼寝した。,,,,,,,,,,,,,,,,,,,
する,おR－する,N4,,①ここでお待ちします。,,,,,,,,,,,,,,,,,,,
する,V－ようにする,N4,,①必ず連絡をとるようにする。,,,,,,,,,,,,,,,,,,,
せい,～せいで,N3,,①わがままな母親のせいで、彼女は結婚が遅れた。,,,,,,,,,,,,,,,,,,,
せい,～のは～せいだ,N3,,①こんなに海が汚れたのはリゾ－ト開発規制をしなかった県のせいだ。,,,,,,,,,,,,,,,,,,,
せい,～せいにする,N3,,①A：あっ、雨。君が今日は降らないっていうから、かさ持ってこなかったのに。B：わたしのせいにしないでよ。,,,,,,,,,,,,,,,,,,,
せい,～せいか,N3,,①歳のせいか、この頃疲れやすい。,,,,,,,,,,,,,,,,,,,
せいぜい,,N3,,①結婚記念日といっても、せいぜい夕食を外に食べに行くくらいで、たいしたことはしません。,,,,,,,,,,,,,,,,,,,
