Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
らしい,～らしい　N／Na／A／V　らしい,,①天気予報によると明日は雨らしい。,,,,,,,,,,,,,,,,,,,
られる1,受身を表す。「V－られる」のVが五段活用の動詞の場合は「行く→行かれる」「飲む一飲まれる」のように、辞書形の末尾をア段の音に変えて「れる」をつける。一段活用の場合は、「食べる一食べられる」のように、語幹「食べ」に「られる」をつける。「来る」は「こられる」、「する」は「される」となる。「V－られる」は一段動詞の活用をする。NがV－られる＜直接受身＞,,①この地方ではおもに赤ワインが作られている。,,,,,,,,,,,,,,,,,,,
られる1,NがNに（よって）V－られる＜直接受身＞,,①漫画週刊誌は若いサラリーマンによく読まれている。,,,,,,,,,,,,,,,,,,,
られる1,NがN　に／から　V－られる＜直接受身＞,,①おばあさんが犬にかまれた。,,,,,,,,,,,,,,,,,,,
られる1,NがNにV－られる＜間接受身＞,,①忙しいときに客に来られて、仕事ができなかった。,,,,,,,,,,,,,,,,,,,
られる1,NがNにNをV－られる＜所有者受身＞,,①森さんは知らない人に名前をよばれた。,,,,,,,,,,,,,,,,,,,
られる1,NがNにNをV－られる＜間接受身＞,,①せまい部屋でタバコを吸われると気分が悪くなる。,,,,,,,,,,,,,,,,,,,
られる2,,,①大きすぎて穴から出られなくなった。,,,,,,,,,,,,,,,,,,,
れる1,NはNがV－れる＜能力＞,,①リンさんはなっとうが食べられますか。,,,,,,,,,,,,,,,,,,,
れる1,NはNがV－れる＜可能性＞,,①あの店ではいつも珍しいものが食べられる。,,,,,,,,,,,,,,,,,,,
れる1,NはVいち－れる＜性質＞,,①この野菜はなまでは食べられない。,,,,,,,,,,,,,,,,,,,
れる2,,,①車にはねられで怪我をした。,,,,,,,,,,,,,,,,,,,
れる2,ろくなN～ない,,①こんな安月給ではろくな家に住めない。,,,,,,,,,,,,,,,,,,,
れる2,ろくでもないN,,①花子はろくでもない男に夢中になっている。,,,,,,,,,,,,,,,,,,,
れる2,ろくにV－ない,,①テストも近いというのに、あの子ったらろくに勉強もしないんだから。,,,,,,,,,,,,,,,,,,,
ろくろく,ろくろくV－ない,,①電気屋さんで新製品のカタログを山ほどくれたが、どれもろくろく見ないで捨ててしまった。,,,,,,,,,,,,,,,,,,,
わ～わ,～わ～わ（で）,,①昨日は山登りに行ったが、雨に降られるわ道に迷うわで、散々だった。,,,,,,,,,,,,,,,,,,,
わ～わ,V－るわV－るわ,,①新しくできた水族館に行ったら、人がいるわいるわ、魚なんか全然見えないぐらいの人出だった。,,,,,,,,,,,,,,,,,,,
わけがない,N　な／である　わけがない　Naなわけがない　A／V　わけがない,,①あいつが犯人なわけ（が）ないじゃないか。,,,,,,,,,,,,,,,,,,,
わけだ,～わけだ＜結論＞,,①イギリスとは時差が8時間あるから、日本が11時ならイギリスは3時なわけだ。,,,,,,,,,,,,,,,,,,,
