Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
させる,V－させてください＜許可求め＞,①申し訳ありませんが、今日は少し早く帰らせてください。,すみませんが、体調が悪いので明日の買い出しは私に行かせてください。,すみませんが、体調が悪いので明日の,買い出しは,私に,行かせて,ください,。,「明日の」 bổ nghĩa cho danh từ 「買い出しは」. Động từ thể sai khiến 「行かせて」 đi với trợ từ 「に」 để chỉ đối tượng trực tiếp thực hiện hành động (私に). Mẫu câu 「～させてください」 dùng để xin phép đối phương cho bản thân mình được làm một việc gì đó.
させる,V－させて もらう／くれる＜恩恵＞,①両親が早く亡くなったので、姉が働いて私を大学に行かせてくれた。,母は私がやりたいと言ったので、子供の頃からピアノを思い切り習わせてくれた。,母は私がやりたいと言ったので、子供の頃から,ピアノを,思い切り,習わせて,くれた,。,「ピアノを」 đóng vai trò là tân ngữ của hành động. Phó từ 「思い切り」 đứng trước để bổ nghĩa cho động từ phía sau. Động từ thể sai khiến kết hợp với dạng ban ơn 「習わせてくれた」 thể hiện lòng biết ơn khi được người khác (người mẹ) cho phép hoặc tạo điều kiện cho làm việc mình muốn.
させる,V－させられる＜使役受身＞ NがNにVさせられる,①きのうは、お母さんに3時間も勉強させられた。,週末なのに、兄に部屋の大掃除をさせられた。,週末なのに、,兄に,部屋の,大掃除を,させられた,。,「兄に」 chỉ tác nhân ép buộc trong câu sai khiến bị động. Danh từ ghép được kết hợp bằng trợ từ 「部屋の」 để bổ nghĩa cho 「大掃除」. Thể sai khiến bị động 「させられた」 đặt ở cuối câu để diễn tả tâm trạng bất mãn khi bị người khác bắt buộc làm việc mình không muốn.
さっぱり,さっぱり～ない,①あの人の話はいつもむずかしいことばがたくさんでてきてさっぱりわからない。,スマホの新しい機能の使い方がさっぱりわからない。,スマホの,新しい機能の,使い方が,さっぱり,わからない,。,"Định ngữ 「新しい機能の」 bổ nghĩa cho danh từ 「使い方」. Trợ từ 「が」 đi kèm để biểu thị đối tượng của năng lượng hành vi (không hiểu cái gì). Phó từ 「さっぱり」 mang ý nghĩa nhấn mạnh, luôn đi kèm với thể phủ định 「わからない」 ở phía sau để tạo thành nghĩa 'hoàn toàn không...'"
さっぱり,さっぱりだ,①A：どう、調子は。B：だめ。さっぱりだよ。,最近商店街の福引きに挑戦しているが、今年のくじの結果はさっぱりだ。,最近商店街の福引きに挑戦しているが、,今年の,くじの,結果は,さっぱりだ,。,"「今年の」 bổ nghĩa cho 「くじの」, và toàn bộ cụm này bổ nghĩa cho chủ ngữ 「結果は」. Tính từ đuôi na biến thể 「さっぱりだ」 đóng vai trò làm vị ngữ kết thúc câu, mang ý nghĩa tiêu cực diễn tả tình hình hoặc kết quả vô cùng tồi tệ, không có gì tiến triển."
さて,さて,①さて、そろそろいこうか。,おしゃべりはここまでにして、さて、晩ご飯の準備に取りかかろう。,おしゃべりはここまでにして、,さて、,晩ご飯の,準備に,取りかかろう,。,"Liên từ 「さて」 đứng ở đầu mệnh đề mới để chuyển đổi tâm trạng hoặc chuyển sang một chủ đề, hành động tiếp theo. 「晩ご飯の」 bổ nghĩa cho danh từ 「準備に」. Cụm từ 「準備に取りかかる」 được chia sang thể ý chí 「取りかかろう」 để tự nhủ hoặc rủ rê cùng thực hiện hành động."
さて,さてV－てみると,①漢字がおもしろそうだったので日本語を勉強することにしたのだが、さてはじめてみると、これがけっこうむずかしい。,簡単そうな料理だと思って作ってみたが、さて実際にやってみるとかなり難しかった。,簡単そうな料理だと思って作ってみたが、,さて,実際に,やってみると,かなり難しかった,。,Liên từ 「さて」 dẫn dắt vào một tình huống trải nghiệm thực tế. Phó từ 「実際に」 đứng trước để bổ nghĩa cho cấu trúc giả định tình huống thực tế 「やってみると」 (khi thử làm thì...). Vế cuối cùng 「かなり難しかった」 đưa ra kết luận hoặc nhận thức bất ngờ sau khi đã thử nghiệm.
さほど,さほどNaではない さほどA－くない さほどV－ない,①きょうはさほどさむくない。,近所にできた新しいスーパーの惣菜は、値段のわりにはさほど美味しくない。,近所にできた新しいスーパーの惣菜は、,値段の,わりには,さほど,美味しくない,。,"Cấu trúc biểu thị sự so sánh tỷ lệ nghịch 「値段のわりには」 (tuy giá thế nhưng...). Trạng từ mức độ phủ định 「さほど」 bắt buộc phải đi kèm với tính từ thể phủ định 「美味しくない」 nhằm giảm nhẹ mức độ, mang nghĩa là 'không đến mức ngon lắm'."
さも,,「かれはさもおいしそうにビールを飲みほした。」,弟は自分で作ったわけでもないのに、さも自分が作ったかのように自慢している。,,,,,,,「Phó từ 「さも」 mang nghĩa 'như thật' luôn có xu hướng đi kèm với cấu trúc so sánh giả định 「～かのように」. Chủ ngữ 「自分が」 thực hiện hành động 「作った」 trong mệnh đề phụ
さらに,さらにNa／A／V さらに＋数量詞,①一日一回では効かないので、さらに薬の量を増やした。,セールで安くなっていた服が、タイムサービスでレジにてさらに20パーセント安くなった。,セールで安くなっていた服が、タイムサービスで,レジにて,さらに,20パーセント,安くなった,。,"Cụm từ 「レジにて」 chỉ nơi chốn xảy ra hành động. Trạng từ chỉ mức độ tăng tiến 「さらに」 đứng trước số lượng từ 「20パーセント」 để nhấn mạnh tính chất tăng thêm (rẻ hơn nữa, rẻ thêm nữa) bổ nghĩa cho trạng thái biến đổi 「安くなった」."
