Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
おもう,～おもう Naにおもう A－くお思う,,①先生に指導していただけることになって、本当に幸せに思います。,"ずっと欲しかった新しいオーブンが買えて、本当に嬉しく思います。",ずっと欲しかった,新しいオーブンが,買えて、,本当に,嬉しく,思います。,"""新しいオーブンが"" làm tân ngữ cho hành động ""買えて"" (thể Te chỉ lý do). Cụm này đi liền trước phó từ ""本当に"" để bổ nghĩa cho tính từ đuôi i chuyển sang dạng phó từ ""嬉しく"", kết hợp với động từ ""思います"" để diễn tả cảm xúc vui mừng từ tận đáy lòng."
おもう,V－ようとお思う,,①今日はゆっくり休もうと思う。,今週末は友達と一緒に映画を見に行こうと思います。,今週末は,友達と,一緒に,映画を,見に行こうと,思います。,"""友達と"" đi kèm với phó từ ""一緒に"" để chỉ sự đồng hành. Tiếp theo là tân ngữ ""映画を"" bổ nghĩa cho hành động chuyển thể ý chí ""見に行こう"" nhằm thể hiện quyết định. Cuối cùng kết hợp cấu trúc ""と思います"" tạo thành một mạch câu tự nhiên diễn tả dự định."
お思う,であるようにお思う A／V ようにお思う,,①太田くんは内気なので、ウェイターの仕事は向いていないように思う。,最近弟はスマホばかり見ていて、勉強に集中していないように思う。,最近弟は,スマホばかり,見ていて、,勉強に,集中していないように,思う。,"""スマホばかり"" kết hợp với dạng nối câu ""見ていて"" chỉ nguyên nhân/trạng thái diễn ra liên tục. Tiếp theo là bổ ngữ ""勉強に"" đi liền với cụm trạng thái phủ định ""集中していないように"" để tạo tiền đề cho động từ kết suy đoán chủ quan ""思う""."
お思う,N（のこと）をお思う,,①親が子供を思う気持ちは何にも変えられない。,田舎で一人で暮らしている祖母のことを思うと、いつも胸が熱くなります。,田舎で,一人で暮らしている,祖母の,ことを,思うと、,いつも胸が熱くなります。,"Cụm định ngữ ""一人で暮らしている"" bổ nghĩa trực tiếp cho danh từ ""祖母"". Cấu trúc ""Nのことを思う"" (nghĩ về ai đó) đi liền với trợ từ ""と"" để thiết lập mối quan hệ hệ quả tự nhiên (hễ nghĩ về... là liền có cảm xúc ở vế sau)."
お思う,だとお思う Nを A／V とお思う,,①最初は保子さんを男の子だと思った。,スーパーでこのリンゴをとても安いと思ったので、たくさん買ってしまった。,スーパーで,このリンゴを,とても,安いと,思ったので、,たくさん買ってしまった。,"""このリンゴを"" đóng vai trò là đối tượng được đánh giá trong câu. Phó từ ""とても"" đi ngay trước tính từ ""安い"" để nhấn mạnh mức độ. Cấu trúc đánh giá ""Aと思う"" kết hợp thêm trợ từ chỉ lý do ""ので"" để liên kết mạch lạc với hành động ở vế đuôi."
おもえば,おもえば,,①思えば、学生時代はみんな純粋だった。,"思えば、この家に引っ越してきてからもう5年も経つんだね。",思えば、,この家に,引っ越して,きてから,もう5年も,経つんだね。,"Từ kết nối ""思えば"" đặt ở đầu để khơi gợi dòng hồi tưởng. Tiếp theo là địa điểm ""この家に"" bổ nghĩa cho hành động di chuyển ""引っ越してくる"". Thể ""V-te から"" (kể từ sau khi) kết hợp trực tiếp với trạng từ nhấn mạnh thời gian ""もう5年も"" trước khi kết thúc bằng động từ chỉ thời gian trôi qua."
おもえば,いまからおもえば,,①母は、私が下宿するのに猛反対したが、今から思えばその気持ちもわからなくもない。,あの時は友達と大喧嘩したけれど、今から思えば私が悪かったと反省している。,あの時は友達と大喧嘩したけれど、,今から,思えば,私が,悪かったと,反省している。,"Cụm từ cố định ""今から思えば"" (bây giờ nghĩ lại) đóng vai trò chuyển ý cho vế sau. Chủ ngữ ""私が"" đi liền với tính từ tâm trạng/trạng thái ""悪かった"". Trợ từ trích dẫn ""と"" đứng ngay sau tính từ để làm bổ ngữ cho hành động tự kiểm điểm ""反省している""."
おもったら,だとおもったら A／V とおもったら,,①息子の姿が見えないと思ったら、押し入れの中で寝ていた。,さっきまで晴れていたと思ったら、急に大雨が降り出してきた。,さっきまで,晴れていたと,思ったら、,急に,大雨が,降り出してきた。,"Cụm hành động trạng thái ""晴れていた"" kết hợp với mẫu ""と思ったら"" tạo thành cấu trúc chỉ sự thay đổi đột ngột (vừa mới thấy... thì đã). Vế sau bắt đầu bằng phó từ ""急に"" bổ nghĩa cho cụm chủ vị ""大雨が降り出してくる"" để đảm bảo tính logic về mặt thời gian."
および,NおよびN,,①会議終了後、名札およびアンケート用紙を回収します。,当店では、現金および各種クレジットカードでのお支払いが可能です。,当店では、,現金,および,各種クレジットカードでの,お支払いが,可能です。,"Từ nối ""および"" dùng để liên kết hai danh từ đồng đẳng là ""現金"" và ""各種クレジットカードでの"". Toàn bộ cụm liên kết này đứng trước danh từ ""お支払い"" để làm rõ phương thức, đóng vai trò chủ ngữ đi với tính từ kết câu ""可能""."
おり,おり（に） Nのおり（に） V－る／V－た おり（に）,,①前回の書類は今度の会議のおりにお渡しします。,来月京都へ行くおりに、しばらく会っていない古い友人を訪ねるつもりだ。,来月京都へ,行くおりに、,しばらく会っていない,古い友人を,訪ねる,つもりだ。,"Động từ chỉ định hướng ""行く"" bổ nghĩa cho danh từ chỉ thời điểm ""おりに"" (nhân dịp/lúc). Tiếp theo, cụm định ngữ chỉ trạng thái ""しばらく会っていない"" bổ nghĩa cho danh từ ""古い友人"". Danh từ này đóng vai trò tân ngữ đứng trước động từ ""訪ねる"" để hoàn chỉnh cấu trúc dự định ""つもりだ""."
おり,おりから Aおりから V－るおりから,,①残暑の続くおりから、お体には十分お気をつけください。,厳しい寒さが続くおりから、風邪など引かないようご自愛ください。,厳しい寒さが,続くおりから、,風邪など,引かないよう,ご自愛,ください。,"Cụm chủ vị ""厳しい寒さが続く"" bổ nghĩa cho ngữ pháp chỉ bối cảnh thời gian ""おりから"". Tiếp theo, danh từ chỉ tác nhân ""風邪など"" bổ nghĩa cho cụm phủ định chỉ mục đích ""引かないよう"" (để không bị...). Cuối cùng là cấu trúc kính ngữ ""ご自愛ください"" đặt ở đuôi câu."
おり,おりからのN,,①山は嵐のような天候になり、小さな山小屋は、おりからの風にあおられて簡単に吹き飛んでしまった。,楽しみにしていたピクニックは、おりからの激しい雨のために中止せざるを得なかった。,楽しみにしていたピクニックは、,おりからの,激しい雨の,ために,中止せざるを,得なかった。,"Tính từ hạn định ""おりからの"" phải đứng trước để bổ nghĩa cho cụm danh từ chỉ thiên tai ""激しい雨の"". Cụm này đi liền với từ chỉ lý do ""ために"". Cuối cùng, gốc động từ ""中止せざるを"" phải kết hợp với ""得なかった"" để hoàn thành mẫu ngữ pháp bắt buộc phải làm gì."
か,～か～か NかN（か） NaかNaか AかAか VかVか,,①電車かバスで行くつもりだ。,今日の晩ご飯はカレーにするかチャーハンにするか、まだ迷っている。,今日の晩ご飯は,カレーにするか,チャーハンに,するか、,まだ,迷っている。,"Cấu trúc lựa chọn hành động song song ""V-ru か V-ru か"" yêu cầu hai cụm ""カレーにするか"" và ""チャーハンにするか"" đi liền nhau để phân tách lựa chọn. Phó từ thời gian ""まだ"" phải đứng ngay trước động từ chỉ trạng thái tâm lý ""迷っている""."
か,Nか＋疑問詞＋か,,①プレゼントはコーヒーカップか何かにしよう。,週末のパーティーの手土産は、美味しいケーキか何かにしようと考えている。,週末のパーティーの手土産は、,美味しいケーキか,何かに,しようと,考えて,いる。,"Mẫu cụm danh từ đưa ra gợi ý đại diện ""Nか何か"" yêu cầu ""美味しいケーキか"" ghép với ""何かに"". Cụm này đi với động từ thể ý chí ""しよう"" và trợ từ trích dẫn ""と"" nhằm bổ nghĩa cho động từ biểu thị trạng thái suy nghĩ suy xét ""考えている"" ở cuối câu."
か,～か～かで NかN（か）で NaかNaかで AかAかで VかVかで,,①あの人の話は、たいてい自分の自慢話か仕事の愚痴かで、聞いているとうんざりする。,毎日の家事は、部屋の掃除か洗濯かで一日のほとんどの時間が過ぎてしまう。,毎日の家事は、,部屋の掃除か,洗濯かで,一日のほとんどの,時間が,過ぎてしまう。,"Mẫu lựa chọn nguyên nhân/nội dung ""N1かN2かで"" yêu cầu đặt ""部屋の掃除か"" đứng trước ""洗濯かで"". Cụm định ngữ chỉ lượng thời gian ""一日のほとんどの"" bổ nghĩa cho danh từ ""時間"" để làm chủ ngữ cho hành động tự nhiên ""過ぎてしまう""."
か,～かとうか N／Na／A／V かとうか,,①あの人が来るかどうか知っていますか。,明日のバーベキューに彼が参加するかどうか、早めに確認してください。,明日のバーベキューに,彼が,参加するか,どうか、,早めに,確認してください。,"Chủ ngữ ""彼が"" bổ nghĩa cho hành động hành vi ""参加する"". Nghi vấn từ danh từ hóa ""参加するかどうか"" đóng vai trò là cụm nội dung cần xử lý. Phó từ ""早めに"" đứng trực tiếp trước động từ hành động ""確認してください"" để hoàn chỉnh ý nghĩa."
か,～か～ないか,,①行くか行かないか決めて下さい。,このセーターを買うか買わないか、鏡の前でずっと悩んでいる。,このセーターを,買うか,買わないか、,鏡の前で,ずっと,悩んでいる。,"Cụm lựa chọn tương phản ""V-ru か V-nai か"" yêu cầu ""買うか"" đứng ngay trước ""買わないか"". Tiếp theo là trạng từ chỉ nơi chốn ""鏡の前で"" và phó từ chỉ sự tiếp diễn ""ずっと"" bổ nghĩa cho động từ trạng thái tâm lý kết câu ""悩んでいる""."
か,～か～ない（か） V－るかV－ない（か） V－たかV－ない（か）,,①去年彼女に会ったのは、たしかゴールデンウイークに入るか入らないかの頃だったと思います。,毎朝、主人が目を覚ますか覚まさないかのうちに、犬が吠え始めます。,毎朝、,主人が,目を覚ますか,覚まさないかの,うちに、,犬が吠え始めます。,"Chủ ngữ ""主人が"" làm bổ ngữ cho cụm động từ ""目を覚ますか"". Theo cấu trúc ""V-ru か V-nai かのうちに"" (vừa mới... thì đã), cụm phủ định ""覚まさないかの"" phải đi liền trước danh từ chỉ thời gian ""うちに"" để kết nối với vế sau."
か,疑問詞～か,,①彼がいつ亡くなったか知っていますか。,お気に入りの傘をどこに置き忘れたか、どうしても思い出せない。,お気に入りの傘を,どこに,置き忘れたか、,どうしても,思い出,せない。,"Nghi vấn từ ""どこに"" bổ nghĩa cho hành động ""置き忘れたか"" tạo thành mệnh đề phụ nghi vấn lồng trong câu. Phó từ nhấn mạnh phủ định ""どうしても"" phải đứng trước cấu trúc thể khả năng dạng phủ định ""思い出せない"" (được tách thành ""思い出"" + ""せない"")."
か,疑問詞＋か,,①彼はどうも何かを隠しているらしい。,友達が落ち込んでいる様子だったので、何か温かい飲み物でも買ってあげよう。,友達が落ち込んでいる様子だったので、,何か,温かい,飲み物でも,買って,あげよう。,"Đại từ bất định ""何か"" đứng đầu cụm danh từ. Tính từ ""温かい"" bổ nghĩa cho danh từ ""飲み物でも"" nhằm đưa ra đề xuất. Cụm tân ngữ này phải đứng trước thể hành động liên kết ""買って"" phối hợp với trợ động từ chỉ ý muốn hành vi ""あげよう""."
