Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
ては,V－てはV、V－てはV,,①害いては消し、書いては消し、やっと手紙を書き上げた。,弟はクッキーを食べては片付け、食べては片付け、部屋が汚いままだ。,弟はクッキーを,食べては,片付け、,食べては,片付け、,部屋が汚いままだ。,"Cấu trúc 「V1-てはV2」 biểu thị hành động lặp đi lặp lại theo chu kỳ liên tục. Ở đây hành động ""ăn rồi dọn"" (食べては片付け) cứ lặp lại tuần hoàn khiến căn phòng mãi không sạch."
では1,Nでは,,①人は外見では判断できない。,このスーパーの良さは、野菜の値段だけでは判断できない。,このスーパーの良さは、,野菜の,値段,だけで,は,判断できない。,"Danh từ chỉ tiêu chí/phạm vi phán đoán kết hợp với trợ từ ""では"" để nhấn mạnh điều kiện phủ định phía sau: ""Nếu chỉ dựa trên giá rau (値段だけでは) thì không thể đánh giá được toàn bộ siêu thị""."
では2,書きことば的でやや改まった場面で使われる。くだけた話しことばでは「じゃ（あ）」が用いられる。では＜推論＞,,①A：私は1974年の卒業です。B：では、私は2年後輩になります。,A「明日は雨みたいだよ。」B「では、今週末のお花見は中止にしよう。,A「明日は雨みたいだよ。」B「,では、,今週末の,お花見は,中止に,しよう。,"Liên từ ""では"" đứng ở đầu câu của người B để đưa ra một suy luận logic hoặc hệ quả dựa trên thông tin người A vừa cung cấp (""Nếu vậy thì..."")."
では2,では＜態度表明＞,,①A：すみません。教科書を忘れてしまいました。  B：では、となりの人に見せてもらいなさい。,A「宿題の場所が分かりません。」B「では、机の上の私のノートを参考にしなさい。,A「宿題の場所が分かりません。」B「,では、,机の上の,私のノートを,参考に,しなさい。,"Từ ""では"" đóng vai trò chuyển tiếp để người nói đưa ra một chỉ thị, lời khuyên hoặc biểu thị thái độ giải quyết vấn đề dựa trên tình huống hiện tại."
では2,では＜転換＞,,①では、次の議題に入りましょう。,では、そろそろ今日の晩ご飯の準備を始めましょう。,,では、,そろそろ,今日の晩ご飯の,準備を,始めましょう。,"Liên từ ""では"" được dùng với mục đích chuyển đổi trạng thái hoặc bắt đầu một nội dung, hành động mới trong đời sống sinh hoạt gia đình (""Nào/Sau đây thì..."")."
ではあるが,ではあるが,,①この絵はきれいではあるが、感動させるものがない。,このアパートは駅から近くて便利ではあるが、家賃が高すぎる。,,,,,,,"Tính từ đuôi na ""便利"" khi đi với cấu trúc ""ではあるが"" sẽ giữ nguyên dạng bổ nghĩa kết hợp với ""ではあるが"" để diễn tả ý nghĩa nhượng bộ: ""Tuy là tiện lợi thật đấy nhưng...""."
ではあるまいか,N／Na（なの）ではあるまいか A／V のではあるまいか,,①この話は全くの作り話なのではあるまいか。,夫が急に料理を始めたのは、何か隠し事があるのではあるまいか。,夫が急に料理を始めたのは、,何か,隠し事が,あるの,ではある,まいか。,"Mẫu câu 「V-のではあるまいか」 thể hiện sự nghi vấn, suy đoán mang tính văn viết của người nói về một sự việc trong đời sống (""Chẳng phải là có điều gì giấu giếm hay sao""). Động từ ""ある"" đi kèm ""の"" để danh từ hóa."
てはいけない,V－てはいけない,,①遊んでいたらおじいさんがきて、「芝生に入ってはいけないよ。」と言った。,お母さんに内緒で、夜遅くにテレビゲームをしてはいけないよ。,お母さんに内緒で、,夜遅くに,テレビ,ゲームを,しては,いけないよ。,"Mẫu câu cấm đoán cơ bản 「V-てはいけない」. Động từ ""する"" chuyển sang thể te thành ""して"" kết hợp với ""はいけない"" để ra lệnh không được làm gì."
てはいられない,Nではいられない,,①きみは大人になりたくないと言うが、人はいつまでも子供ではいられない。,もうすぐ親になるのだから、いつまでも自由な子供ではいられない。,もうすぐ親になるのだから、,いつまでも,自由な,子供で,はいられ,ない。,"Danh từ ""子供"" kết hợp với ""ではいられない"" để chỉ một thực tế không thể duy trì mãi trạng thái hay thân phận đó nữa do hoàn cảnh thay đổi (""Không thể mãi là đứa trẻ tự do"")."
てはいられない,V－てはいられない,,①時間がないから、遅れて来る人を待ってはいられない。すぐ始めよう。,子供が泣いているから、のんびりテレビを見てはいられない。,子供が泣いているから、,のんびり,テレビを,見ては,いられ,ない。,"Cấu trúc 「V-てはいられない」 diễn tả tình huống cấp bách không cho phép người nói tiếp tục hành động thong dong đó. Động từ ""見る"" chuyển thành ""見ては"" đi với dạng khả năng phủ định ""いられない""."
