Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
ではないか2,～（の）ではないかとおもう,①こんなうまい話は、うそではないかと思う。,弟의部屋はまだ電気がついているから夜遅くまで起きているのではないかと思う。,,,,,,,"[ついているから] biểu thị lý do căn cứ. [夜遅くまで] là phó từ bổ nghĩa cho động từ [起きている]. Mẫu ngữ pháp [のではないか] đi sau thể thông thường (Short form) biểu thị phỏng đoán, liên kết trực tiếp với [と思う] để thể hiện ý kiến của người nói."
ではないだろうか,N／Na（なの）ではないだろうか A／V のではないだろうか,①ひょっとして、これは悪い病気ではないだろうか。,この手作りのケーキは小さな子供にはちょっと味が甘すぎるのではないだろうかと心配です。,この手作りのケーキは,小さな子供には,ちょっと味が,甘すぎる,のではないだろうか,と心配です。,"[小さな子供には] xác định đối tượng hướng đến. [ちょっと味が甘すぎる] tạo thành cụm vị ngữ bổ nghĩa cho phán đoán mang tính hoài nghi [のではないだろうか], theo sau bởi cụm kết bài biểu thị sự lo lắng [と心配です]."
ではなかったか,N／Na（なの）ではなかったか A／V のではなかったか 過去の状況について推測したり、現状が過去と異なることに対する不満を表す書きことば的表現。話しことばでは「（ん）じゃなかったか」（男性）「（ん）じゃなかったの」（女性）などが用いられる。～（の）ではなかったか＜推測＞,①古代人にとってはこれも貴重な食物ではなかったか。,先週の土曜日に駅前のスーパーでばったり会ったのは田中さんの奥さんではなかったかと思い出している。,先週の土曜日に,駅前のスーパーで,ばったり会ったのは,田中さんの奥さん,ではなかったか,と思い出している。,"Cụm danh từ hóa bằng [のは] đóng vai trò chủ ngữ. Đi sau danh từ [田中さんの奥さん] là cấu trúc hồi tưởng/hỏi lại quá khứ [ではなかったか], kết thúc bằng hành động [と思い出している]."
ではなかったか,～（の）ではなかったか＜反期待＞,①昔はとなり近所の人々は互いにもっと協力的ではなかったか。,最近忙しいが、以前は週末に家族みんなで外食する習慣があったのではなかったかと寂しくなる。,最近忙しいが、,以前は週末に,家族みんなで,外食する習慣が,あったのではなかったか,と寂しくなる。,"[外食する習慣が] làm chủ ngữ cho động từ [あった]. Cấu trúc [のではなかったか] dùng để thể hiện sự bất mãn/hối tiếc mang tính phản kỳ vọng so với quá khứ, nối tiếp bằng trạng thái cảm xúc [と寂しくなる]."
ではなかろうか,N／Na（なの）ではなかろうか A／V のではなかろうか,①彼の成績では、この大学は無理ではなかろうか。,雨も降ってきたし、今すぐ家を出発しなければ約束の時間に遅れるのではなかろうかと焦っています。,雨も降ってきたし、,今すぐ家を,出発しなければ,約束の時間に遅れる,のではなかろうか,と焦っています。,Mệnh đề giả định điều kiện [出発しなければ] dẫn tới hệ quả tiêu cực [約束の時間に遅れる]. Mẫu suy đoán lịch sự [のではなかろうか] đứng ở cuối mệnh đề phụ trước khi dẫn vào cảm xúc [と焦っています].
ではなくて,N／Na（なの）ではなくて Aのではなくて Vのではなくて,①彼がこの前一緒に歩いていた女性は、恋人ではなくて、妹なのだそうだ。,私たちが今日買いにきたのはディスプレイの赤い靴ではなくて奥の青いスニーカーなのです。,私たちが今日,買いにきたのは,ディスプレイの赤い靴,ではなくて,奥の青いスニーカー,なのです。,Chủ ngữ danh từ hóa [買いにきたのは] đòi hỏi vế sau chỉ rõ đối tượng. Cấu trúc phủ định vế trước [AではなくてB] (Không phải A mà là B) khớp nối hoàn hảo giữa [赤い靴] và [青いスニーカー].
てはならない,V－てはならない,①一度や二度の失敗であきらめてはならない。,来週のお母さんの誕生日パーティーの内緒の計画は当日まで誰にも話してはならないと釘を刺された。,来週の,お母さんの誕生日パーティーの,内緒の計画は,当日まで誰にも,話してはならない,と釘を刺された。,[内緒の計画は] là chủ ngữ định hướng chủ đề. Cụm [誰にも] kết hợp với dạng cấm đoán [話してはならない] (không được nói cho ai). Cuối cùng là động từ gián tiếp [と釘を刺された] (bị nhắc nhở).
てみせる,V－てみせる,①かれは柔道の型を教えるためにまずやってみせた。,今回は失敗したが、次の週末こそ天然酵母を使って美味しいサワードウを焼いてみせると友達に宣言した。,今回は失敗したが、,次の週末こそ,天然酵母を使って,美味しいサワードウを,焼いてみせる,と友達に宣言した。,"Cách thức hành động được chỉ rõ bằng cụm [天然酵母を使って]. Động từ dạng [V-てみせる] thể hiện quyết tâm cao độ làm gì đó cho người khác xem, phù hợp đi với hành động tuyên bố [と友達に宣言した]."
てみる,V－てみる,①一度そのめずらしい料理が食べてみたい。,最近流行っている料理の便利アプリをスマホにダウンロードして使ってみたいと思っています。,最近流行っている,料理の便利アプリを,スマホに,ダウンロードして,使ってみたい,と思っています。,Chuỗi hành động diễn ra theo trình tự thời gian logic: [ダウンロードして] (tải về) rồi mới đến [使ってみたい] (muốn dùng thử). Kết thúc bằng [と思っています] thể hiện dự định.
てみる,V－てみてはじめて,①病気になってみてはじめて健康の大切さが身にしみた。,大学入学を機に一人暮らしを始めてみてはじめて親が作ってくれたご飯のありがたさが身に染みて分かりました。,大学入学を機に,一人暮らしを,始めてみてはじめて,親が作ってくれたご飯の,ありがたさが身に染みて,分かりました。,Hành động trải nghiệm [始めてみてはじめて] (chỉ sau khi thử bắt đầu sống một mình) dẫn tới một nhận thức mới ở vế sau là sự trân trọng bữa cơm cha mẹ nấu [ありがたさが身に染みて分かりました].
てみる,V－てみると,①表にして比べてみると、両者は実際にはあまり違いがないということがわかる。,動画サイトの人気レシピ通りにお菓子を作ってみると想像していたよりも意外に簡単で綺麗にできました。,動画サイトの,人気レシピ通りに,お菓子を作ってみると,想像していたよりも,意外に簡単で綺麗に,できました。,Trình tự hành động và kết quả: [作ってみると] (sau khi thử làm thử xem sao) thì phát hiện ra một thực tế khách quan ở vế sau là [意外に簡単で綺麗にできました].
