Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
こと,～こと＜ことがら＞ Nのこと Naなこと A／V こと,①なにかおもしろいことないかなあ。,最近何か楽しいことはありましたか。,最近,何か,楽しい,ことは,ありました,か。,"""何か"" (cái gì đó) bổ nghĩa cho danh từ phía sau. Tính từ đuôi -i ""楽しい"" bổ nghĩa trực tiếp cho danh từ ""こと"" để tạo thành cụm danh từ ""楽しいこと"" (điều vui vẻ). Trợ từ ""は"" đi kèm để nhấn mạnh chủ ngữ, kết hợp với động từ tồn tại ở thể quá khứ ""ありました"" và trợ từ nghi vấn ""か"" ở cuối câu."
こと,～（という）こと＜事実＞,①山田さんが魚がきらいなことを知っていますか。,来週母が東京に来ることを知っていますか。,来週,母が,東京に,来ることを,知って,いますか。,"""母が"" làm chủ ngữ cho mệnh đề phụ. ""東京に"" chỉ điểm đến của động từ ""来る"". Việc chuyển ""来る"" sang dạng từ điển kết hợp với ""こと"" giúp danh từ hóa cả mệnh đề trước đó thành một cụm tân ngữ đi với trợ từ ""を"". Động từ chính ""知る"" được chia ở thể tiếp diễn trạng thái ""知っていますか"" để hỏi."
こと,V－る／V－ない こと＜命令＞,①休むときは、かならず学校に達終すること。,夜遅くに一人で外に外出しないこと。,夜遅くに,一人で,外に,外出,しない,こと。,"""夜遅くに"" chỉ thời gian, ""一人で"" chỉ cách thức hành động, ""外に"" chỉ hướng di chuyển. Động từ ""外出する"" được chia sang thể phủ định ngắn thành ""しない"". Việc kết hợp ""V-ない"" với danh từ ""こと"" ở cuối câu tạo thành cấu trúc mang tính chất quy định hoặc mệnh lệnh nhẹ nhàng trong đời sống."
こと,だこと／なこと A－いこと V－ていること,①まあ、かわいいあかちゃんだこと。,今日はなんて風が強いこと！！！,今日は,なんて,風が,強い,こと,！！！,"""今日は"" thiết lập chủ đề thời gian. Phó từ ""なんて"" dùng để nhấn mạnh mức độ trong câu cảm thán, bổ nghĩa cho tính từ ""強い"". ""風が"" làm chủ ngữ cho tính từ. Tính từ đuôi -i ""強い"" kết hợp trực tiếp với ""こと"" ở cuối câu để bộc lộ cảm xúc ngạc nhiên, trầm trồ trước thời tiết."
こと,NことN,①小泉八雲ことラフカデイオ・ハーンはギリシャ生まれ của...,私の友人鈴木さんことたかちゃんは料理が上手です。,私の友人,鈴木さん,こと,たかちゃんは,料理が,上手です。,"""私の友人"" bổ nghĩa cho danh từ ""鈴木さん"". Cấu trúc ""N1ことN2"" dùng để giải thích N1 còn có tên gọi thân mật hoặc bí danh là N2. Ở đây ""鈴木さん"" kết hợp với ""こと"" và biệt danh ""たかちゃん"". Trợ từ ""は"" chỉ chủ ngữ chính cho tính từ tình thái ""上手です"" đi kèm trợ từ ""が""."
こと,Nのこと,①私のこと、すき？,最近母のことが心配で夜も眠れません。,最近,母の,ことが,心配で,夜も,眠れません。,"""最近"" chỉ thời gian gần đây. Danh từ ""母"" đi với ""のこと"" tạo thành cụm ""母のこと"" nghĩa là ""những việc liên quan đến mẹ"" hoặc ""về mẹ"". Trợ từ ""が"" đi kèm để làm đối tượng cho tính từ chỉ cảm xúc ""心配"" (lo lắng). ""心配で"" chia thể -te để chỉ nguyên nhân dẫn đến vế sau ""夜も眠れません""."
ことうけあいだ,"""",①こんどあの人のところに行くときは花を持って行くといい。よろこんでもらえること請け合いだよ。,この店のケーキは絶対に美味しいこと請け合いだよ。,この店の,ケーキは,絶対に,美味しい,こと,請け合いだよ。,"""この店の"" bổ nghĩa cho danh từ ""ケーキ"". Trợ từ ""は"" làm chủ đề câu. Phó từ ""絶対に"" bổ nghĩa cho tính từ ""美味しい"". Tính từ đuôi -i giữ nguyên kết hợp thẳng với cụm ngữ pháp ""こと請け合いだ"" ở cuối câu để khẳng định một cách tuyệt đối dựa trên sự đảm bảo của người nói."
ことか,疑問詞＋Naなことか 疑問詞＋ A／V ことか,①つまらない話を3時間も聞かされる身にもなってください。どれほど退屈なことか。,試験に合格できてどれほど嬉しかったことか。,試験に,合格できて,どれほど,嬉しかった,こと,か。,"""試験に"" là trạng ngữ bổ nghĩa cho động từ ""合格する"". Động từ được chia ở thể khả năng dạng -te ""合格できて"" để chỉ nguyên nhân. Từ nghi vấn ""どれほど"" (biết bao nhiêu) đóng vai trò nòng cốt tạo tính chất cảm thán, đi kèm với tính từ quá khứ ""嬉しかった"" và kết thúc bằng ""ことか""."
ことがある,V－たことが ある／ない,①A：京都へ行ったことがありますか。B：いいえ、まだないんです。,私は一度も一人で旅行したことがありません。,私は,一度も,一人で,旅行した,ことが,ありません。,"""私は"" là chủ ngữ. Phó từ ""一度も"" luôn đi kèm với thể phủ định ở cuối câu để nhấn mạnh tần suất ""chưa từng một lần"". ""一人で"" chỉ cách thức hành động. Động từ ""旅行する"" chia thể quá khứ ngắn ""旅行した"" kết hợp với ""ことがある/ない"" tạo thành cấu trúc nói về trải nghiệm."
ことがある,V－る／V－ない ことがある,①子供たちは仲がいいのですが、たまに喧嘩uをすることがあります。,普段は自炊しますが、たまに近くの店で外食することがあります。,普段は自炊しますが、,たまに,近くの店で,外食する,ことが,あります。,"Vế đầu thiết lập bối cảnh thói quen. Phó từ ""たまに"" (thỉnh thoảng) bổ nghĩa cho hành động ở vế sau. ""近くの店で"" chỉ địa điểm diễn ra hành động. Động từ thể từ điển ""外食する"" kết hợp với ""ことがある"" để diễn tả một sự việc thỉnh thoảng mới xảy ra ở hiện tại chứ không đều đặn."
