Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
せっかく,せっかく～からには,,①せっかく留学するからには、できる限り多くの知識を身につけて帰りたい。,今日せっかくケーキを作ったからにはみんなで美味しく食べたい。,今日,せっかく,ケーキを作った,からには,みんなで,美味しく食べたい。,"Cấu trúc 'せっかく～からには' biểu thị ý nghĩa 'một khi đã mất công làm gì thì...'. 'せっかく' đi với động từ thể thông thường 'ケーキを作った' tạo thành vế chỉ sự cố gắng, kết hợp liên từ 'からには' thể hiện quyết tâm, và trạng từ 'みんなで' bổ nghĩa cho hành động ở Suffix."
せっかく,せっかく～けれとも,,①せっかくここまできたけれども、雨がひどくなってきたから引き返そう。,週末にせっかくデパートに来たけれどもお目当ての服が売り切れていた。,週末に,せっかく,デパートに来た,けれども,お目当ての服が,売り切れていた。,"Cấu trúc 'せっかく～けれども' diễn tả sự nuối tiếc: 'mặc dù đã cất công... nhưng...'. 'せっかく' đi kèm với hành động di chuyển 'デパートに来た', nối bằng liên từ nghịch bộ 'けれども', tiếp theo là chủ ngữ của vế sau 'お目当ての服が' để dẫn tới kết quả đáng tiếc ở Suffix."
せっかく,「せっかくXがY」などの形で、 Xにはまれな機会や努力、骨折りを伴ってなされた行為などが示され、 Yではそれが無駄になることが示され、無駄になって残念だ、申し訳ないなどの話し手の気持ちが表される。せっかく～のだから,,①せっかく来たのだから夕飯を食べて行きなさい。,うちにせっかく遊びに来たのだからゆっくりしていってね。,うちに,せっかく,遊びに来た,のだから,ゆっくり,していってね。,"Cấu trúc 'せっかく～のだから' biểu thị 'vì đã mất công... nên...'. 'せっかく' nhấn mạnh nỗ lực '遊びに来た', đi với 'のだから' để đưa ra lý do chính đáng cho lời khuyên hoặc mong muốn, 'ゆっくり' là phó từ bổ nghĩa cho động từ ở Suffix."
せっかく,せっかく～のだったら,,①せっかくピアノを習うのだったら、少しくらい高くてもいい先生についた方がいい。,来月からせっかく料理を習うのだったら美味しいイタリアンを作れるようになりたい。,来月から,せっかく,料理を習う,のだったら,美味しいイタリアンを,作れるようになりたい。,"Cấu trúc 'せっかく～のだったら' nghĩa là 'nếu đã mất công... thì...'. 'せっかく' đi với động từ nguyên mẫu '料理を習う' và đuôi giả định 'のだったら' để tận dụng cơ hội, vế sau đi với tân ngữ '美味しいイタリアンを' của động từ mong muốn ở Suffix."
せっかく,せっかく ～のに／～ても,,①せっかく招待していただいたのに、伺えなくてすみません。,朝早起きしてせっかくお弁当を作ったのに家に忘れてきてしまった。,朝早起きして,せっかく,お弁当を作った,のに,家に,忘れてきてしまった。,"Cấu trúc 'せっかく～のに' diễn tả tâm trạng bất mãn hoặc tiếc nuối. 'せっかく' bổ nghĩa cho 'お弁当を作った', kết nối bằng trợ từ nghịch bộ 'のに' (mặc dù), vế sau chỉ địa điểm '家に' nơi xảy ra việc quên đồ ở Suffix."
せっかく,せっかく＋連体修飾句＋N,,①せっかく書いた原稿をなくしてしまった。,カフェの帰り道でせっかく買ったコーヒーをうっかりこぼしてしまった。,カフェの帰り道で,せっかく,買った,コーヒーを,うっかり,こぼしてしまった。,"Cấu trúc 'せっかく＋連体修飾句＋N' sử dụng mệnh đề định ngữ. 'せっかく' đứng trước động từ thể quá khứ '買った' để bổ nghĩa cho danh từ 'コーヒーを', đi kèm phó từ 'うっかり' (vô ý) bổ nghĩa cho hành động làm đổ ở Suffix."
せっかく,せっかくですが,,①A：もう遅いですから、泊まっていらしたらいかがですか。B：せっかくですが、あしたは朝から用事がありますので。,A「今週末に映画に行かない？」B「せっかくですがその日はバイトがあるんです,A「今週末に映画に行かない？」B「,せっかく,ですが,その日は,バイトが,あるんです,"'せっかくですが' là cụm từ cố định dùng để từ chối lời mời một cách lịch sự. 'せっかく' đi với 'ですが' để giảm nhẹ sự đường đột, theo sau là trạng từ thời gian 'その日は' và chủ ngữ 'バイトが' dẫn đến lý do ở Suffix."
せっかく,せっかくですから,,①A：食事の準備がしてありますので、うちで召し上がってくださいよ。B：せっかくですから、お言葉に甘えて、そうさせていただきます。,A「お土産のクッキーを食べませんか？」B「せっかくですからお言葉に甘えて一枚いただきます,A「お土産のクッキーを食べませんか？」B「,せっかく,ですから,お言葉に甘えて,一枚,いただきます,"'せっかくですから' dùng để đón nhận lời mời một cách vui vẻ, biết ơn. 'せっかく' đi với 'ですから', theo sau là trạng từ xã giao 'お言葉に甘えて' (xin nhận lòng tốt) và lượng từ '一枚' làm tân ngữ cho động từ ở Suffix."
せつな,V－たせつな,,①目を離したせつな、子供は波にのまれていった。,玄関で鍵を閉めたせつな財布を部屋に忘れたことに気づいた。,玄関で,鍵を,閉めた,せつな,財布を部屋に忘れたことに,気づいた。,"Cấu trúc 'V-たせつな' diễn tả hành động vế sau xảy ra ngay khoảnh khắc vế trước vừa hoàn thành. Tân ngữ '鍵を' đi với động từ '閉めた' ở thể quá khứ, kết hợp với 'せつな', theo sau là cụm danh từ '財布を部屋に忘れたことに' bổ nghĩa cho Suffix."
ぜひ,,,①ぜひ一度遊びにきてください。,今度の休みにぜひ一緒に新しいモールへ買い物に行きましょう。,今度の休みに,ぜひ,一緒に,新しいモールへ,買い物に,行きましょう。,Phó từ 'ぜひ' dùng để nhấn mạnh nguyện vọng hoặc lời mời gọi 'nhất định...'. 'ぜひ' đứng trước phó từ '一緒に' để cùng bổ nghĩa cho cụm từ chỉ hướng vận động '新しいモールへ' và danh từ chỉ mục đích '買い物に'.
