Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
こととおもう,Nのこととおもう Naなこととお思う A／V こととお思う,①≪手紙≫「ごぶさたいたしておりますが、お元気でおすごしのことと思います。」,毎日お忙しいことと思いますが、体調には気をつけてください。,毎日,お忙しい,ことと,思いますが、,体調には,気をつけてください。,Tính từ -i 'お忙しい' bổ nghĩa trực tiếp cho danh từ 'こと'. Cấu trúc 'ことと思う' thể hiện sự đồng cảm và suy đoán lịch sự về tình hình của đối phương trong đời sống. Cụm từ cố định '体調に気をつける' kết hợp ở cuối để tạo lời chúc sức khỏe tự nhiên.
こととて,Nのこととて Vこととて,①子供のやったこととて、大目に見てはいただけませんか。,引っ越したばかりのこととて、部屋がまだ片付いていません。,引っ越した,ばかりの,こととて、,部屋が,まだ,片付いていません。,Cụm '引っ越したばかり' (vừa mới chuyển nhà) đi kèm trợ từ 'の' đóng vai trò như danh từ kết hợp với 'こととて' để đưa ra lý do phân trần khách quan. Trạng từ 'まだ' đi trước động từ phủ định thể trạng thái '片付いていません' để diễn tả phòng ốc chưa dọn dẹp xong.
ことなく,V－ることなく,①ひどいゆきだったが、列車はおくれることなく京都についた。,彼は一度も休むことなく、毎日料理の練習をしている。,彼は,一度も,休む,ことなく、,毎日料理の,練習をしている。,Động từ thể từ điển '休む' kết hợp trực tiếp với 'ことなく' tạo thành trạng từ chỉ cách thức 'mà không nghỉ ngơi một lần nào'. Cụm này bổ nghĩa trực tiếp cho hành động kéo dài '練習をしている' (đang luyện tập nấu ăn hàng ngày) ở vế sau.
ことなしに,V－ることなしに,①努力することなしに成功はありえない。,お互いに話し合うことなしに、この問題は解決できない。,お互いに,話し合う,ことなしに、,この問題は,解決,できない。,Động từ thể từ điển '話し合う' đi với 'ことなしに' thiết lập điều kiện bắt buộc (nếu không thảo luận cùng nhau). Vế sau đi kèm thể phủ định khả năng '解決できない' nhằm nhấn mạnh tính bất khả thi của việc giải quyết vấn đề gia đình/bạn bè nếu thiếu đi điều kiện đó.
ことに,Naなことに A－いことに V一たことに,①残念なことに、私がたずねたときには、その人はもう引っ越したあとだった。,嬉しいことに、欲しかったスニーカーがセールで買えた。,嬉しい,ことに、,欲しかった,スニーカーが,セールで,買えた。,Tính từ -i '嬉しい' kết hợp trực tiếp với 'ことに' đóng vai trò trạng từ nhấn mạnh cảm xúc vui mừng của người nói. Vế sau bổ sung lý do cho cảm xúc đó thông qua sự việc mua được đôi giày yêu thích bằng thể khả năng quá khứ '買えた'.
ごとに,Nごとに V－ることに,①このめざまし時計は5分ごとに鳴る。,週末が来るごとに、家族と一緒にスーパーへ買い物に行く。,週末が,来る,ごとに、,家族と,一緒にスーパーへ,買い物に行く。,"Động từ thể từ điển '来る' đi liền với 'ごとに' thể hiện tính chu kỳ đều đặn (cứ mỗi khi cuối tuần đến). Trợ từ 'と' đi sau '家族' chỉ đối tượng cùng thực hiện hành động, kết hợp cụm định hướng 'スーパーへ買い物に行く' tạo thói quen thường nhật."
ことにしている,「Vことにしている,①私は毎日かならず日記をつけることにしている。,健康のために、夜8時以降は何も食べないことにしている。,健康のために、,夜8時,以降は,何も,食べない,ことにしている。,Cụm '健康のために' đứng đầu chỉ mục đích. Động từ thể ない '食べない' kết hợp với 'ことにしている' thể hiện một quy tắc ăn uống lành mạnh mà cá nhân người nói tự thiết lập và nghiêm túc tuân thủ hàng ngày.
することにする,～ことにする＜決定＞ Vことにする,①あしたからジョギングすることにしよう。,来月の友達の誕生日に、手作りのケーキをプレゼントすることにした。,来月の友達の,誕生日に、,手作りのケーキを,プレゼント,する,ことにした。,'誕生日に' chỉ mốc thời gian đích đến. 'プレゼントする' (Động từ nhóm 3 thể từ điển) kết hợp với 'することにした' biểu thị một quyết định cá nhân vừa đưa ra về việc chuẩn bị món quà sinh nhật làm bằng tay cho bạn thân.
することにする,だということにする V－た（という）ことにする,①その話は聞かなかった（という）ことにしましょう。,怒られるのが怖いので、その割れた皿は最初からなかったことにした。,怒られるのが,怖いので、,その割れた皿は,最初から,なかった,ことにした。,"Vế đầu chỉ nguyên nhân lý do '怖いので'. Thể quá khứ phủ định 'なかった' đi kèm 'ことにした' nhằm bóp méo sự thật, biến một sự việc đã xảy ra (làm vỡ đĩa) thành coi như chưa từng tồn tại nhằm trốn tránh trách nhiệm trong gia đình."
ことになっている,Nということになっている V－る（という）ことになっている V－ない（という）ことになっている,①やすむときは学校に連絡しなければならないことになっています。,私の家では、夕食の後は弟が皿を洗うことになっている。,私の家では、,夕食の後は,弟が,皿を,洗う,ことになっている。,Cụm '私の家では' thiết lập phạm vi quy tắc nội bộ. Động từ thể từ điển '洗う' kết hợp với 'ことになっている' thể hiện một sự phân công công việc hoặc quy định chung mà các thành viên trong gia đình đã thống nhất với nhau.
ことになる,～ことになる＜決定＞ Nということになる V－る（という）ことになる V－ない くという）ことになる,①こんど大阪支社に行くことになりました。,急な出張が入って、来週の家族旅行はキャンセルすることになった。,急な出張が入って、,来週の,家族旅行は,キャンセル,する,ことになった。,"Vế đầu nêu lý do khách quan '出張が入って'. Động từ thể từ điển 'キャンセルする' kết hợp với 'することになった' để diễn tả một kết cục không thể tránh khỏi do tình thế đưa lại, không phải ý muốn chủ quan từ đầu."
ことになる,～ことになる＜言いかえ＞ Nということになる V－る（という）ことになる V－ない（という）ことになる,①4年も留学するの？じゃあ、あの会社には就職しないことになるの？,君が料理を作らないなら、今日の夕飯は外食ということになるね。,君が,料理を,作らないなら、,今日の夕飯は,外食という,ことになるね。,Vế đầu đưa ra điều kiện giả định phủ định '作らないなら'. Danh từ '外食' đi với cấu trúc 'ということになる' nhằm đưa ra một kết luận logic mang tính tất yếu phát sinh từ điều kiện đó trong bối cảnh giao tiếp gia đình.
