Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
よう1,R－ようで（は）,①気の持ちようで何とでもなることだ。,,,,,,,,
よう1,R－ようによっては,①考えようによっては、彼らの人生も幸せだったと言えるのかもしれない。,,,,,,,,
よう2,V－よう＜意志＞,①夏休みには海に行こう。,,,,,,,,
よう2,V－よう＜申し出＞,①足が痛いのか。おぶってやろう。,,,,,,,,
よう2,V一よう＜誘いかけ＞,①君もいっしょに行こうよ。,,,,,,,,
よう2,V－よう＜呼びかけ＞,①横断する時は左右の車に注意しよう。,,,,,,,,
よう2,もらおう／V－てもらおう,①ビールをもう一本もらおう。,,,,,,,,
よう2,V－よう,①場合によっては延期されることもあろう。,,,,,,,,
よう2,V－ようか,①結論としては、次のようなことが言えようか。,,,,,,,,
よう2,V－ようか＜意志＞,①どうしようか。,,,,,,,,
よう2,V－ようか＜申し出＞,①君の代わりに僕がやろうか。,,,,,,,,
よう2,V－ようか＜誘いかけ＞,①結婚しようか。,,,,,,,,
よう2,もらおうか／V－てもらおうか,①お茶を一杯もらおうか。,,,,,,,,
よう2,V－ようが,①どこで何をしようが私の勝手でしょう。,,,,,,,,
よう2,うがV－ようが,①出掛けようが家にいようが、あなたの自由です。,,,,,,,,
よう2,V－ようがV－まいが,①あなたが出席しようがしまいが、私は出席します。,,,,,,,,
よう2,V－ようじやないか,①一緒に飲もうじゃないか。,,,,,,,,
よう2,V－ようと,①なにをしようと私の自由でしょう。,,,,,,,,
よう2,V－ようとV－ようと,①努力しようと怠けようと結果がすべてだ。,,,,,,,,
よう2,V－ようとV一まいと,①行こうと行くまいとあなたの自由だ。,,,,,,,,
