Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
ないで,動詞の否定形がテ形の形をとったもので、後に続く動作や状態がどんな様子・状況・事情のもとに成立するかを表す。V－ないで＜付帯状況＞,①息子は今朝もご飯を食べないで出かけた。,,,,,,,,
ないで,V－ないで＜代わりに＞,①親が来ないで子供が来た。,,,,,,,,
ないで,V－ないで＜原因＞,①子供がちっとも勉強しないで困っています。,,,,,,,,
ないである,V－ないである,①手紙は書いたけれど、出さないである。,,,,,,,,
ないでいる,V－ないでいる,①昨日から何も食べないでいる。,,,,,,,,
ないでおく,V－ないでおく,①時間がないので昼ご飯は食べないでおこう。,,,,,,,,
ないでくれ,,①危険なことはしないでくれよ。,,,,,,,,
ないですむ,V－ないですむ,①道がすいていたので、遅刻しないですんだ。,,,,,,,,
ないではいられない,V－ないではいられない,①こんな悲しい話を聞いたら、泣かないではいられない。,,,,,,,,
ないではおかない,V－ないではおかない,①この作品は、読む者の胸を打たないではおかないだろう。,,,,,,,,
ないではすまない,V－ないではすまない,①知り合いに借りたキャンプ用のテントをひどく破ってしまった。新しいのを買って返さないではすまないだろう。,,,,,,,,
ないでもない,動詞の否定形や形容詞「ない」を受けて、そのようなことが全くないわけではなく、それが存在したり成立することもあるという意味を表す。「～ないこともない」「～なくもない」とも言う。V－ないでもない,①A：納豆はお好きですか。B：食べないでもないですが、あまり好きじゃありません。,,,,,,,,
ないでもない,Nがないでもない,①時には、一人になりたいと思うことがないでもない。,,,,,,,,
ないでもよい,V－ないで（も）よい,①この欄には何も書かないでもよい。,,,,,,,,
ないと,でないと　A－くないと　V－ないと　～ないと＋マイナス評価の内容,①急がないと遅刻するよ。,,,,,,,,
ないと,～ないと～ない,①平均70点以上でないと合格できない。,,,,,,,,
ないと,～ないと　いけない／だめだ,①風邪を防ぐには十分な休養を取らないといけません。,,,,,,,,
ないといい,でないといい　A－くないといい　V－ないといい,①あそこの奥さん、もうちょっとおしゃべりでないといいんだけど。,,,,,,,,
ないともかぎらない,,①今日は父の命日だから、誰かが突然訪ねてこないともかぎらない。,,,,,,,,
ないまでも,V－ないまでも,①毎日とは言わないまでも、週に2、3度は掃除をしようと思う。,,,,,,,,
