Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
ても,いくら～ても,①いくら華やかな職業でも、つらいことはたくさんある。,,,,,,,,
ても,どんなに～ても,①このコンピュータはどんなに複雑な問題でも解いてしまう。,,,,,,,,
ても,疑問詞～ても,①だれが電話してきても、取りつがないでください。,,,,,,,,
ても,どうV－ても,①どう言ってみても、硬の決心を変えさせることはできなかった。,,,,,,,,
ても,なん＋助数詞＋V－ても,①何回聞いても名前が覚えられない。,,,,,,,,
ても,～ても～ただろう,①たとえ、努力しても合格できなかっただろう。,,,,,,,,
ても,～ても～た,①雨でも運動会は行われた。,,,,,,,,
ても,V－てもR－きれない,①彼の親切に対しては、いくら感謝してもしきれない。,,,,,,,,
ても,V－てもとうなるものでもない,①いまから抗議してもどうなるものでもない。,,,,,,,,
ても,V－たくてもV－れない,①急に仕事が入って、飲みに行きたくても行けないのだ。,,,,,,,,
でも1,,①友達はプールヘ泳ぎに行った。でも、わたしはアルバイトで行けなかった。,,,,,,,,
でも2,1Nでも,①この機械は操作が簡単で、子供でも使えます。,,,,,,,,
でも2,N（＋助詞）でも,①コーヒーでも飲みませんか。,,,,,,,,
でも2,R－でもしたら,①放っておいて、病気が悪くなりでもしたら、どうするんですか。,,,,,,,,
でも2,でも→【ても】、【てもいい】4、【てもかまわない】、【てもよろしい】【でもあり、でもある】NでもありNでもある　NaでもありNaでもある　AくもありAくもある,①彼はこの会社の創始者でもあり、今の社長でもある。,,,,,,,,
てもいい,V－てもいい＜許可＞,①A：入ってもいいですか。B：どうぞ。,,,,,,,,
てもいい,V－てもいい＜可能性＞,①ワインのかわりに、しょうゆで味をつけてもいい。,,,,,,,,
てもいい,V－てもいい＜申し出＞,①A：わたしは、月曜日はちょっと家を出られないんですが。B：じゃあ、わたしがお宅へ伺ってもいいですよ。A：それじゃ、そうしてください。,,,,,,,,
てもいい,でもいい　A－くてもいい,①印かんがなければ、サインでもいいですよ。,,,,,,,,
てもかまわない,V－てもかまわない＜許可＞,①この集まりにはすこしぐらい遅れてもかまわない。,,,,,,,,
