Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
てもかまわない,V－てもかまわない＜可能性＞,①タクシーで行ってもかまわなかったのだが、車で送ってくれるというので、乗せてもらった。,,,,,,,,
てもかまわない,でもかまわない　A－くてもかまわない,①何か上着のようなものを貸してください。大きくてもかまいません。,,,,,,,,
てもさしつかえない,でもさしつかえない　A－くてもさしつかえない　V－てもさしつかえない,①無理をしなければ運動をしてもさしつかえありません。,,,,,,,,
てもしかたがない,でもしかたがない　A－くてもしかたがない　V－てもしかたがない,①このレポートでは、やりなおしを命じられても仕方がない。,,,,,,,,
でもって,Nでもって,①行為でもって誠意を示しなさい。,,,,,,,,
でもって,でもって,①彼女は美人である。でもってスポーツ万能ときている。,,,,,,,,
でもない,Vでもない,①彼は反論するでもなく、ただぼんやりたばこをすっている。,,,,,,,,
てもよろしい,V一てもよろしい＜許可＞,①A：君たち、きょうは、もう帰ってもよろしい。B：はい、社長。,,,,,,,,
てもよろしい,V－てもよろしいですか　V－てもよろしいでしょうか,①A：先生、お聞きしたいことがあるんですが、少しお時間をいただいてもよろしいでしょうか。B：いいですよ。,,,,,,,,
てもよろしい,～てもよろしい＜可能性＞,①A：ネクタイピンはこちらをおつけになってもよろしいですね。B：そうですね。,,,,,,,,
てもよろしい,でもよろしい　A－くてもよろしい,①面会はあしたでもよろしい。,,,,,,,,
てもらう,V－てもらう,①私はタイ人の友だちにタイ料理を教えてもらった。,,,,,,,,
てもらう,V－てもらえるか　V－てもらえないか,①A：ちょっとドア、閉めてもらえる？B：いいよ。,,,,,,,,
てもらう,V－てもらえるとありがたい　V－てもらえるとうれしい,①A：今度の日曜日、もし時間があったら、引っ越しの手伝いに来てもらえるとありがたいんですけど。B：あ、いいですよ。,,,,,,,,
てもらう,V－てやってもらえるか　V－てやってもらえないか,①わるいけど、ちょっと太郎の宿題を見てやってもらえる？,,,,,,,,
てやまない,V－てやまない,①愛してやまないアルプスの山々は今日もきれいだ。,,,,,,,,
てやる,V－てやる,①子供に新しい自転車を買ってやったら、翌日盗まれてしまった。,,,,,,,,
てん,～てん　Nのてん　Naなてん　A－いてん　Vてん,①兄より弟の方が行動力の点でまさっている。,,,,,,,,
てん,～というてん　Nというてん　Naだというてん　A－いというてん　Vというてん,①彼の設計は創造性という点で高く評価された。,,,,,,,,
と1,だと　A一いと】V－ると　述語の辞書形に付く。たいてい普通体に付くが、丁寧に言う場合は「～ですと」「～ますと」となる場合もある。前の出来事を契機にして後の出来事が成立するという関係を表す。～と＜一般条件＞,①あまり生活が便利だと、人は不精になる。,,,,,,,,
