Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
こと,～こと＜ことがら＞　Nのこと　Naなこと　A／V　こと,①なにかおもしろいことないかなあ。,,,,,,,,
こと,～（という）こと＜事実＞,①山田さんが魚がきらいなことを知っていますか。,,,,,,,,
こと,V－る／V－ない　こと＜命令＞,①休むときは、かならず学校に達終すること。,,,,,,,,
こと,だこと／なこと　A－いこと　V－ていること,①まあ、かわいいあかちゃんだこと。,,,,,,,,
こと,NことN,①小泉八雲ことラフカデイオ・ハーンはギリシャ生まれのイギリス人だ。,,,,,,,,
こと,Nのこと,①私のこと、すき？,,,,,,,,
ことうけあいだ,,①こんどあの人のところに行くときは花を持って行くといい。よろこんでもらえること請け合いだよ。,,,,,,,,
ことか,疑問詞＋Naなことか　疑問詞＋　A／V　ことか,①つまらない話を3時間も聞かされる身にもなってください。どれほど退屈なことか。,,,,,,,,
ことがある,V－たことが　ある／ない,①A：京都へ行ったことがありますか。B：いいえ、まだないんです。,,,,,,,,
ことがある,V－る／V－ない　ことがある,①子供たちは仲がいいのですが、たまに喧嘩をすることがあります。,,,,,,,,
ことができる,V－ることができる,①アラビア語を話すことができますか。,,,,,,,,
ことこのうえない,Naなことこのうえない　A－いことこのうえない,①丁重なことこの上ないごあいさつをいただき、恐縮しております。,,,,,,,,
ごとし,文語で現在では書きことばにしか用いない。「ごとし」は文末に用いられる形で、「ごときN」、「ごとくV」のように活用する。ごとし　Nのごとし　Nであるがごとし,①光陰矢のごとし。,,,,,,,,
ごとし,～かのごとし,①彼女はそのことを知っているはずなのに、まったく聞いたことがないかのごとき態度だった。,,,,,,,,
ことだ,V－る／V－ない　ことだ,①日本語がうまくなりたければもっと勉強することです。それいがいに方法はありません。,,,,,,,,
ことだ,～ことだ　Naなことだ　A－いことだ,①家族みんな健康で、けっこうなことだ。,,,,,,,,
ことだから,Nのことだから,①彼のことだからどうせ時間どおりにはこないだろう。,,,,,,,,
ことだし,であることだし　Naなことだし　A／V　ことだし,①雨がふってきそうだから、きょうは散歩はやめておこうか。こどもたちもかぜをひいていることだし。,,,,,,,,
ことだろう,な／である　ことだろう　A／V　ことだろう,①ながいあいだ会っていないが、山田さんのこどもさんもさぞおおきくなったことだろう。,,,,,,,,
ことで,Nのことで,①さっきのお話のことで質問があるんですが。,,,,,,,,
