Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
うえ,V－たうえで,①では、担当の者と相談した上で、改めてご返事させていただきます。,,,,,,,,
うえ,V－る／V－たうえは,①やると言ってしまったうえは、何がなんでもやらなければならない。,,,,,,,,
うえ,～うえ（に）　Nであるうえに　Naなうえに　A／V　うえに,①今年は冷夏である上に台風の被害も大きくて、野菜は異常な高値を記録している。,,,,,,,,
うち,Nのうち,①この三曲のうちでどれが一番気に入りましたか。,,,,,,,,
うち,～うちにはいらない　Nのうちにはいらない　A－いうちにはいらない　Vうちにはいらない,①通勤の行き帰りに駅まで歩くだけでは、運動するうちに入らない。,,,,,,,,
うち,～うちに　Nのうちに　Naなうちに　A－いうちに,①朝のうちに宿題をすませよう。,,,,,,,,
うち,V－ている／V－るうちに,①彼女は話しているうちに顔が真っ赤になった。,,,,,,,,
うち,V－ないうちに,①知らないうちに隣は引っ越していた。,,,,,,,,
うち,V－るかV－ないうちに,①夕食に手をつけるかつけないうちに、ポケットベルで呼び出された。,,,,,,,,
うち,～うちは　Nのうちは　Naなうちは　A－いうちは　V－る／V－ているうちは　V－ないうちは,①明るいうちはこのあたりはにぎやかだが、夜になると人通りもなくなり、一人で歩くのは危ない。,,,,,,,,
うち,～うちが　Nのうちが　Naなうちが　A－いうちが　V一る／V－ているうちが　V－ていないうちが,①若いですねと言ってもらえるうちが花だ。,,,,,,,,
うる,R－うる,①彼が失敗するなんてありえない。,,,,,,,,
える,,①21世紀には人が月で生活することもありえるかもしれない。,,,,,,,,
お～いたす,おR－いたす　ごNいたす,①お食事をお持ちいたしましょうか。,,,,,,,,
お～いただく,おR－いただく　ごNいただく,①今日は遠いところをわざわざお集まりいただきましてありがとうございます。,,,,,,,,
お～くださる,おR－くださる　ごNくださる,①今日お話しくださる先生は、東西大学の山川先生です。,,,,,,,,
お～する,おR－する　ごNする,①先生、お荷物をお持ちします。,,,,,,,,
お～です,おR－だ　ごNだ,①林先生は信州に別荘をお持ちだそうですよ。,,,,,,,,
お～です,週間いらっしゃらないそうです。,①お宅のご主人は本社にご栄転だそうですね。,,,,,,,,
お～なさる,おR－なさる　ごNなさる,①あの先生がお話しなさったことは、多くの人たちにとって生きていく心の支えとなるだろう。,,,,,,,,
