Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
やがて,,①秋が終わり、やがてきびしい冬がやってきた。,,,,,,,,
やすい,R－やすい,①このペンはとても書きやすい。,,,,,,,,
やたらに,,①今日はやたらに忙しい一日だった。,,,,,,,,
やっと,やっと＜期待の実現＞,①三回試験を受けて、やっと合格した。,,,,,,,,
やっと,やっとV－た,①タクシーをとばして、やっと約束の時間に間に合った。,,,,,,,,
やっと,やっとV－ている,①退職してからは、国から支払われる年金で、やっと生活している。,,,,,,,,
やっと,やっとV－るN,①私の家は、家族5人がやっと暮らせる広さしかない。,,,,,,,,
やっと,やっとNだ,①宿題はなかなか終わらない。まだやっと半分だ。,,,,,,,,
やっと,Nが／～のが　やっとだ,①家の前の道は、車一台が通るのがやっとだ。,,,,,,,,
やなんぞ,Nやなんぞ,①大学の名前やなんぞでぼくを評価してほしくない。,,,,,,,,
やむ,R－やむ,①夜中の三時ごろになってやっと赤ん妨は泣きやんだ。,,,,,,,,
やら,～やら～やら,①来月はレポートやら試験やらでひどく忙しくなりそうだ。,,,,,,,,
やら,～のやら～のやら,①行きたいのやら行きたくないのやら、あの人の気持ちはどうもよくわからない。,,,,,,,,
やら,疑問詞～のやら,①きのうの昼に何を食べたのやらまったく思い出せない。,,,,,,,,
やら,疑問詞＋やら,①なにやら騒がしいと思ったら、近所が火事だった。,,,,,,,,
ゆえ,古い言い方。書きことば。ゆえ,①ゆえあって故郷を捨て、この極寒の地に参りました。,,,,,,,,
ゆえ,Nのゆえに,①貧困のゆえに高等教育を受けられない子供たちがいる。,,,,,,,,
ゆえ,～がゆえ,①女性であるが故に差別されることがある。,,,,,,,,
ゆえ,～のはNゆえである,①息子は窃盗、万引きで何度つかまったことか。それでも見捨てないのは子供可愛さゆえである。,,,,,,,,
よう1,R－ようがない,①こんなにひどく壊れていては、直しようがない。,,,,,,,,
