Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
なに～ない,なに～ない,①彼は父から受け継いだ大きな家に住んで、なに不自由なく暮らしている。,,,,,,,,
なにか,なにか＜物事＞,①冷蔵庫に何か入っているから、お腹がすいたら食べなさい。,,,,,,,,
なにか,なにか＜様子＞,①彼の態度は何か不自然だ。,,,,,,,,
なにか,～かなにか　N／V　かなにか,①コーヒーか何か飲みませんか。,,,,,,,,
なにか,Nやなにか,①休みの日は雑誌や何かを読んでのんびり過ごします。,,,,,,,,
なにか,なにか＜詰問＞,①それならなにか。この会社を辞めてもいいんだな。,,,,,,,,
なにかしら,,①なにかしらアルバイトをしているので、生活には困りません。,,,,,,,,
なにかと,なにかと,①なにかと雑用が多くてゆっくりできません。,,,,,,,,
なにかと,なにかというと,①あの人はなにかと言うと文句ばかり言っている。,,,,,,,,
なにがなんでも,なにがなんでも＜意気込み＞,①あの人には、なにがなんでも負けたくない。,,,,,,,,
なにがなんでも,なにがなんでも＋マイナス評価表現＜非難＞,①この記事は、なにがなんでもひどすぎる。,,,,,,,,
なにかにつけて,,①なにかにつけてその時のことが思い出される。,,,,,,,,
なにげない,なにげないN　なにげなくV,①何気ないその一言が私の心をひどく傷つけた。,,,,,,,,
なにしろ,,①なにしろ彼は頭がいいから、私がどんなに頑張っても言い負かされてしまう。,,,,,,,,
なににもまして,,①なににもまして健康が大切です。,,,,,,,,
なにも,なにも～ない,①外は暗くてなにも見えない。,,,,,,,,
なにも,なにも～ない,①なにも、みんなの前で、そんなに恥ずかしい話をしなくてもいいでしょう。,,,,,,,,
なにも,なにも～わけではない,①私はなにも、あなたがやっていることを非難しているわけではないんです。ただちょっと注意したほうがいいと思って忠告しているんじゃないですか。,,,,,,,,
なにも,Nもなにも,①戦争で、家もなにも全てを失ってしまった。,,,,,,,,
なにも,～もなにも　A／V　もなにも,①A：高田さん、あなた必ずやるって約束してくれたじゃないですか。B：約束するもなにも、私はそんなことを言った覚えもないですよ。,,,,,,,,
