Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
いかにも,いかにも,①A：結局、この計画が成功するかしないかは、地域の住民の方々がどう反応するかにかかっているわけですね。B：いかにもその通りです。ですから、予測がつかないと言っているのですよ。,,,,,,,,
いかん,Nいかん,①これが成功するかどうかはみんなの努力いかんだ。,,,,,,,,
いかん,Nいかんで,①客の出足いかんでは1週間で上映を打ち切られる可能性もある。,,,,,,,,
いくら,いくら＜質問＞,①この本はいくらですか。,,,,,,,,
いくら,いくら＜不定＞,①いくらなら案内してもらってもいいとこちらから先に提示した。,,,,,,,,
いくら,いくらでも,①ビールならまだいくらでもあるから、安心して飲んでください。,,,,,,,,
いくら,いくらも～ない,①もうワインはいくらも残っていない。,,,,,,,,
いくら,いくらV－ても,①いくら練習してもうまくならない。,,,,,,,,
いくら,いくら～といっても　いくらNaだといっても　いくらA－いといっても,①いくら給料がいいと言っても、残業がそんなに多いのでは就職するのはいやだ。,,,,,,,,
いくら,いくら～からといって（も）,①いくら淋しいからと言って、夜中の3時に友達に電話するなんて非常識だ。,,,,,,,,
いくら,いくら～からといっても,①いくら才能がないからと言っても、10年もピアノをやっていれば簡単な伴奏ぐらいはできるだろう。,,,,,,,,
いくら,いくらなんでも,①そういう言い方はいくらなんでもひどすぎるよ。,,,,,,,,
いくら,いくらV－たところで,①いくらがんばってみたところで結果的には同じことだ。,,,,,,,,
なくてはいけない,でなくてはいけない　A－くなくてはいけない　V－なくてはいけない,①履歴書は自筆のものでなくてはいけない。,,,,,,,,
いご,Nいご,①あの事件以後、そこを訪れる人はほとんどいなくなった。,,,,,,,,
いご,いご,①以後私達はこの問題に関しては手を引きます。,,,,,,,,
いささか,いささか,①今回の試験は前回に比べていささか難解すぎたように思う。,,,,,,,,
いささか,いささかも～ない,①今回の事件には私はいささかも関係ございません。,,,,,,,,
いざしらず,N　はいざしらず,①昔はいざしらず、今は会社を10も持つ大実業家だ。,,,,,,,,
いじょう,数量詞＋いじょう,①体重が45キロ以上なら献血できる。,,,,,,,,
