Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
について,Nについて,①農村の生活様式について調べている。,,,,,,,,
について,N＋数量詞＋について,①車1台について5千円の使用料をちょうだいします。,,,,,,,,
につき,Nにつき＜関して＞,①本部の移転問題につき審議が行われた。,,,,,,,,
につき,Nにつき＜理由＞,①改装中につきしばらくお休みさせていただきます。,,,,,,,,
につき,N＋数量詞＋につき,①参加者200人につき、5人の随行員がついた。,,,,,,,,
につけ,Nにつけ,①何事につけ我慢が肝心だ。,,,,,,,,
につけ,V－るにつけ,①彼女の姿を見るにつけ、その時のことが思い出される。,,,,,,,,
につけ,～につけ～につけ　AにつけAにつけ　VにつけVにつけ,①いいにつけ悪いにつけ、あの人達の協力を仰ぐしかない。,,,,,,,,
につれて,Nにつれて　V－るにつれて,①町の発展につれて、前になかった新しい問題が生まれて来た。,,,,,,,,
にて,Nにて,①校門前にて写真撮影を行います。,,,,,,,,
にとって,Nにとって,①彼にとってこんな修理は何でもないことです。,,,,,,,,
にどと～ない,にどとV－ない,①こんな恐ろしい思いは二度としたくない。,,,,,,,,
にとどまらず,Nにとどまらず,①その流行は大都市にとどまらず地方にも広がっていった。,,,,,,,,
にともない,Nにともない　Vのにともない,①高齢化にともない、老人医療の問題も深刻になりつつある。,,,,,,,,
にともなって,Nにともなって　Vのにともなって,①気温の上昇にともなって湿度も上がり蒸し暑くなってきた。,,,,,,,,
になく,Nになく,①店の中はいつになく静かだった。,,,,,,,,
ににあわず,Nににあわず,①いつもの佐藤さんに似合わず口数が少なかった。,,,,,,,,
には,Nには＜時・場所・方向・相手なと＞,①春には桜が咲きます。,,,,,,,,
には,Nには＜評価の基準＞,①このセーターは私には大きすぎる。,,,,,,,,
には,Nには＜尊敬の対象＞,①皆様にはお変わりなくお過ごしのことと存じます。,,,,,,,,
