Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
のに2,V－るのに,N4,①この道具はパイプを切るのに使います。,このソフトはプロジェクトのスケジュールを管理するのに使います。,このソフトは,プロジェクトの,スケジュールを,管理する,のに,使います。,1. 「プロジェクトの」 bổ nghĩa cho danh từ 「スケジュール」 để giới hạn phạm vi công việc. 2. Trợ từ 「を」 biểu thị đối tượng tác động trực tiếp của hành động 「管理する」. 3. Động từ thể từ điển 「管理する」 kết hợp với cấu trúc ngữ pháp 「のに」 nhằm chỉ mục đích (để làm việc gì đó). 4. Động từ cuối câu 「使います」 khẳng định công cụ được sử dụng phục vụ trực tiếp cho mục đích trên.
のは～だ,なのは～だ　A／V　のは～だ　「XのはYだ」の形で、聞き手がすでに知っていることや予測のつくことをXで述べ、Yの部分で聞き手の知らない新しいことを述べる用法。～のは　Nだ／N＋助詞＋だ,N4,①このことを私に教えてくれたのは山田さんです。,昨日契約書を送ってくださったのは佐藤さんです。,昨日,契約書を,送って,くださった,のは,佐藤さんです。,1. Cụm danh từ bổ ngữ 「契約書を」 làm tân ngữ cho chuỗi hành động phía sau. 2. Sử dụng hình thức liên kết liên động từ 「送って」 nối tiếp hành động kính ngữ cấp trên 「くださった」. 3. Cấu trúc danh từ hóa nhấn mạnh 「のは」 biến toàn bộ phần thông tin hành động đã biết trước đó thành cụm chủ ngữ. 4. Thành phần danh từ chỉ danh tính nhân sự mới 「佐藤さんです」 đặt ở cuối câu nhằm giải đáp thông tin cốt lõi được nhấn mạnh.
のは～だ,のは～からだ,N4,①彼女が試験に失敗したのは、体の調子が悪かったからだ。,新製品の発売が遅れたのはシステムに問題があったからです。,新製品の,発売が,遅れた,のは,システムに問題が,あったからです。,1. Cụm danh từ sở hữu 「新製品の」 bổ nghĩa làm rõ loại sản phẩm cho danh từ hành vi 「発売」. 2. Trợ từ 「が」 đi liền tự động từ chỉ hiện trạng khách quan 「遅れた」. 3. Cấu trúc danh từ hóa mang tính quy kết hệ quả 「のは」 làm mào đầu trước khi đưa ra lý do. 4. Cụm mô tả trạng thái lỗi hệ thống 「システムに問題があった」 đi liền kết cấu chỉ nguyên nhân thể lịch sự kinh doanh 「からです」.
のは～だ,のは～ためだ,N3,①電車が遅れたのは、踏切事故があったためだ。,本日の会議が中止になったのはクライアントから日程変更の要望があったためです。,本日の,会議が,中止になった,のは,クライアントから日程変更の要望が,あったためです。,"1. Cụm định vị thời gian phối thuộc 「本日の会議が」 làm chủ ngữ cho trạng thái kết quả khách quan ngoài ý muốn 「中止になった」. 2. Sử dụng 「のは」 danh từ hóa vế đầu để thu hút sự chú ý vào lý do trang trọng phía sau. 3. Đoạn thông tin xuất xứ yêu cầu đối tác 「クライアントから日程変更の要望が」 làm chủ thể tồn tại cho động từ 「あった」. 4. Mẫu kết thúc câu giải thích nguyên nhân mang sắc thái trang nghiêm, lịch sự cao trong văn phong công sở 「ためです」."
のは～だ,のは～おかげだ,N3,①子供が助かったのはあなたのおかげです。,このプロジェクトが成功したのは皆様がご協力くださったおかげです。,この,プロジェクトが,成功した,のは,皆様がご協力,くださったおかげです。,1. Cụm chỉ định mục tiêu kinh doanh 「このプロジェクトが」 đóng vai trò chủ từ của tự động từ kết quả 「成功した」. 2. Kết cấu nhấn mạnh nguyên nhân tích cực 「のは」 hướng đến việc tôn vinh hành động của đối phương. 3. Cụm chủ vị thể hiện kính ngữ lòng biết ơn tôn quý 「皆様がご協力くださった」. 4. Kết cấu ngữ pháp tri ân 「おかげです」 chốt lại nguyên do tạo nên thành quả tốt đẹp hôm nay.
のは～だ,のは～せいだ,N3,①雪崩に巻き込まれたのは、無謀な計画のせいだ。,予算が超過したのは初期の見積もりが不正確だったせいです。,予算が,超過した,のは,初期の,見積もりが,不正確だったせいです。,"1. Cụm chủ vị tiêu cực 「予算が超過した」 chỉ hiện tượng thâm hụt tài chính doanh nghiệp. 2. Thêm ngữ pháp danh từ hóa 「のは」 nhằm làm nổi bật lý do chịu trách nhiệm cho lỗi sai này. 3. Tính từ sở hữu thời điểm 「初期の」 bổ nghĩa trực tiếp cho danh từ tính toán 「見積もり」. 4. Kết hợp cụm tính từ quá khứ chỉ bản chất 「不正確だった」 đi cùng mẫu đổ lỗi, quy trách nhiệm hậu quả xấu cấu trúc 「せいです」."
のみ,Nのみ,N2,①経験のみに頼っていては成功しない。,我が社は商品の品質のみに頼っていては激しい市場競争に勝てない。,我が社は,商品の,品質のみに,頼っていては,激しい,市場競争に勝てない。,1. Chủ từ đại diện tổ chức 「我が社は」 định vị góc nhìn doanh nghiệp. 2. Danh từ hạn định sở hữu thuộc tính 「商品の品質」 kết hợp trực tiếp hạt ngữ pháp giới hạn hạn định 「のみ」 kèm trợ từ đối tượng 「に」. 3. Động từ chia thể điều kiện giả định tiêu cực kéo dài 「頼っていては」 biểu thị hệ quả xấu nếu duy trì trạng thái phụ thuộc. 4. Tính từ tính chất mức độ cao 「激しい」 bổ nghĩa trực tiếp cụm danh từ kết quả phủ định cuối câu 「市場競争に勝てない」.
のみ,V－るのみだ,N1,①準備は整った。あとはスイッチをいれるのみだ。,提案書の作成はすべて完了しました。あとはクライアントの回答を静かに待つのみです。,提案書の作成はすべて完了しました。あとは,クライアントの,回答を,静かに,待つ,のみです。,"1. Câu tiền đề đóng vai trò thông báo trạng thái công việc đã hoàn tất, từ nối bổ trợ định hướng 「あとは」 mở đường cho giải pháp duy nhất còn lại. 2. Cụm từ sở hữu cách khách hàng 「クライアントの回答」 kết hợp trợ từ chỉ mục tiêu 「を」. 3. Trạng từ phong thái kinh doanh 「静かに」 bổ nghĩa trực tiếp cho động từ hành vi 「待つ」. 4. Mẫu cấu trúc tối cao N1 「V-る + のみです」 chốt câu thể hiện trạng thái không còn lựa chọn hành động nào khác ngoài việc chờ đợi kết quả."
のみ,Nあるのみだ,N1,①こうなったからは前進あるのみだ。,新規事業が立ち上がったからには、掲げた目標の達成に向けて邁進あるのみです。,新規事業が立ち上がったからには、,掲げた,目標の,達成に向けて,邁進,あるのみです。,1. Vế bối cảnh trách nhiệm pháp lý cao độ 「新規事業が立ち上がったからには」 đặt ra tình thế một khi đã bắt đầu. 2. Định ngữ thể quá khứ hành động quyết tâm 「掲げた」 bổ nghĩa danh từ cốt lõi 「目標」. 3. Cụm từ chỉ phương hướng hành động chiến lược 「達成に向けて」 bổ nghĩa cụm hành vi phía sau. 4. Danh từ tư thế hành động quyết liệt 「邁進」 đi liền trực tiếp mẫu ngữ pháp tối cao khẳng định ý chí tuyệt đối không lùi bước 「あるのみです」.
のみならず,～のみならず～も　NのみならずNも　NaであるのみならずNaでも　A－いのみならずA－くも　VのみならずNもV,N1,①若い人のみならず老人や子供達にも人気がある。,このシステムは社内の業務効率化のみならず取引先のコスト削減にも貢献します。,このシステムは,社内の,業務効率化のみならず,取引先の,コスト削減にも,貢献します。,1. Cụm chủ từ thực thể trung tâm 「このシステムは」. 2. Định ngữ phạm vi nội bộ 「社内の」 đi liền danh từ mục tiêu kết hợp cấu trúc ngữ pháp song hành cấp độ cao 「業務効率化のみならず」 (không chỉ). 3. Vế đối ứng bổ trợ bên ngoài 「取引先の」 bổ nghĩa cho danh từ đi kèm trợ từ tăng tiến nhấn mạnh diện rộng 「コスト削減にも」. 4. Động từ trang trọng kết thúc câu khẳng định giá trị toàn diện 「貢献します」.
