Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
ほしい,～がV－てほしい,,①寒い冬にはもうあきあきしてきた。早く春がきてほしい。,,,,,,,,,,,,,,,,,,,
ほしい,Nがほしいんですが,,①客：すみません。これがほしいんですが。店員：こちらでございますか。ありがとうございます。,,,,,,,,,,,,,,,,,,,
ほしい,V－てほしい（んだけれと）,,①客：プレゼントなので、リボンをかけてほしいんですが。店員：はい、少々お待ちください。,,,,,,,,,,,,,,,,,,,
ほしい,V－させてほしいくんだけれと）,,①A：来週休ませてほしいんですけど。B：ああ、いいよ。,,,,,,,,,,,,,,,,,,,
ほしがる,Nをほしがる,,①山下さんは新しい車を欲しがっている。,,,,,,,,,,,,,,,,,,,
ほど,数量詞＋ほど＜概数＞,,①水を10CCほど入れてください。,,,,,,,,,,,,,,,,,,,
ほど,～ほど～ない,,①今年の夏は去年ほど暑くない。,,,,,,,,,,,,,,,,,,,
ほど,～ほど～Nはない,,①試験ほどいやなものはない。,,,,,,,,,,,,,,,,,,,
ほど,～ほど　Nほど　A－いほど　V－るほど,,①この商品はおもしろいほどよく売れる。,,,,,,,,,,,,,,,,,,,
ほど,～ほどだ　Naなほどだ　A／V　ほどだ,,①ずいぶん元気になって、昨日なんか外に散歩にでかけたほどです。,,,,,,,,,,,,,,,,,,,
ほど,～ほどの～ではない　～ほどのNではない　～ほどの　こと／もの　ではない,,①医者に行くはどのけがではない。,,,,,,,,,,,,,,,,,,,
ほど,というほどではない　A／V　というほどではない,,①酒は好きだが、毎日飲まないではいられないというほどじゃない。,,,,,,,,,,,,,,,,,,,
ほど,ほど　A－いほど　V－るほど,,①年をとるほど体が弱くなる。,,,,,,,,,,,,,,,,,,,
ほど,であればあるほど　A－ければA－いほど　V－ばV－るほど,,①食べれば食べるほど太る。,,,,,,,,,,,,,,,,,,,
ほどなく,V－てほどなく　V－るとほどなく,,①祖父が亡くなってほどなく祖母も亡くなった。,,,,,,,,,,,,,,,,,,,
ほとんど,ほとんど,,①この小説はほとんど読んでしまった。,,,,,,,,,,,,,,,,,,,
ほとんど,ほとんど～ない,,①給料日前でほとんど金がない。,,,,,,,,,,,,,,,,,,,
ほとんど,ほとんど～た　ほとんどV－るところだった　ほとんどR－かけた,,①子供の頃、チフスでほとんど死にかけたことがある。,,,,,,,,,,,,,,,,,,,
まい,V－まい＜意志＞,,①酒はもう二度と飲むまい。,,,,,,,,,,,,,,,,,,,
まい,V－まいとする,,①銃を奪われまいとして争いになった。,,,,,,,,,,,,,,,,,,,
