Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
を～にひかえて,NをNにひかえ（て）,N2,,①試験を来週にひかえ、図書館は毎日おそくまで学生でいっぱいである。,,,,,,,,,,,,,,,,,,,
をおいて,Nをおいて,N1,,①都市計画について相談するなら、彼をおいて他にはいないだろう。,,,,,,,,,,,,,,,,,,,
をかぎりに,Nをかぎりに,N2,,①今日をかぎりに今までのことはきれいさっぱり忘れよう。,,,,,,,,,,,,,,,,,,,
をかわきりに,Nをかわきりに,N1,,①彼女は、店長としての成功を皮切りに、どんどん事業を広げ、大実業家になった。,,,,,,,,,,,,,,,,,,,
をきんじえない,,N1,,①思いがけない事故で家族を失った方々には同情を禁じえません。,,,,,,,,,,,,,,,,,,,
をけいきとして,Nをけいきとして,N2,,①彼女は大学入学を契機として親元を出た。,,,,,,,,,,,,,,,,,,,
をこめて,Nをこめて,N3,,①母親のために心をこめてセーターを編んだ。,,,,,,,,,,,,,,,,,,,
をして～させる,NをしてV－させる,N1,,①あのきびしい先生をして「もう教えることは何もない」と言わせたのだから、あなたはたいしたものだよ。,,,,,,,,,,,,,,,,,,,
をぜんていに,NをぜんていにV,N2,,①彼女は記事にしないことを前提にそのことを記者に話した。,,,,,,,,,,,,,,,,,,,
をたよりに,NをたよりにV,N3,,①あなたがいなければ、これからわたしは何をたよりに（して）生きていけばいいのですか。,,,,,,,,,,,,,,,,,,,
をちゅうしんに,NをちゅうしんにV,N3,,①そのグループは山田さんを中心に作業を進めている。,,,,,,,,,,,,,,,,,,,
をつうじて,NをつうじてV,N3,,①その話は山田さんを通じて相手にもつたわっているはずです。,,,,,,,,,,,,,,,,,,,
をつうじて,Nをつうじて,N3,,①その国は一年をつうじてあたたかい。,,,,,,,,,,,,,,,,,,,
をとわず,Nをとわず,N2,,①彼らは昼夜を問わず作業を続けた。,,,,,,,,,,,,,,,,,,,
をのぞいて,Nをのぞいて（は）,N3,,①山田さんをのぞいて、みんな乗ています。,,,,,,,,,,,,,,,,,,,
をふまえ,Nをふまえ（て）V,N2,,①いまの山兄さんの報告をふまえて話し合っていただきたいと思います。,,,,,,,,,,,,,,,,,,,
をもとに,Nをもとに（して）,N3,,①実際にあった話をもとにして脚本を書いた。,,,,,,,,,,,,,,,,,,,
をものともせずに,Nをものともせずに,N1,,①彼らのヨットは、嵐をものともせずに、荒海を渡り切った。,,,,,,,,,,,,,,,,,,,
をよぎなくさせる,Nをよぎなくさせる,N1,,①台風の襲来が登山計画の変吏を余儀なくさせた。,,,,,,,,,,,,,,,,,,,
をよぎなくされる,Nをよぎなくされる,N1,,①火事で住まいが焼けたため、家探しを余儀なくされた。,,,,,,,,,,,,,,,,,,,
