Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
これだと,,N4,,①これだと、ちょっと困るんですけど。,,,,,,,,,,,,,,,,,,,
これでは,,N4,,①これでは、生活していけません。,,,,,,,,,,,,,,,,,,,
さあ,さあ,N5,,①さあ、いこう。,,,,,,,,,,,,,,,,,,,
さあ,さあ,N5,,①A：あの人、だれ？B：さあ（、知りません）。,,,,,,,,,,,,,,,,,,,
さい,Nのさい（に）　Vさい（に）,N2,,①お降りのさいは、お忘れ物のないよう、お気をつけください。,,,,,,,,,,,,,,,,,,,
さいちゅう,Nのさいちゅう　V－ているさいちゅう,N3,,①大事な電話の最中に、急におなかが痛くなってきた。,,,,,,,,,,,,,,,,,,,
さえ,さえ　N（＋助詞）さえ（も）　疑問詞～かさえ（も）,N3,,①あのころは授業料どころか家賃さえはらえないほどまずしかった。,,,,,,,,,,,,,,,,,,,
さえ,～さえ　～たら／～ば　Nさえ～たら／～ば　R－さえ　したら／すれば　V一てさえ～たら／～ば　疑問詞～かさえ　～たら／～ば,N3,,①あなたさえそばにいてくだされば、ほかにはなにもいりません。,,,,,,,,,,,,,,,,,,,
さしつかえない,,N2,,①さしつかえ（が）なければ、今夜ご自宅にお電話しますが～。,,,,,,,,,,,,,,,,,,,
さすが,さすが,N3,,①これ、山田さんがつくったの？うまいねえ。さすが（は）プロだねえ。,,,,,,,,,,,,,,,,,,,
さすが,さすがに,N2,,①沖縄でもさすがに冬の夜はさむいね。,,,,,,,,,,,,,,,,,,,
さすが,さすが（に）～だけあって　Nだけあって　Naなだけあって　A－いだけあって　Vだけあって,N2,,①さすがプロだけあって、アマチュア選手を問題にせず勝った。,,,,,,,,,,,,,,,,,,,
さすが,さすがに～だけのことはある　Nだけのことはある　Naなだけのことはある　A－いだけのことはある　Vだけのことはある,N2,,①アマチュア選手が相手なら問題にしないね。さすがにプロだけのことはあるよ。,,,,,,,,,,,,,,,,,,,
さすが,さすがのNも,N1,,①さすがの世界チャンピオンもケガには勝てなかった。,,,,,,,,,,,,,,,,,,,
させる,NがNにNをV－させる,N4,,①教師が学生に本を読ませた。,,,,,,,,,,,,,,,,,,,
させる,NがN　を／に　V－させる,N4,,①子どもを買い物に行かせた。,,,,,,,,,,,,,,,,,,,
させる,NがNをV－させる＜人＞,N4,,①彼は、いつも冗談を言ってみんなを笑わせる。,,,,,,,,,,,,,,,,,,,
させる,NがNをV－させる＜物＞,N4,,①シャーベットは、果汁を凍らせて作ります。,,,,,,,,,,,,,,,,,,,
させる,V－させてあげる＜許可＞,N4,,①そんなにこの仕事がやりたいのなら、やらせてあげましょう。,,,,,,,,,,,,,,,,,,,
させる,V－させておく＜放任＞,N4,,①甘えて泣いているだけだから、そのまま泣かせておきなさい。,,,,,,,,,,,,,,,,,,,
