Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
ところで,V－たところで＜区切りの時点＞,N3,,①論文の最後の一行を書いたところで、突然気を失った。,,,,,,,,,,,,,,,,,,,
ところで,V－たところで～ない,N2,,①いくら頼んだところで、あの人は引き受けてはくれないだろう。,,,,,,,,,,,,,,,,,,,
ところで,V－たところで,N2,,①うちの夫は出世したところで課長どまりだろう。,,,,,,,,,,,,,,,,,,,
ところに,V－ている／V－た　ところに,N3,,①出掛けようとしたところに電話がかかってきた。,,,,,,,,,,,,,,,,,,,
ところを,Vところを～V,N3,,①お母さんは子供が遊んでいるところを家の窓から見ていた。,,,,,,,,,,,,,,,,,,,
ところを,～ところ（を）　Nのところ（を）　Aところ（を）　R－ちゅうのところ（を）,N2,,①お楽しみのところを恐縮ですが、ちょっとお時間を拝借できないでしょうか。,,,,,,,,,,,,,,,,,,,
とされている,,N3,,①仏教で、生き物を殺すのは十悪のひとつとされている。,,,,,,,,,,,,,,,,,,,
としたら,だとしたら　A／V　としたら,N3,,①家を建てるとしたら、大きい家がいい。,,,,,,,,,,,,,,,,,,,
としたら,～としたら＜確定条件＞　N／Na（なの）だとしたら　A／V　くの　だとしたら,N2,,①これだけ待っても来ないのだとしたら、今日はもう来ないでしょう。,,,,,,,,,,,,,,,,,,,
としたら,（そう）だとしたら,N3,,①A：寝台車は全て満席だって。B：だとしたら、普通の座席に座って行くしかないわね。,,,,,,,,,,,,,,,,,,,
として,Nとして,N3,,①研究生として、この大学で勉強している。,,,,,,,,,,,,,,,,,,,
として,Nとしては　→【としては】Nとしても,N2,,①私としても、この件に関しては当惑しております。,,,,,,,,,,,,,,,,,,,
として,NとしてのN,N2,,①教師としてではなく、一人の人間としての立場から発言したいと思う。,,,,,,,,,,,,,,,,,,,
として～ない,最小限の数量＋として～ない,N1,,①戦争が始まって以来、一日として心の休まる日はない。,,,,,,,,,,,,,,,,,,,
としては,「として」に「は」のついたものだが、以下の用法では、通常「は」は省略されない。Nとしては＜立場・観点＞,N3,,①彼としては、辞職する以外に方法がなかったのでしょう。,,,,,,,,,,,,,,,,,,,
としては,Nとしては＜平均値とのずれ＞,N3,,①父は、日本人としては背の高いほうです。,,,,,,,,,,,,,,,,,,,
としても,Nとしても→【として】としてもN／Na（だ）としても　A／V　としても,N3,,①彼の言っていることが真実だとしても、証拠がなければ信じるわけにはいかない。,,,,,,,,,,,,,,,,,,,
としても,～はいいとしても,N2,,①彼はいいとしても、彼女が許してくれないだろう。,,,,,,,,,,,,,,,,,,,
とする1,,N4,,①ぎりぎりで締め切りに間に合い、ほっとした。,,,,,,,,,,,,,,,,,,,
とする2,だとする　A／V　とする　とする＜仮定＞,N3,,①今仮に3億円の宝くじがあなたに当たったとします。あなたは、それで何をしますか。,,,,,,,,,,,,,,,,,,,
