Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
むき,むきになる,,①むきになって言い張った。,,,,,,,,,,,,,,,,,,,
むく,,,①彼は学者としてはすぐれているが、教師にはむかない。,,,,,,,,,,,,,,,,,,,
むけ,NむけのN,,①この会社では、子供向けのテレビ番組を作っている。,,,,,,,,,,,,,,,,,,,
むけ,Nむけに,,①当社では、輸出向けに左ハンドルの自動車を早くから生産している。,,,,,,,,,,,,,,,,,,,
むけて,Nにむけて,,①全日空103便は8月十日午前8時に、成田からロンドンに向けて出発した。,,,,,,,,,,,,,,,,,,,
むしろ,むしろ,,①じゃましようと思っているわけではない。むしろ君たちに協力したいと思っているのだ。,,,,,,,,,,,,,,,,,,,
むしろ,～より（も）むしろ　Nより（も）むしろ　V－る／V－ている　より（も）むしろ,,①お盆のこむ時期には、旅行なんかするよりも、むしろ家でゆっくりしたい。,,,,,,,,,,,,,,,,,,,
むしろ,V－るぐらいなちむしろ,,①行きたくない大学に無理をして行くぐらいなら、むしろ働きたいと思っている。,,,,,,,,,,,,,,,,,,,
むしろ,というよりむしろ～だ,,①あの人は天才というより、むしろ努力の人です。,,,,,,,,,,,,,,,,,,,
むやみに,,,①人の物にむやみにさわらないほうがいい。,,,,,,,,,,,,,,,,,,,
むり,むり,,①無理を言わないでよ。,,,,,,,,,,,,,,,,,,,
むり,～はむりだ,,①一日に新しい漢字を50も覚えるのは無理だ。,,,,,,,,,,,,,,,,,,,
むり,～にはむりがある,,①今度の計画には無理がある。,,,,,,,,,,,,,,,,,,,
むり,むりに,,①A：かばんが壊れちゃった。B：そんな小さなかばんに無埋に詰め込むからだよ。,,,,,,,,,,,,,,,,,,,
むり,むりをする,,①無理をすると体をこわしますよ。,,,,,,,,,,,,,,,,,,,
むり,～のもむりもない　～のもむり（は）ない,,①あんなひどいことを言われては、彼が怒るのも無理はない。,,,,,,,,,,,,,,,,,,,
めく,Nめく,,①少しずつ春めいてきた。,,,,,,,,,,,,,,,,,,,
めぐって,Nをめぐって,,①憲法の改正をめぐって国会で激しい論議が闘わされている。,,,,,,,,,,,,,,,,,,,
めったに,めったに～ない,,①私は酒はめったに飲まない。,,,,,,,,,,,,,,,,,,,
めったに,めったな,,①めったなことで驚かない私も、そのときばかりはさすがにうろたえてしまった。,,,,,,,,,,,,,,,,,,,
