Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
なにも,なにもかも,,①嫌なことは何もかも忘れて楽しみましょう。,,,,,,,,,,,,,,,,,,,
なにやら,なにやら,,①なにやら変な臭いがする。,,,,,,,,,,,,,,,,,,,
なにやら,～やらなにやら　Nやらなにやら　A－い／V－る　やらなにやら,,①お菓子やらなにやらを持ち寄ってパーティーを開いた。,,,,,,,,,,,,,,,,,,,
なにより,なにより,,①料理を作るのがなにより得意です。,,,,,,,,,,,,,,,,,,,
なにより,なによりだ,,①お元気そうでなによりです。,,,,,,,,,,,,,,,,,,,
なまじ,,,①なまじ急いでタクシーに乗ったために、渋滞に巻き込まれてかえって遅刻してしまった。,,,,,,,,,,,,,,,,,,,
なら1,名詞を直接「なら」が受け、主題を表す。「ならば」の形で使われることもある。Nなら,,①A：めがねはどこかな。B：めがねなら、タンスの上に置いてありましたよ。,,,,,,,,,,,,,,,,,,,
なら1,NならNだ,,①山ならやっぱり富士山だ。,,,,,,,,,,,,,,,,,,,
なら1,～（助詞）なら,,①あの人となら結婚してもいい。,,,,,,,,,,,,,,,,,,,
なら2,N／Naなら　N／Naだった（の）なら　A－い／A－かった（の）なら　V－る／V－た（の）なら　述語の辞書形・タ形を受け、「実情・状況がそのようであれば」という意味を表す。「のならば」「のなら」「ならば」の形も使われる。話しことばでは「の」は「ん」となることが多い。「の」の有無による意味の違いは、はっきりとは認められない場合が多いが、「の」がある場合は、聞き手の発言や具体的な状況を受けて「あなたがそう言うなら」「それが事実ならば」「実情がそのようであれば」という意味を表すのに対し、「の」がない場合は、「一般的にそのような場合は」「そうする場合は」という意味を表す傾向がある。名詞、ナ形容詞を直接受ける場合は「の」は使われないことが多い。動詞、イ形容詞に続く場合、「（の）なら」と「のだったら」は類義的で、互いに言いかえが可能だが、「のだったら」の「の」は省略できない。（誤）知っているだったら教えてほしい。（正）知っている（の）なら教えてほしい。知っているのだったら教えてほしい。～（の）なら＜仮定条件＞,,①A：風邪をひいてしまいまして。B：風邪なら早く帰って休んだほうがいいよ。,,,,,,,,,,,,,,,,,,,
なら2,～（の）なら＜反事実＞,,①電話をくれるのなら、もう少し早い時間に電話してほしかった。,,,,,,,,,,,,,,,,,,,
なら2,Vーる（の）なら～がいい,,①靴を買うならイタリア製がいい。,,,,,,,,,,,,,,,,,,,
なら2,V－る（の）なら～しろ／～するな,,①何事もやるなら最後まで徹底的にやれ。,,,,,,,,,,,,,,,,,,,
なら2,～（の）なら～で　NaならNaで　A（の）ならAで　V（の）ならVで,,①嫌なら嫌で、そう言ってくれたらよかったのに。今となっては遅すぎるよ。,,,,,,,,,,,,,,,,,,,
なら2,～（の）なら～と　NならN（だ）と　NaならNa（だ）と　A（の）ならAと　V（の）ならVと,,①欠席なら欠席と前もって知らせておいてください。,,,,,,,,,,,,,,,,,,,
なら2,ならべつだが　A／V（の）ならべつだが,,①そんなに勉強がつまらない（の）なら別だが、自分の心構えについても反省してみてはどうだろうか。,,,,,,,,,,,,,,,,,,,
なら2,～というのなら,,①A：明日はほかに用事があってお邪魔できないのですが。B：来たくないと言うのなら来てもらわなくてもいい。,,,,,,,,,,,,,,,,,,,
なら2,～ということなら,,①癌だということなら退院させてくれるはずがない。,,,,,,,,,,,,,,,,,,,
なら3,なら（ば）,,①10人一緒なら団体の割り引き料金になる。,,,,,,,,,,,,,,,,,,,
なら3,NがNならNはNだ,,①銀座が東京の中心なら心斎橋(しんさいばし)は大阪の中心だ。,,,,,,,,,,,,,,,,,,,
