Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
なんか,Nなんか,N3,①お酒はワインなんか好きで、よく飲んでいます。,新商品の説明会には、カタログなんかを用意しておいたほうがよろしいでしょうか。,新商品の説明会には、,カタログ,なんかを,用意して,おいたほうが,よろしいでしょうか。,"Danh từ 「カタログ」 kết hợp trực tiếp với 「なんか」 để đưa ra một ví dụ đại diện, theo sau là trợ từ 「を」 làm tân ngữ. Động từ 「用意する」 chia thể 「て」 kết hợp với 「おく」 tạo thành 「用意しておく」 (chuẩn bị sẵn), sau đó chia sang thể 「ほうがよろしい」 (kính ngữ của ほうがいい) để đưa ra lời khuyên hoặc đề xuất lịch sự."
なんか,V－たりなんかして,N3,①休みの日は本を読んだりなんかして過ごします。,大切な取引先へのメールに、誤字脱字をしたりなんかして、本当に申し訳ございませんでした。,大切な取引先へのメールに、,誤字脱字を,したり,なんか,して、,本当に申し訳ございませんでした。,"Cụm 「誤字脱字をする」 nghĩa là mắc lỗi chính tả, chuyển sang thể 「たり」 để liệt kê hành động. Ngữ pháp 「たりなんかして」 dùng để nhấn mạnh một hành động không đáng có mang tính tự trách hoặc giảm nhẹ tính chất. 「して」 dùng để nối vế sang trạng từ 「本当に」 bổ nghĩa cho lời xin lỗi trang trọng 「申し訳ございませんでした」 ở cuối câu."
なんか,なんか～ない,N3,①お金がないから、旅行なんか滅多にできない。,今の予算では、海外進出のプロジェクトなんか簡単に進められっこない。,今の予算では、,海外進出の,プロジェクトなんか,簡単に,進められっこ,ない。,Cụm 「海外進出の」 bổ nghĩa cho danh từ 「プロジェクト」. Ngữ pháp 「N+なんか」 thể hiện thái độ đánh giá thấp hoặc coi việc đó là vô lý/khó khăn. Trạng từ 「簡単に」 bổ nghĩa cho động từ khả năng 「進められる」. Mẫu câu 「V-っこない」 đứng cuối câu mang ý nghĩa phủ định tuyệt đối 「tuyệt đối không thể」.
なんか～ものか,～なんかV－るものか,N2,①家になんか帰ってやるものか。,あんなに不公平な条件の契約書なんかサインしてやるものか。,あんなに不公平な条件の,契約書なんか,サイン,してやる,もの,か。,Danh từ 「契約書」 kết hợp với 「なんか」 biểu thị sự xem nhẹ hoặc phủ định đối tượng. Động từ 「サインする」 chuyển sang thể 「て」 kết hợp với 「やる」 (thể hiện ý chí quyết liệt tự thân) tạo thành 「サインしてやる」. Cấu trúc 「～ものか」 đi sau động từ thể từ điển ở cuối câu tạo nên thể phủ định mạnh mẽ (quyết không làm gì).
なんだか,,N4,①このあたりはなんだか気味が悪いね。,オフィスのパソコンが、なんだかいつもより動きが重いですね。,オフィスのパソコンが、,なんだか,いつも,より動きが,重い,ですね。,Phó từ 「なんだか」 (không hiểu sao/mơ hồ) đứng trước để bổ nghĩa cho toàn bộ trạng thái phía sau câu. Cụm 「いつもより」 nghĩa là 「hơn thường ngày」 bổ nghĩa cho cụm từ chỉ trạng thái 「動きが重い」 (vận hành chậm chạp). Tính từ 「重い」 đi trực tiếp với đuôi từ cảm thán lịch sự 「ですね」.
なんて1,なんてV,N4,①よく聞こえないのですが、あの人はなんて言っているのですか。,先方のご担当者様は、弊社の新提案についてなんておっしゃっていましたか。,先方のご担当者様は、,弊社の,新提案について,なんて,おっしゃって,いましたか。,"Cụm từ 「弊社の」 bổ nghĩa cho danh từ 「新提案」. Cấu trúc 「～について」 có nghĩa là 「về mặt/về vấn đề」. 「なんて」 là dạng thân mật của 「なんと」 (nói cái gì), đứng trước để bổ nghĩa cho động từ kính ngữ 「おっしゃる」 (nói, đang chia ở thì quá khứ tiếp diễn 「おっしゃっていました」) tạo thành câu hỏi."
なんて1,なんて（いう）N,N4,①さっき来た人はなんていう人ですか。,会議室の予約に使う、なんていうシステムでしたっけ。,会議室の予約に使う、,なんて,いう,システム,でした,っけ。,Mệnh đề định ngữ 「会議室の予約に使う」 bổ nghĩa cho cụm danh từ phía sau. Nghi vấn từ 「なんて」 đi với động từ 「いう」 tạo thành cụm 「なんていう」 (gọi là cái gì) bổ nghĩa trực tiếp cho danh từ 「システム」. Đuôi câu dùng 「でしたっけ」 để xác nhận lại một thông tin mà bản thân đã quên.
なんて1,なんて（いう）Nだ,N3,①あなたって人は、なんていう人なの。,今期の営業利益が目標の2倍だなんて、なんていう成果なんだろう。,今期の営業利益が目標の2倍だなんて、,なんて,いう,成果,なんだ,ろう。,"Cụm từ 「なんていう」 đóng vai trò là cấu trúc cảm thán (thật là một...), bổ nghĩa trực tiếp cho danh từ 「成果」 (thành quả). Từ 「なんだ」 đi sau danh từ để khẳng định tính chất cảm thán, kết hợp với vĩ từ 「ろう」 ở cuối tạo thành cấu trúc hoàn chỉnh 「なんていう...なんだろう」 biểu thị sự kinh ngạc."
なんて1,なんてことない,N3,①これくらいのけが、なんて事ないさ。,報告書の数字が少し間違っているくらい、なんてことないですよ気にしないで。,報告書の数字が少し間違っているくらい、,なんて,こと,ない,ですよ,気にしないで。,Cụm từ 「報告書の数字が少し間違っているくらい」 làm mốc so sánh nhẹ nhàng. Thành ngữ 「なんてことない」 đứng liền sau mệnh đề để diễn tả ý 「không có gì nghiêm trọng/không đáng kể」. Trợ từ 「ですよ」 được thêm vào phía sau để khẳng định và trấn an người nghe trước vế 「気にしないで」.
なんて1,なんて～んだろう　なんて～Nなんだろう　なんてNaなんだろう　なんてA－いんだろう,N3,①ここはなんて寂しいところなんでしょう。,このプロジェクトのメンバーは、なんて素晴らしい人たちなんだろうと感謝しています。,このプロジェクトのメンバーは、,なんて,素晴らしい,人たち,なんだろう,と感謝しています。,"Cấu trúc cảm thán 「なんて＋Tính từ＋Danh từ＋なんだろう」. Trạng từ cảm thán 「なんて」 bổ nghĩa cho tính từ 「素晴らしい」, tính từ này bổ nghĩa cho cụm danh từ 「人たち」. Đuôi câu cảm thán 「なんだろう」 được trích dẫn bằng trợ từ 「と」 trước động từ bày tỏ cảm xúc 「感謝しています」."
なんて2,Nなんて,N3,①あなたなんて大嫌い。,新入社員の私に、大手企業との価格交渉なんて無理です。,新入社員の私に、,大手企業との,価格交渉,なんて,無理,です。,Cụm 「大手企業との」 bổ nghĩa cho danh từ 「価格交渉」 (đàm phán giá cả). Danh từ này đi trực tiếp với trợ từ 「なんて」 để biểu thị ý hạ thấp độ khả thi hoặc thể hiện sự tự khiêm tốn của người nói. Tiếp theo là tính từ đuôi na 「無理」 và kết thúc bằng 「です」 để giữ sự lịch sự trong công sở.
