Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
のに2,V－るのに,N4,①この道具はパイプを切るのに使います。,この顧客管理システムは、新規プロジェクトの予算を計算するのに非常に役立ちます。,この顧客管理システムは、,新規プロジェクトの,予算を,計算するのに,非常に,役立ちます。,"[計算するのに] là cấu trúc [V-るのに] biểu thị mục đích, kết hợp với [役立ちます] (có ích). Thứ tự tự nhiên: bổ ngữ cho danh từ (新規プロジェクトの) -> danh từ trung tâm (予算を) -> hành động mục đích (計算するのに) -> phó từ (非常に) -> động từ chính."
のは～だ,なのは～だ　A／V　のは～だ　「XのはYだ」の形で、聞き手がすでに知っていることや予測のつくことをXで述べ、Yの部分で聞き手の知らない新しいことを述べる用法。～のは　Nだ／N＋助詞＋だ,N4,①このことを私に教えてくれたのは山田さんです。,来月の海外出張でベトナムを訪問するのは佐藤部長です。,来月の,海外出張で,ベトナムを,訪問するのは,佐藤部長です。,,"Cấu trúc nhấn mạnh danh từ [佐藤部長] là chủ thể thực hiện hành động. Định ngữ [来月の] bổ nghĩa cho [海外出張で] (địa điểm/bối cảnh), tiếp theo là tân ngữ [ベトナムを] của động từ bổ nghĩa [訪問するのは] đứng trước cấu trúc nhấn mạnh."
のは～だ,のは～からだ,N4,①彼女が試験に失敗したのは、体の調子が悪かったからだ。,我が社の製品がこれほど選ばれているのは、品質管理が徹底しているからだ。,我が社の製品が,これほど,選ばれているのは、,品質管理が,徹底しているからだ。,,"Cấu trúc giải thích lý do [X của はYからだ]. [我が社の製品が] là chủ ngữ của mệnh đề phụ, được bổ nghĩa bằng phó từ [これほど] và động từ bị động [選ばれているのは]. Mệnh đề sau nêu nguyên nhân cốt lõi [品質管理が徹底しているからだ]."
のは～だ,のは～ためだ,N3,①電車が遅れたのは、踏切事故があったためだ。,今回の新規契約の獲得に失敗したのは、弊社の競合分析が不足していたためだ。,今回の新規契約の,獲得に,失敗したのは、,弊社の競合分析が,不足していたためだ。,,"Cấu trúc chỉ nguyên nhân khách quan hoặc mang tính logic [のは～ためだ]. Thứ tự cụm đầu: Định ngữ [今回の新規契約の] bổ nghĩa cho mục tiêu [獲得に], kết hợp động từ [失敗したのは]. Cụm sau đưa ra lý do [弊社の競合分析が不足していたためだ]."
のは～だ,のは～おかげだ,N3,①子供が助かったのはあなたのおかげです。,この大規模な開発プロジェクトが予定通りに完了したのは、皆様のご協力のおかげだ。,この大規模な,開発プロジェクトが,予定通りに,完了したのは、,皆様のご協力のおかげだ。,,Cấu trúc nhấn mạnh nguyên nhân tích cực [のは～おかげだ] (nhờ có). [この大規模な] bổ nghĩa cho chủ ngữ [開発プロジェクトが]. Trạng từ [予定通りに] bổ nghĩa cho động từ [完了したのは]. Cuối câu kết thúc bằng danh từ chỉ nguồn ơn huệ + [のおかげだ].
のは～だ,のは～せいだ,N3,①雪崩に巻き込まれたのは、無謀な計画のせいだ。,新商品の発売スケジュールが大幅に遅れたのは、社内の確認手続きが煩雑なせいだ。,新商品の発売スケジュールが,大幅に,遅れたのは、,社内の確認手続きが,煩雑なせいだ。,,"Cấu trúc đổ lỗi, nêu nguyên nhân tiêu cực [のは～せいだ]. [新商品の発売スケジュールが] là chủ ngữ, [大幅に] là phó từ bổ nghĩa cho [遅れたのは]. Lý do tiêu cực phía sau kết thúc bằng Tính từ đuôi na [煩雑な] bổ nghĩa trực tiếp cho [せいだ]."
のみ,Nのみ,N2,①経験のみに頼っていては成功しない。,弊社は市場調査の結果のみに基づいて、今後の新規事業戦略を決定するわけではない。,弊社は市場調査の,結果のみに,基づいて、,今後の,新規事業戦略を決定するわけではない。,,Cấu trúc [N của み] nghĩa là 'chỉ'. Cụm [結果のみに] kết hợp với động từ [基づいて] (dựa trên). Phần sau là cụm tân ngữ - động từ [今後の新規事業戦略を決定する] và kết thúc bằng phủ định định kiến [わけではない].
のみ,V－るのみだ,N1,①準備は整った。あとはスイッチをいれるのみだ。,経営陣へのプレゼン資料は完成しました。あとは、明日の会議で上司の承認を得るのみだ。,経営陣へのプレゼン資料は完成しました。あとは、,明日の会議で,上司の,承認を,得るのみだ。,,"Cấu trúc [V-るのみだ] nghĩa là 'chỉ còn cách V / chỉ cần V'. [明日の会議で] chỉ thời gian/địa điểm, [上司の] bổ nghĩa cho tân ngữ [承認を], kết hợp với động từ nguyên dạng [得るのみだ] ở cuối câu để biểu thị sự sẵn sàng."
のみ,Nあるのみだ,N1,①こうなったからは前進あるのみだ。,この厳しい市場競争を生き残るためには、他社との差別化を図るあるのみだ。,この厳しい市場競争を生き残るためには、,他社との,差別化を,図る,あるのみだ。,,Cấu trúc [Nあるのみだ] nghĩa là 'chỉ có N'. Ở đây danh từ hóa hành động [差別化を図る] (nỗ lực tạo sự khác biệt) đóng vai trò là N trước [あるのみだ]. [他社との] bổ nghĩa cho danh từ [差別化を] tạo thành một cụm hoàn chỉnh.
のみならず,～のみならず～も　NのみならずNも　NaであるのみならずNaでも　A－いのみならずA－くも　VのみならずNもV,N1,①若い人のみならず老人や子供達にも人気がある。,この新規システムは業務効率を高めるのみならず、社内の情報セキュリティも強化できる。,この新規システムは,業務効率を,高めるのみならず、,社内の情報セキュリティも,強化できる。,,Cấu trúc [V của みならず～も] (không chỉ... mà còn). Chủ ngữ [この新規システムは] đưa lên đầu. Vế đầu là cụm tân ngữ - động từ [業務効率を高めるのみならず]. Vế sau đi kèm trợ từ [も] trợ nghĩa cho tân ngữ [情報セキュリティも] trước động từ khả năng [強化できる].
ば,だ　～ばA－い　～ばV－る,N5,①春が来れば花が咲く。,わからない単語があれば、このビジネス用語辞典を調べてください。,わからない単語が,あれば、,このビジネス,用語辞典を,調べてください。,,"Cấu trúc điều kiện [V-れば] ở mức độ cơ bản. Mệnh đề điều kiện [わからない単語があれば] đứng trước để tạo giả thuyết, vế sau là cụm từ chỉ thị [このビジネス] bổ nghĩa cho tân ngữ [用語辞典を] kèm hành động yêu cầu [調べてください]."
ば,～ば～V－る,N4,①祖母は天気がよければ毎朝近所を散歩します。,条件が合えば、弊社は貴社と共同で新規プロジェクトを立ち上げます。,条件が,合えば、,弊社は貴社と共同で,新規プロジェクトを,立ち上げます。,,"Cấu trúc [～ば～V-る] diễn tả điều kiện ắt có và hành động ở hiện tại/tương lai. Mệnh đề điều kiện đặt lên trước [条件が合えば]. Vế sau là chủ ngữ và trạng từ phối hợp [弊社は貴社と共同で], tiếp đến là cụm tân ngữ - động từ [新規プロジェクトを立ち上げます]."
ば,～ば～V－た,N3,①子供のころは、天気がよければ、よく母とこの河原を散歩したものだ。,以前の職場では、予算が十分に不足していなければ、もっと大胆な広告キャンペーンを展開できたはずだ。,以前の職場では、,予算が十分に,不足していなければ、,もっと大胆な広告キャンペーンを,展開できたはずだ。,,"Cấu trúc điều kiện trong quá khứ trái ngược thực tế [～ば～V-た/はずだ]. Trạng ngữ thời gian/không gian [以前の職場では] đứng đầu, tiếp theo là điều kiện phủ định [予算が十分に不足していなければ], vế sau là cụm tân ngữ [もっと大胆な広告キャンペーンを] và động từ khả năng quá khứ [展開できたはずだ]."
ば,～ば＋未実現のことがら,N3,①もし私が彼の立場なら、やっぱり同じように考えるだろう。,もし私が経営責任者であれば、その不採算部門からの撤退をすぐに決断するだろう。,もし私が,経営責任者であれば、,その不採算部門からの,撤退をすぐに,決断するだろう。,,"Cấu trúc điều kiện giả định điều chưa thực hiện hoặc trái thực tế [～ば～だろう]. Phó từ giả định [もし] đi kèm danh từ + [であれば]. Mệnh đề sau gồm định ngữ bổ nghĩa danh từ [その不採算部門からの], tân ngữ và phó từ [撤退をすぐに] kết hợp động từ phán đoán [決断するだろう]."
ば,～ば＋意志・希望,N4,①安ければ買うつもりです。,来週のスケジュールに余裕があれば、ぜひ貴社のオフィスへ直接伺いたいと思います。,来週のスケジュールに,余裕が,あれば、,ぜひ貴社のオフィスへ直接,伺いたいと思います。,,"Cấu trúc điều kiện kết hợp ý chí, nguyện vọng [～ば＋たい/つもりだ]. Địa điểm/thời gian [来週のスケジュールに] đi với chủ ngữ của mệnh đề phụ [余裕があれば]. Vế sau chứa phó từ nhấn mạnh nguyện vọng [ぜひ] đi liền với trạng ngữ địa điểm [貴社のオフィスへ直接] và động từ khiêm nhường thể nguyện vọng [伺いたいと思います]."
ば,～ば＋働きかけ,N3,①そう思いたければ勝手に思え。,我が社の提案にご不満があれば、どうぞ他社との契約を検討してください。,我が社の提案に,ご不満が,あれば、,どうぞ他社との契約を,検討してください。,,"Cấu trúc điều kiện kèm theo lời khuyên, thúc giục hoặc yêu cầu [～ば＋働きかけ]. [我が社の提案に] làm rõ đối tượng cho tính từ [ご不満があれば]. Vế sau dùng phó từ lịch sự [どうぞ] kết hợp cụm tân ngữ và thể sai khiến/yêu cầu lịch sự [他社との契約を検討してください]."
ば,～ば＋問いかけ,N4,①A：学生ならば、料金は安くなりますか。B：大人料金の2割引になります。,御社と年間契約を結べば、初期費用はいくらほど安くなりますか。,御社と,年間契約を,結べば、,初期費用はいくらほど,安くなりますか。,,Cấu trúc câu hỏi dùng thể điều kiện [～ば～か]. Trạng ngữ đối tác [御社と] đi liền với cụm tân ngữ - động từ [年間契約を結べば]. Vế sau chứa chủ ngữ chính của câu hỏi [初期費用は] kết hợp từ nghi vấn lượng [いくらほど] và tính từ nghi vấn [安くなりますか].
ば,疑問詞＋V－ば～のか,N3,①いったいどういうふうに説明すれば分かってもらえるのか。,トラブルの原因を突き止めるには、いったいどこから調査すればいいのか分かりません。,トラブルの原因を突き止めるには、,いったいどこから,調査すれば,いいのか,分かりません。,,"Cấu trúc câu hỏi lồng gián tiếp [疑問詞＋V-れば～のか]. Cụm chỉ mục đích [トラブルの原因を突き止めるには] đặt ở đầu. Tiếp theo là phó từ nhấn mạnh nghi vấn [いったいどこから], đi liền động từ điều kiện [調査すれば] và cụm kết thúc câu hỏi lựa chọn [いいのか]."
ば,～ば～のに／～のだが,N3,①宿題がなければ夏休みはもっと楽しいのに。（残念なことに宿題がある。）,A社との交渉がスムーズに進めば良いのだが、現状は厳しい課題が山積みだ。,A社との交渉が,スムーズに,進めば良いのだが、,現状は厳しい課題が,山積みだ。,,Cấu trúc thể hiện sự tiếc nuối hoặc mong ước trái thực tế [～ば～のだが]. Chủ ngữ cuộc đàm phán [A社との交渉が] đi kèm phó từ [スムーズに] và động từ điều kiện [進めば良いのだが]. Vế sau đưa ra thực tế tương phản [現状は厳しい課題が山積みだ].
ば,～ば～だろう／～はずだ,N2,①地震の起こるのがあと1時間遅ければ被害はずっと大きかっただろう。,もし前回の会議で適切な決定を下していれば、今頃これほどの損失は防げたはずだ。,もし前回の会議で,適切な決定を,下していれば、,今頃これほどの損失は,防げたはずだ。,,"Cấu trúc suy đoán logic trong quá khứ dựa trên điều kiện trái thực tế [～ば～はずだ]. [もし前回の会議で] định vị thời gian/bối cảnh giả định, cụm tân ngữ - động từ điều kiện hoàn thành [適切な決定を下していれば]. Vế sau bổ nghĩa thời gian hiện tại [今頃これほどの損失は] đi với động từ khả năng phủ định quá khứ [防げたはずだ]."
