Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
そうして,そうして＜列挙＞,①好きな所。雑踏の中、港、遊園地、そうして、旅立つ前の空港。,,,,,,,,
そうして,そうして＜継起＞,①旅行にもって行く物を全部再点検した。そうして、やっと安心した。,,,,,,,,
そうすると,そうすると＜きっかけ＞,①ビルのまわりを回ってみた。そうすると、ひとつだけ電気のついている窓があった。,,,,,,,,
そうすると,そうすると＜帰結＞,①A：ホテルを出るのが5時で、新幹線に乗るのが6時です。B：そうすると、買い物の時間がなくなりますよ。,,,,,,,,
そうすると,,①：パスポートはおととし取りました。B：そうすると、来年はまだ大丈夫ですね。,,,,,,,,
そうだ1,だそうだ　A／V　そうだ,①あの人は留学生ではなくて技術研修生だそうだ。,,,,,,,,
そうだ2,～そうだ　Naそうだ　A－そうだ,①その映画はおもしろそうだ。,,,,,,,,
そうだ2,～そうにみえる　Naそうにみえる　A－そうにみえる,①誕生パーティーで彼女はいかにもしあわせそうに見えた。,,,,,,,,
そうだ2,～そうにしている　Naそうにしている　A－そうにしている,①彼女はいつもはずかしそうにしている。,,,,,,,,
そうだ2,R－そうだ,①星が出ているから明日は天気になりそうだ。,,,,,,,,
そうだ2,R－そうになる,①道が凍っていて、何度もころびそうになった。,,,,,,,,
そうだ2,R－そうもない　R－そうにない,①この本は売れそうもない。,,,,,,,,
そうだ2,R－そうだ＜生起の可能性2＞,①あの様子では二人はもうじき結婚しそうだ。,,,,,,,,
そうだ2,R－てしまいそうだ,①おいしいから全部食べてしまいそうだ。,,,,,,,,
そこで,そこで＜理由＞,①今度の事件ではかなりの被害が出ています。そこで、ひとつ皆さんにご相談があるのですが。,,,,,,,,
そこで,そこで＜時点＞,①A：だんだんむずかしくなってきたし、タイ語の勉強やめようかな。B：そこでやめちゃダメだよ。せっかく今までがんばってきたんだから。,,,,,,,,
そこへ,,①友人のうわさ話をしていたら、そこへ当の本人が来てしまった。,,,,,,,,
そこへいくと,,①A：うちの会社、残業が多くてね。先週はほとんど晩ご飯、家で食べていないんだ。B：そりゃ、大変だな。そこへいくと僕のとこなんか楽なほうだ。,,,,,,,,
そしたら,,①きのう映画を見に行ったのよ。そしたらばったり高田さんに会っちゃって。,,,,,,,,
そして,そして＜並立＞,①今回の旅行ではスペイン、イタリアそしてフランスと、おもに南ヨーロッパを中心に回った。,,,,,,,,
