Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
となると,N（のこと）となると,,①芸能人のスキャンダルとなると、マスコミは夢中になって追跡する。,,,,,,,,
となると,～かとなると,,①どうすればこの問題を解決できるかとなると、簡単には答えられない。,,,,,,,,
となれば,～となれば　N／Na（だ）となれば　A／V　となれば,,①外国に住むとなれば、やはりその国の言葉ぐらいは勉強しておいたほうがよい。,,,,,,,,
となれば,いざとなれば,,①手持ちの現金では足りないかもしれないが、いざとなればクレジットカードを使うことができる。,,,,,,,,
となれば,N（のこと）となれば,,①いつもは生気のない彼の目もサッカーのこととなれば急に生き生きと輝やいてくる。,,,,,,,,
となれば,～かとなれば,,①どうすれば解決できるかとなれば、答えは簡単には出てこないものだ。,,,,,,,,
とにかく,あることがらや行為について、それはひとまずおいておいて、それより他のことがらや行為を優先させて扱うことを表す場合に用いる。「ともかく」とも言う。とにかく,,①あの人はとにかく大変な秀才です。,,,,,,,,
とにかく,とにかくV,,①うまくいくか分かりませんが、とにかくやってみます。,,,,,,,,
とにかく,Nはとにかく（として）,,①見かけはとにかく、味はよい。,,,,,,,,
との,～とのことだ,,①みなさんによろしくとのことでした。,,,,,,,,
との,～とのN,,①恩師から結婚式には出席できないとの返事を受け取った。,,,,,,,,
とは,～とは＜定義づけ＞,,①パソコンとは、個人で使える小型のコンピュータのことだ。,,,,,,,,
とは,～とは＜引用＞,,①A：森山さん、会社退職するそうですよ。B：えっ、退職するとは、結婚するということですか。,,,,,,,,
とは,～とは＜驚き＞,,①一人で5種目も優勝とは、まったく驚いた。,,,,,,,,
とはいいながら,～とはいいながら,,①分かっているとはいいながら、やはり別れはつらいものだ。,,,,,,,,
とはいいながら,とはいいながら,,①過ぎたことは悔やんでも仕方がない。とはいいながら、思い出すとつい涙が出てしまう。,,,,,,,,
とはいうものの,,,①フランス語は大学時代に習ったとはいうものの、もうすっかり忘れてしまった。,,,,,,,,
とはいえ,節や文を受け、「それはそうなのだが、しかし」といった意味を表す。前のことがらから予想・期待されることと結果が食い違うような場合に用いられる。書きことば。「とはいいながら」「とはいうものの」「と（は）いっても」に言いかえられる。～とはいえ　N／Na（だ）とはいえ　A／Vとはいえ,,①男女平等の世の中とはいえ、職場での地位や仕事の内容などの点でまだ差別が残っている。,,,,,,,,
とはいえ,とはいえ,,①病状は危険な状態を脱して、回復に向かっている。とはいえ、まだ完全に安心するわけにはいかない。,,,,,,,,
とはいっても,,,①初めて小説を書いた。とはいっても、ごく短いものだけれど。,,,,,,,,
