Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
ちゃんと,ちゃんとする,①おばあさんはきびしい人だから、おばあさんの前ではちゃんとしなさい。,,,,,,,,
ちゅう,Nちゅう＜継続＞,①会議中だから、入ってはいけない。,,,,,,,,
ちゅう,Nちゅう＜期間＞,①午前中は、図書館にいて、午後は実験室にいる予定だ。,,,,,,,,
ちょっと,ちょっと＜程度＞,①ちょっと食べてみた。,,,,,,,,
ちょっと,ちょっと＜程度のやわらげ＞,①ちょっと電話してきます。,,,,,,,,
ちょっと,ちょっと＜語調のやわらげ＞,①A：この手紙の文章は、ちょっとかたすぎませんか。B：そうですか。じゃ、もう一度書き直してみます。,,,,,,,,
ちょっと,ちょっと＜言いさし＞,①A：この写真ここに飾ったらどう？B：そこはちょっとね～。,,,,,,,,
ちょっと,ちょっと＜プラス評価＞,①この本、ちょっとおもしろいよ。,,,,,,,,
ちょっと,ちょっと～ない＜プラス評価＞,①こんなにおもしろい映画は最近ちょっとない。,,,,,,,,
ちょっと,ちょっと～ない＜語調のやわらげ＞,①A：田中先生の研究室はどちらですか。B：すみません。ちょっとわかりません。,,,,,,,,
ちょっと,ちょっと＜呼びかけ＞,①ちょっと、そこのおくさん、財布落としましたよ。,,,,,,,,
ちょっと,ちょっとしたN　＜程度のやわらげ＞,①ちょっとしたアイデアだったが、大金になった。,,,,,,,,
ちょっと,ちょっとしたN　＜プラス評価＞,①かれは、両親の死後、ちょっとした財産を受け継いだので、生活には困らない。,,,,,,,,
つ～つ,R－つR－つ,①彼に会おうか会うまいかと悩んで、家の前を行きつ戻りつしていた。,,,,,,,,
つい,,①太るとわかっていながら、あまりおいしそうなケーキだったので、つい食べてしまった。,,,,,,,,
ついでに,ついでに,①図書館へ本を借りにいった。ついでに、近くに住んでいる友達のところへ行ってみた。,,,,,,,,
ついでに,～ついで（に）　Nのついで　Vついで,①京都へ行くついでに、奈良を回ってみたい。,,,,,,,,
ついては,,①≪手紙≫この秋に町民の大運動会を開催することになりました。ついては、皆様からの御寄付をいただきたく、お願い申し上げます。,,,,,,,,
ついに,ついにV－た,①1995年、トンネルはついに完成した。,,,,,,,,
ついに,を参照。ついにV－なかった,①閉店時間まで待ったが、彼はついに姿を表さなかった。,,,,,,,,
