Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
たい,R－たがる,,①自信がない人ほどいばりたがるものだ。,,,,,,,,
だい,くだけた会話で、男性が使う。疑問表現＋だい,,①いま何時だい？,,,,,,,,
だい,だい,,①そんなことうそだい。,,,,,,,,
たいがい,,,①あの人は、たいがい9時ごろ来ます。8時ごろの時もありますが。,,,,,,,,
たいした,たいしたNだ,,①たいした人物だ。たった一人で今の事業をおこしたのだから。,,,,,,,,
たいした,たいしたNではない,,①たいしたものではありませんが、おみやげにと思って買ってきました。,,,,,,,,
たいした,たいしたことはない,,①A：お宅の奥さん、料理がお上手だそうですね。B：いや、たいしたことはありませんよ。,,,,,,,,
たいして～ない,,,①きょうはたいして寒くないね。散歩にでも行こうか。,,,,,,,,
だいたい,,,①大体のことは伝えておきます。,,,,,,,,
たいてい,,,①あの人は、たいてい9時ごろ来ます。8時ごろの時もありますが。,,,,,,,,
たいへん,たいへん,,①≪教師が生徒に≫はい、たいへんよくできました。,,,,,,,,
たいへん,たいへんだ,,①たいへんだ。さいふがない。,,,,,,,,
たいへん,たいへんなN,,①きのうはたいへんな雨でしたね。,,,,,,,,
たかが,たかがN,,①かしこいと言ってもたかが子どもだ。言うことに、いちいち腹を立ててはいけないよ。,,,,,,,,
たかが,なぐらいで,,①たかが風邪ぐらいで学校を休まなくてもよい。,,,,,,,,
たかだか,,,①あれはそんなに高くないと思うよ。たかだか3000円ぐらいのもんだろう。,,,,,,,,
だから,丁寧な形に「ですから」がある。だから＜帰結＞,,①踏切で事故があった。だから、学校に遅刻してしまった。,,,,,,,,
だから,だから　～のだ／～わけだ,,①A：ジャクソンさんは、小学生の時からもう10年も日本語を習っているそうです。B：だから、あんなに日本語が上手なんですね。,,,,,,,,
だから,だから＜質問＞,,①A：みんなお前のためにこんなに遅くまで働いているんだ。B：だから、どうだって言うの。,,,,,,,,
だから,だから＜主張＞,,①A：ちょっと、どういうことですか。B：別に特別のことはないよ。A：だから、どういうことって聞いているんだよ。,,,,,,,,
