Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
には,V－るには,,①そこに行くには険しい山を超えなければならない。,,,,,,,,
には,V－るにはVが,,①行くには行くが、彼に会えるかどうかは分からない。,,,,,,,,
にはあたらない,V－るにはあたらない,,①中学校で教師をしている友人の話によると、学校でのいじめが深刻だという。しかし驚くにはあたらない。大人の社会も同じなのだから。,,,,,,,,
にはおよばない,～にはおよばない　Nにはおよばない　V－るにはおよばない,,①検査では何も異常は見つかりませんでした。すっかり元気になりましたから、ご心配には及びません。,,,,,,,,
にはおよばない,それにはおよばない,,①A：車で家までお送りしましょう。B：いいえ、それには及びません。歩いても5分ほどの所ですから、どうぞご心配なく。,,,,,,,,
にはんし,Nにはんし,,①大方の予想に反して、我らのチームが圧勝した。,,,,,,,,
にはんして,Nにはんして,,①予想にはんして、今年の試験はそれほど難しくはなかったそうだ。,,,,,,,,
にひきかえ,Nにひきかえ,,①兄にひきかえ弟はだれにでも好かれる好青年だ。,,,,,,,,
にほかならない,Nにほかならない,,①この会を成功のうちに終わらせることが出来ましたのは、皆様がたのご協力のたまものに他なりません。,,,,,,,,
にほかならない,～にほかならない　～から／～ため　にほかならない,,①父が肝ガンになったのは、あの工場で長年働いたために他ならない。,,,,,,,,
にむかって,Nにむかって＜方向＞,,①この飛行機は現在ボストンに向かっています。,,,,,,,,
にむかって,Nにむかって＜対面＞,,①机に向かって本を読む。,,,,,,,,
にむかって,Nにむかって＜相手＞,,①親に向かって乱暴な口をきくな。,,,,,,,,
にむけて,Nにむけて＜方向＞,,①入口に背を向けて座っている。,,,,,,,,
にむけて,Nにむけて＜目的地＞,,①飛行機はヨーロッパに向けて飛び立った。,,,,,,,,
にむけて,Nにむけて＜相手＞,,①人々に向けて戦争の終結を訴えた。,,,,,,,,
にむけて,Nにむけて＜目標＞,,①スポーツ大会に向けて厳しい練習が続けられた。,,,,,,,,
にめんして,Nにめんして＜対面＞,,①美しい庭に面して、バルコニーが広がっている。,,,,,,,,
にめんして,Nにめんして＜直面＞,,①彼女は非常事態に面しても適切な行動の取れる強い精神力の持ち主なのだ。,,,,,,,,
にも,Nにも　＜時・場所・方向・相手なと＞,,①あそこにも人がいます。,,,,,,,,
