Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
なりと,Nなりと（も）,,①よろしかったら私の話なりとも聞いて下さい。,,,,,,,,
なりと,疑問詞（＋格助詞）＋なりと,,①お前みたいな勝手なやつはどこへなりと行ってしまえばいい。,,,,,,,,
なる,になる　A－くなる　V－ようになる,,①木が切り倒されて山が裸になってしまった。,,,,,,,,
なる,Nからなる,,①この本は4つの章からなっている。,,,,,,,,
なる,～ことになる,,①この大会も今年で4回目ということになりますね。,,,,,,,,
なる,R－そうになる,,①叱られて泣きそうになった。,,,,,,,,
なる,となる,,①彼はまだ20歳なのに、もうすぐ一児の父となります。,,,,,,,,
なる,～となると→【となると1】、【となると2】Nともなると,,①3月ともなるとだいぶ暖かく感じられるようになります。,,,,,,,,
なる,～になる　Nになる　V一ることになる,,①来年から5月4日は休校日になります。,,,,,,,,
なる,Nになると,,①国語なら教えられるが、数学になると全く手がでない。,,,,,,,,
なる,おR－になる,,①先生はお帰りになりました。,,,,,,,,
なるたけ,,,①この仕事はなるたけ早く仕上げて下さい。,,,,,,,,
なるべく,なるべく,,①今晩はなるべく早めに帰ってきて下さいね。,,,,,,,,
なるべく,なるべくなら,,①なるべくなら、今晩は早く帰って休みたい。,,,,,,,,
なるほど,,,①いい店だとは聞いていたが、なるほどサービスもいいし料理もうまい。,,,,,,,,
なれた,R－なれたN,,①使いなれた道具を使う。,,,,,,,,
なんか,なんか,,①A：なんかたべるものない？B：冷蔵庫見てみたら？なんか入っていると思うけど。,,,,,,,,
なんか,なんか＜様子＞,,①彼女と話しているとなんかほっとした気持ちになる。,,,,,,,,
なんか,～かなんか　N／A／V　かなんか,,①今度の休みは映画かなんか行かない？,,,,,,,,
なんか,Nやなんか,,①スポーツは好きですが、野球やなんかの球技はあまり得意ではないんですよ。,,,,,,,,
