Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
だといい,,,①A：みんな今頃安全な場所に避難していますよ。B：だといいが。心配だ。,,,,,,,,
だといって,,,①A：これは全面的にあいつが悪い。B：だといって、困っているのを見捨てるわけにもいかないだろう。,,,,,,,,
たとえ,,,①たとえその事実を知っていたところで、私の気持ちは変わらなかっただろう。,,,,,,,,
たとえば,,,①飲物でしたら、たとえばコーヒー、紅茶、ジュースなどを用意してあります。,,,,,,,,
だとすると,,,①A：近くに大きなホテルができるのは確実です。B：だとすると、この町の雇用率が上がるかもしれませんね。,,,,,,,,
だとすれば,,,①A：近くに大きなホテルができるのは確実です。B：だとすれば、この町の雇用率が上がるかもしれませんね。,,,,,,,,
だなんて,,,①今頃になって気が変わっただなんてよく言えますね。,,,,,,,,
だにしない,Nだにしない,,①このような事故が起きるとは想像だにしなかった。,,,,,,,,
だの,だの　A／V　だの　A／V　だの,,①彼女は市場に出かけると、肉だの野菜だの持ちきれないほど買ってきた。,,,,,,,,
たびに,Nのたびに　V－るたびに,,①健康診断のたびに、太りすぎだと言われる。,,,,,,,,
たぶん,,,①たぶん田中さんも来るでしょう。,,,,,,,,
たまらない,たまらない,,①A：毎日、車の音がうるさくて眠れないんです。B：それはたまりませんね。,,,,,,,,
たまらない,～てたまらない,,①和子はあしたから夏休みだと思うとうれしくてたまらなかった。,,,,,,,,
ため,Nのため＜利益＞,,①こんなにきついことをいうのも君のためだ。,,,,,,,,
ため,～ために　Nのために　V－るために,,①世界平和のために国際会議が開かれる。,,,,,,,,
ため,V－んがため,,①生きんがための仕事。,,,,,,,,
ため,～ため　Nのため　Naなため　A／V　ため,,①過労のため3日間の休養が必要だ。,,,,,,,,
ため,ひとつには～ためである,,①彼の性格が暗いのは、ひとつにはさびしい少年時代を送ったためである。,,,,,,,,
ためし,ためしに～てみる,,①先月できたレストランはおいしいという評判だ。ためしに一度行ってみよう。,,,,,,,,
ためし,V－たためしがない,,①彼女は約束の時間を守ったためしがない。,,,,,,,,
